0,Perk Name,Cost,Source,Description
11,What Are We Looking At,100 CP,Modded Minecraft,"This thinker power grants you basic but useful information about anything you directly look at. When focusing on a creature, object, or material, you receive short, practical details such as its health, common name, type, charge level and - in the case of materials - the minimum tool level required to harvest it effectively. The information provided is surface-level and utilitarian, offering quick insights to aid in navigation, combat, and resource gathering, but it does not reveal anything deep, hidden, or complex about the target."
12,Just Enough Items,400 CP,Modded Minecraft,"This thinker power grants you the ability to obtain a mental blueprint for crafting any object you are holding in your hands or currently examining. It provides the simplest, most straightforward version of the recipe first, drawing upon your existing perks and knowledge to generate a feasible method. More complex items require additional time to analyze, and in some cases, the power may fail to provide a blueprint if the object cannot be reasonably recreated with the abilities you currently possess. 

When successfully crafting an item using one of these blueprints, you may occasionally discover new variations or improved versions of the original design - particularly if you are lucky or if the power learns something significant during the process. This perk is exceptionally useful for reverse engineering technology, magic items, or any intriguing object you happen to come across."
13,Waystones,250 CP,Modded Minecraft,"This perk grants you the ability to craft and enchant waystone pillars, along with all associated accessories needed to utilize them. Once activated, these waystones serve as fixed teleportation points that you can return to through various means - using a Warp Scroll, a rechargeable Warp Stone, or by hopping directly from one waystone to another. You possess the necessary skills and practical abilities to create these items and make them functional, though you do not actually understand the underlying magical or mechanical principles that make them work. You can build them, but explaining how they function is beyond your current knowledge."
14,Extensive Automated Mapping,300 CP,Modded Minecraft,"This mental ability combines the core functions of several popular minimap mods, such as Xaero's Minimap and JourneyMap, into a single convenient power. You possess a fully customizable mental map that automatically updates as you explore, detecting and categorizing creatures, players, and points of interest in your vicinity. The map also provides useful information such as the current time, your coordinates, and other environmental details. You can create and manage waypoints to mark important locations, though this perk does not grant any fast travel functionality - you still need to reach those destinations on your own."
15,Create,350 CP,Modded Minecraft,"You possess all blueprints, expertise, and practical skills required to build and operate devices inspired by the Create mod for Minecraft, along with several of its most famous addons. Your knowledge centers primarily on mechanical engineering, rotational power, factory automation, and the wonderfully complex ""tinker-bullshit"". Included addons cover a wide range of themes: Steam 'n' Rails for trains and locomotives; Crafts & Additions for supplementary tools; Big Cannons for artillery; New Age for alternative power sources; Enchantment Industry for automated enchanting; Utilities for miscellaneous gadgets; and others besides. 

However, exploring addons further removed from the core mechanical theme becomes progressively more difficult - the more distant an addon's focus from the main Create experience, the harder and more vaguely defined your knowledge becomes, requiring greater time and effort to master, making your creations less reliable."
16,Thermal Expansion,500 CP,Modded Minecraft,"This perk grants you access to all blueprints, expertise, and practical skills required to create and operate machines from the Thermal Expansion mod for Minecraft. Your knowledge encompasses all six main modules of the mod: Foundation (base components and materials), Cultivation (farming and botany), Dynamics (item and fluid transport), Innovation (advanced gadgets), Integration (cross-mod compatibility), and Locomotion (movable structures and carts). Additionally, you have access to various famous addons that expand upon the Thermal series. 

However, exploring these addon branches becomes progressively more difficult - the further you venture from the core theme of the base mod, the harder and more vaguely defined your knowledge becomes, requiring significantly more time and effort to master, with results that can be rather tedious to achieve and less reliable."
17,Applied Refined Storage,500 CP,Modded Minecraft,"You possess all blueprints, theoretical knowledge, and practical skills required to create and utilize concepts from the Applied Energistics and Refined Storage mods, along with their various addons. Your expertise centers on the conversion of matter and energy into digital form for the purposes of storage, transportation, retrieval, and even automated processing - transforming physical resources into data and back again with remarkable efficiency. 

However, as you venture further from the core themes of these mods and delve deeper into addon content, your understanding becomes progressively more difficult to apply. The further an addon strays from the main storage-and-automation focus, the harder and more vaguely defined your knowledge becomes, making reliable creation and implementation increasingly challenging."
18,Mekanism,400 CP,Modded Minecraft,"You possess access to blueprints for all craftable items, a comprehensive theoretical foundation, and the basic skills necessary to construct machines and devices from the Mekanism mod, along with its various popular add-ons. This perk encompasses the full scope of Mekanism's core modules: Additions (miscellaneous gadgets and decoration), Generators (power production systems), and Tools (equipment and armor). 

However, as you venture further from the main theme of the base mod and deeper into add-on content, your understanding becomes progressively more limited and less straightforward - the further an add-on strays from Mekanism's core focus, the more difficult and unreliable your ability to comprehend and create its content becomes."
19,Immersive Engineering,250 CP,Modded Minecraft,"You possess access to blueprints for all craftable items, along with the expertise required to create and operate machines and devices from the Immersive Engineering mod and its various popular add-ons. This perk also provides you with the equivalent of a high-end professional education in engineering by 20th-century standards, giving you a solid foundation in real-world mechanical and electrical principles that complements your modded knowledge. 

However, your understanding of add-on content becomes progressively more vague the further it strays from the core themes and aesthetic of the original Immersive Engineering mod - familiar territory remains clear, but distant branches require greater effort and intuition to navigate reliably."
20,Botania,400 CP,Modded Minecraft,"You gain access to the magical abilities required to create items and structures from the Botania mod, a tech-inspired magic mod centered around the power of natural flora and mana manipulation. This perk provides you with a basic theoretical foundation, a set of starting blueprints, and the innate capacity to unlock further content through acts of creation, experimentation, and dedicated research. Your progression path includes access to some popular add-ons for the mod, though your understanding becomes progressively more vague and tedious the further an add-on strays from Botania's core themes."
21,Tinker's Construct,200 CP,Modded Minecraft,"You gain the necessary knowledge, blueprints for all craftable items, skills and abilities to produce tools, weapons, and machines from the Tinker's Construct mod, along with its various add-ons and extensions. This power is partly magical in nature, allowing you to draw out unique and exotic functionalities from even seemingly mundane materials through the art of tool forging and material modification. Your understanding of material properties runs deep enough that you may eventually discover new properties and combinations not present in the original mod or its add-ons - pushing the boundaries of what can be crafted through experimentation and creative tinkering."
22,Doing Cool Stuff With Pressurised Air,150 CP,Modded Minecraft,"You gain access to mental blueprints for all craftable items from the PneumaticCraft mod, along with significant innate talent for understanding pneumatic technology and principles as a whole. While this perk provides you with a comprehensive education in pneumatic systems, their theoretical underpinnings, and their potential applied uses, it does not grant much in the way of actual practical skill - you know how things should work in principle, but developing the hands-on expertise to build and operate them reliably will require practice and experience."
23,Charging Gadgets,50 CP,Modded Minecraft,"This perk grants you the ability to construct a single, deceptively simple machine - the charging station. Despite its unassuming design, this device functions as a full tinkertech apparatus capable of recharging almost any item from Minecraft mods, and with some creative tweaking, it can even be modified to charge other, unrelated devices you may encounter. You do not understand how it works on any fundamental level, and frankly, you are reasonably certain it should not work this well given how simple the design appears. Nevertheless, it provides an easy and reliable solution for keeping your various gadgets powered. Perhaps if you dedicated significant time to researching the device in depth, you might begin to figure out some of the little things that make it tick..."
24,Extreme Reactors,250 CP,Modded Minecraft,"This perk grants you the ability to construct powerful reactors to harness the power of the atom. You also gain the expertise needed to build mighty turbines that convert steam into usable energy. Your knowledge includes complete blueprints, a deep understanding of reactor mechanics, extensive practical expertise in maintenance and proper operation, and the required theoretical background to keep your systems running safely and efficiently. While your expertise focuses specifically on these particular reactor designs, you understand them inside and out."
25,Mystical Agriculture,400 CP,Modded Minecraft,"You gain the supernatural ability to craft and cultivate magical plants that produce a wide variety of resources, drawing from the Mystical Agriculture mod and its various add-ons. Your mystical crops can yield everything from basic Minecraft materials to resources from other mods, allowing you to grow what would otherwise need to be mined or crafted. You possess a great natural talent for gardening and a keen intuitive understanding of magical flora, enabling you to nurture your crops effectively and expand your agricultural operations with confidence. "
26,Vein Mining,300 CP,Modded Minecraft,"This striker power, inspired by various popular mining mods, allows you to harvest extensive quantities of connected or similar material in a single action. By activating this ability while mining a target material/structure - such as starting to chop down a tree - the effect propagates through all connected materials of the same type, rapidly disassembling the entire structure into its base materials. A single swing can fell an entire forest giant or clear a massive ore vein with startling efficiency.

However, this convenience comes with significant limitations. You require the appropriate tool for each material type (an axe for wood, a pickaxe for stone, etc.), and the process accelerates tool wear proportionally to the quantity of material harvested. Tools will break faster, and any fuel or energy sources will be consumed at an increased rate. The ability also places additional strain on your body, making you hungrier much faster than normal exertion would. 

Complex structures built from multiple different material types cannot be reliably broken down with vein mining, and there are hard size limits on how large a single excavation can be. If you possess a personal inventory or pocket dimension, all mined resources will be automatically deposited there; otherwise, they will be neatly piled in stacks near your location."
27,The Aether,600 CP,Modded Minecraft,"This perk grants you the ability to construct a functional portal to the Aether - a luminous floating dimension inspired by the classic Aether mod for Minecraft - even if your current world does not naturally connect to this realm. To build the portal, you will need glowstone or a sufficiently close equivalent material, arranged in the proper frame configuration and activated with water. You have basic theoretical understanding behind working of the portal.

You also possess basic survival knowledge about the Aether: an understanding of the native materials you may encounter, awareness of points of interest such as dungeons or structures, and familiarity with the general landscape and biomes of floating islands. Additionally, you gain a remarkable adaptability to high altitudes, allowing you to navigate the sky realms without the disorientation or physical strain that might normally accompany such extreme heights."
28,Better Dimensions,400 CP,Modded Minecraft,"You possess the ability to modify portals to the Nether and the End, allowing you to redirect them to their modded counterparts instead. By mixing and matching different combinations of mods - such as Better Nether or Better End - you can extensively customize each portal and the dimension it leads to.

However, there are limitations. There is only one version of a dimension for each modified portal decided by the moment you firstly created specific variation of the gates: each version of the dimension can only be generated once. Modifying a portal requires both time and resources, and you must first possess the ability to build vanilla Minecraft portals for this perk to function properly.

In addition, you gain extensive and in-depth knowledge of all things related to the mods you wish to use. You are intimately familiar with the materials, structures, creatures, flora, dangers, and useful tricks found within these transformed dimensions, ensuring you are prepared for what awaits."
29,Spartan Weaponry,150 CP,Modded Minecraft,"You gain access to all blueprints and crafting recipes from the Spartan Weaponry and Spartan Shields Minecraft mods. You gain the knowledge and skill required to forge this expanded arsenal - everything from pikes and rapiers to battleaxes, javelins, and reinforced shields. Beyond mere crafting, you receive the equivalent of extensive combat training with each weapon type, allowing you to wield them with an above-average degree of finesse right from the start. You understand the strengths and weaknesses of each weapon, proper techniques for different combat scenarios, and how to maintain your gear effectively. Furthermore, you possess great natural talent for advancing these skills further, enabling you to progress toward true mastery with continued practice and experience far more quickly than most."
30,Draconic Evolution,800 CP,Modded Minecraft,"This perk grants you the knowledge, complete blueprints for all craftable items, and degree of practical skills required to create and utilize the powerful technologies found in the Draconic Evolution mod. Your expertise spans the full spectrum of this magitech progression system. Be warned: this is high-end magitech creation capability, and it is extraordinarily resource-intensive. The reactors alone can level mountains if they malfunction, and the weapons... Well, let's just say you should be very certain about what you're aiming at. Take proper precautions, follow safety protocols, and for the love of all that is holy, do not accidentally explode yourself and your neighbors."
31,Dis-Enchanting,100 CP,Modded Minecraft,"You possess the knowledge to design, build, and operate dis-enchantment machinery. This allows you to safely extract and recover enchantments from items and enchanted books, preserving them for later use on new equipment. This knowledge is based on the eponymous mod and is optimized for the runic and symbolic enchantment systems common to Minecraft and closely related types of enchanting. It is basically useless for other situations."
32,Ore Generation,400 CP,Modded Minecraft,"You gain the ability to trigger a single, massive burst of Minecraft-style ore generation in any landscape you choose. Upon activation, ores ranging from coal and iron to redstone and amethyst geodes will spawn throughout the underground in a radius of one thousand chunks (roughly 1,600 meters) around you. All generated ores possess their unique properties as inspired by their source game. You may hold this perk's activation charge indefinitely, allowing you to wait until you find the perfect location to use it. 

This perk can be purchased multiple times, stockpiling additional activations for later use. Each purchase after the first is discounted to 200 CP."
33,Cheap Storage Solutions,200 CP,Modded Minecraft,"Why build a warehouse when you can build a drawer? You now have the know-how and ability to construct containers that defy physics, from simple chests to elaborate drawer systems, all capable of holding stacks upon stacks of items. Some specialize in single item types for efficiency, while others accept everything (and will absolutely become a sorting nightmare if you're not careful). Your repertoire includes designs inspired by Storage Drawers, Sophisticated Backpacks, and Iron Chests, allowing you to experiment with a wide variety of functions. Do note that this technology is essentially tinkertech running at maximum settings - held together by fiat rather than genuine physics. With time and study, you may eventually learn to create truly ""bigger on the inside"" containers that function without reality-warping assistance, but not using this perk alone."
34,Tempad,300 CP ,Modded Minecraft,"This perk provides you with the blueprints for every craftable item from the Tempad mod, as well as the basic theory and hands-on skills required to use them. With this knowledge, you can create personal portal devices that let you and your companions blink across vast distances in an instant - provided you're staying within the same world, at least for now."
35,EvilCraft,350 CP,Modded Minecraft,"The path of blood and vengeance calls. This perk grants you supernatural capabilities, basic theoretical knowledge, and the essential blueprints needed to harness the dark arts inspired by the EvilCraft mod. You receive one Dark Gem at no additional cost, and you know the ritual required to sacrifice it - transforming the gem into a special book that will guide you further down the path of blood magic and mechanical mayhem."
36,Oritech,300 CP,Modded Minecraft,"You gain access to blueprints for all craftable items, along with the methodologies and scientific knowledge required to create, maintain, and operate devices from the Oritech mod for Minecraft. You also become particularly good at applying stylistics of this mod machines yo your other creations as cosmetic feature."
37,Modular Force Field Systems,150 CP,Modded Minecraft,"You gain access to blueprints and the practical skills needed to create, use, and maintain a variety of devices from the Modular Force Field Systems mod for Minecraft. These force fields can be constructed relatively cheaply if you embrace a tinkertech approach. However, your knowledge is almost entirely practical - you have little to no understanding of how these devices function on a fundamental level."
38,Thaumcraft,600 CP,Modded Minecraft,"The path of the thaumaturge opens before you. This perk grants you the power to wield the magic of Thaumcraft (including its various versions and famous addons), along with the ability to research its mysteries with exceptional speed and efficiency. Your knowledge of the arcane also allows you, with some ingenuity, to awaken the ability to use this magic in others later."
39,Ender IO,500 CP,Modded Minecraft," This perk provides you with mental compendium of complete blueprints for every craftable item from the Ender IO Minecraft mod, as well as the foundational theory and practical skills needed to operate its devices."
40,Mining Gadgets ,100 CP,Modded Minecraft,"""Sometimes you want a quick change of pace when it comes to mining. Pickaxes. Drills. Bores. Robots. Quarries. These are all great options. Now you can use lasers too if you want."" You gain the blueprints needed to craft a variety of mining tools inspired by the Mining Gadgets mod, along with the practical skill to use them effectively. You can easily go full tinkertech with this perk, if you want to save resources and time. "
41,Iron Jetpacks,100 CP,Modded Minecraft,"Why walk when you can fly? This perk grants you the knowledge to construct and operate every device from the Iron Jetpacks mod with expert skill. These are tinkertech through and through - strap one on, fire it up and soar. They work reliably, but you have no actual theory or reasonable explanation for how they function."
42,Tetra,100 CP,Modded Minecraft,"You gain access to all the necessary skills and knowledge to modify tools and weapons in the style of the Tetra mod. From simple hammers to intricate blades, you can swap components, enhance performance, and tailor every detail to your needs. With creativity, you can even apply this modular crafting system to items beyond the original scope of the mod. "
43,Biomancy ,200 CP,Modded Minecraft,"Life is the ultimate resource, and now you know how to reshape it. This perk provides you with the blueprints, theoretical knowledge, and inherent magical capacity to build and utilize every device from the Biomancy mod."
44,Industrial Craft,400 CP,Modded Minecraft,"The spark of industry ignites within you. This perk provides the blueprints, theoretical knowledge, and fundamental skills needed to build and operate machines from Industrial Craft, its many versions, and its extensive addons. Base technology is intuitive and clear: cables, generators, and machines all behave as expected. But venture into the more exotic addons, and things start to get messy. Documentation becomes sparse, interactions grow unpredictable, and you'll find yourself relying more on trial and error than clean engineering."
45,Ex Nihilo,150 CP,Modded Minecraft,"You gain the ability to create anomalous tools inspired by the Ex Nihilo Minecraft mod and its various addons. These seemingly simple machines and tools allow you to produce resources literally from nothing. Not in great quantity, and with many caveats, but enough to scrape together essential materials even in the most barren wastelands where only scraps and dirt are available."
46,The Undergarden,600 CP,Modded Minecraft,"This perk grants you the knowledge to craft the key - a special tool that, when used correctly, activates a portal to the Undergarden. Upon arrival, you will find a newly generated dimension filled with strange flora, eerie creatures, and untold mysteries. You are granted encyclopedic knowledge of this realm and the fundamental survival skills to navigate its dangers. Most importantly, you are completely immune to any diseases, blights, or contaminants that fester within this subterranean world."
47,RFTools Dimensions,900 CP,Modded Minecraft,"This perk grants you the blueprints and knowledge to construct the dimension-building machines of RFTools Dimensions mod. Yes, they are absurdly energy-hungry and tedious to program. Yes, they require constant maintenance and careful monitoring. But with enough patience and power, you can shape new realities to your whims - whether that means an ocean of liquid gold, an infinite field of giant truffles, or something far stranger."
48,Immersive Portals,1000 CP,Modded Minecraft,"You possess the power to manipulate and create portals, cut doors into other accessible dimensions, and modify existing portals with changes being stable and permanent, if you wish so. This ability is inspired by the Immersive Portals mod for Minecraft, granting you everything the mod allows and a bit more. You gain access to additional possibilities and a deeper understanding of the implications of carving space in this way. However, be cautious. While the power provides some intuition and feedback, it is not foolproof. Mistakes can have consequences."
49,The Twilight Forest,600 CP,Modded Minecraft,"You gain the ability to create a portal that leads to a newly generated Twilight Forest dimension, inspired by the Minecraft mod of the same name. This dimension includes all content from the original mod and its various addons. You possess general knowledge of its important aspects: the dangers that lurk within, useful materials to be found, the unique flora and fauna, and the mystical laws that govern this enchanted realm."
50,Better Questing,450 CP,Modded Minecraft," There are many modpacks with some sort of quest system or book. You gain the ability to create personal, soul-bound quest books for individuals. Each person can possess only one such book, and it cannot be destroyed by conventional means, as it is a projection of their inner world. These books contain unique, dynamically updating quests tailored to the owner. Completing quests rewards the individual with thematic prizes based on their accomplishments. However, the nature of both quests and rewards depends heavily on the person: their desires, beliefs, knowledge, and personal journey."
51,Mining Dimension,700 CP,Modded Minecraft,"You gain the ability to create a mystical portal that leads to a personal mining dimension, inspired by Aroma1997's Dimensional World mod for Minecraft. The contents, resources, and terrain of this dimension are permanently set at the moment of the portal's creation, based entirely on the perks and abilities you possess at that time. Once the dimension is actualized, acquiring new perks after this point will not alter its contents. 

However, this perk may be purchased multiple times. Subsequent purchases are discounted to 350 CP and allow you to create an additional, separate dimension, each with its own unique contents based on your perk loadout at the time of its creation."
52,Tasty-Tasty Addon!,100 CP,Modded Minecraft,"You are now a skilled culinary artist, possessing a complete mental compendium of every recipe, blueprint, and design from popular food and farming mods such as Farmer's Delight, Cooking for Blockheads, Pam's HarvestCraft, and all their various addons and expansions. In addition to your cooking knowledge, you have been granted the fundamental skills required to source, grow, or gather any ingredient you might need, ensuring you can always prepare a delicious meal."
53,Ars Nouveau,500 CP,Modded Minecraft,"""Ars Nouveau is a magic mod inspired by Ars Magicka that allows players to craft their own spells, create magical artifacts, perform rituals, and much more."" You receive the degree of magical abilities required to utilize and create items from Ars Nouveau mod and its various addons, along with a comprehensive mental library of basic blueprints, core theories, and the innate talent to progress swiftly along this path of magic."
54,ProjectE,1000 CP,Modded Minecraft,"You now possess the knowledge and ability to create and utilize a set of supernatural tools and devices capable of exchanging one material for another. This system is built upon the fundamental concept of EMC (Energy-Matter Currency) - a value assigned to every item and block that represents its intrinsic energy cost or worth. With this power, you can collect, store, transfer, and convert EMC, allowing you to duplicate existing items or transmute materials into entirely different substances. You gain a complete understanding of how to construct and operate all devices related to this alchemical system of ProjectE Minecraft mod."
55,Blood Magic,500 CP,Modded Minecraft,"""Blood Magic is an arcane art practiced by mages who seek to gather vast power through the use of a forbidden material: blood. Though it grants immense power, every action performed with this volatile magic can prove deadly. You have been warned."" 

You gain the necessary magical abilities to practice the art of Blood Magic, including the knowledge required to create and use all devices, rituals, and tools from this mod and its various addons. You receive basic blueprints, a firm grasp of the underlying theories, and the innate talent to progress swiftly along this dangerous but rewarding path. Provided you can survive the cost."
56,Astral Sorcery,400 CP,Modded Minecraft,"""Astral Sorcery is a magic mod focused around harnessing the powers of starlight and the constellations.""

You gain the necessary magical abilities to practice the art of Astral Sorcery, including the knowledge required to use and create all items, structures, and enchantments from this mod and its various addons. You receive basic blueprints, a comprehensive understanding of stellar theory, and the innate talent to progress swiftly along this path, allowing you to draw down the power of the stars themselves."
57,Ensorcellation,200 CP,Modded Minecraft,"You gain the ability to practice the magical enchantment art found in the Ensorcellation mod, along with natural talent in this craft and a scholarly intuition for applying enchanted items in both conventional and creative ways. 

However, if you do not have access to vanilla Minecraft enchanting, your creations will inevitably function as tinkertech (unreliable, difficult to replicate, or prone to malfunction) and your knowledge of the field will have significant gaps. You can still create enchanted items, but your work will be limited by these constraints until you acquire a proper foundation in enchanting."
58,Doggy Talents Next,200 CP,Modded Minecraft,"""This mod aims to create harmony between dogs and the player throughout the game. Imagine playing a piano concerto, you as the pianist and the dogs as the orchestra. When the two sounds are played together, they create harmony - something our ears love. Thus, the orchestra does not overwhelm but empowers the pianist. The mod is and will be designed along this principle: the dogs should accompany the player well without becoming overpowered. However, when the situation demands it, sufficient abilities should be granted to them - but they must work to achieve those abilities, and you, the responsible owner, should help them.""

You possess a special talent for bringing the content of Doggy Talents Next mod into reality. You have a natural affinity for bonding with and training canine companions, unlocking their hidden potential and teaching them a wide variety of useful talents and abilities. Your dogs will accompany you faithfully, growing stronger through shared effort."
59,Modded Ores,700 CP,Modded Minecraft,"You gain the ability to infuse any landscape with Minecraft-style ore generation - once per purchase of this perk. When activated, the effect targets a radius of up to one thousand chunks (approximately 1,600 meters) around your current location. Within this area, new ores will generate underground, drawn from a single mod of your choice for which you possess the corresponding perk.

The ores spawned by this effect possess all the unique properties, behaviors, and uses inspired by their source mod, allowing you to introduce new resources into worlds that previously lacked them. You may hold this activation indefinitely, waiting until you find the perfect location and perk before committing the effect.

This perk may be purchased multiple times, with each additional roll stockpiling another activation for later use. At the moment of casting, you decide which mod's ores will generate. Subsequent purchases after the first are discounted to 350 CP. This perk can be discarded and rerolled for free."
60,Simply Skills,200 CP,Modded Minecraft,"You gain access to the skill tree system from the Simply Skills mod for Minecraft. By participating in challenging fights and experiencing unique or interesting adventures, you earn points that can be used to unlock new effects, passive bonuses, and special abilities within the tree. 

What qualifies as a ""good fight"" or a ""suitable experience"" scales with your current abilities and past experiences, ensuring that you must continually push your limits to earn further progression. As a consolidation prize, you receive one free skill point immediately upon purchasing this perk, and thereafter, you will automatically gain one random, accessible skill from the tree each month."
61,Improvable Skills ,150 CP,Modded Minecraft,"You gain access to the skill tree system from the Improvable Skills mod for Minecraft. By living through unique, interesting, or formative experiences, you earn points that can be used to unlock new effects, passive bonuses, and special abilities within the tree.

What qualifies as a ""suitable experience"" scales with your current abilities and past experiences, ensuring that you must continually seek out new challenges and growth opportunities to earn further progression. As a consolidation prize, you receive one free skill point immediately upon purchasing this perk, and thereafter, you will automatically gain one random, accessible skill from the tree each month."
62,Dark Utilities,200 CP,Modded Minecraft,"""The Dark Utilities mod adds many new items and blocks that expand upon the vanilla game. This mod aims to be useful in a wide range of circumstances while also adding fun and interesting mechanics.""

You gain the knowledge and ability to construct all devices, machines, and items from the Dark Utilities mod, along with a complete understanding of how to use them effectively. Furthermore, you find this technology exceptionally intuitive to tinker with, allowing you to adapt, modify, and integrate it with other systems with surprising ease."
63,Simply Swords,200 CP,Modded Minecraft,"You gain exceptional smithing skills focused specifically on the creation of weapons and items from the Simply Swords mod for Minecraft. You can craft every blade, hilt, and unique weapon featured in the mod with masterful precision.

Additionally, you possess a natural talent for wielding all types of weapons found in the Simply Swords mod (including unique variants) though this talent manifests only as raw affinity, not as actual combat skills. You will find these weapons comfortable and intuitive in your hands, but you must still train and practice to use them effectively in battle."
