0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,39
,,200,"""Merlin"" Magecraft",Fate - The Island of Sin,"No, Merlin doesn’t teach you this (nor does Oberon), and it isn’t necessarily magecraft, either. Instead, any magical means you use for the purpose of stealth or deception finds itself increased in effectiveness. You make fewer mistakes, the weaknesses of the spells are more easily covered up, the spells last longer, and are stronger in the face of magical scrying or wards. Speaking of which, you find it easy to get through magical barriers without triggering them or activating hidden alarms.",,,
,,200,Who Said it Only Worked Once,Grand Foreigner,"Generally most Servants can only use their Noble Phantasms once. This is due to both the immense energy required to use them and due to the act of manifesting them. Calling upon a Noble Phantasm is to summon the might of your legend forcing it on reality. To do so repeatedly is to make a mockery of both the universe and your own feats. You however, are capable of doing this without any issue.

This effect firstly makes it so that the energy requirements for these powers is significantly lowered. You could easily spam your phantasms dozens of times where others could only do so once. Secondly, like the Noble Phantasms you can utilize and perform any one time option more than once. For example, if a power could only be used once then you may use it repeatedly. There will likely be some sort of cost though such as an immense stamina drain. The item or power in question however, will no longer be limited. You will not die from using it or the relic in question won’t shatter after being used",,,
,,200,Growing Into Yourself,Fate/Grand Order: Cosmos In The Lostbelt,"Losing the support of a Servant can be a devastating loss to a Demi-Servant, as it’d deprive them of the powers their status gave them and render them a normal human again. However, just like a certain eggplant, such a situation wouldn’t harm you as much as it should. For any powers that are borrowed from another being that you no longer have access to, such as a Servant who has abandoned you, you seem to retain a fraction of the power you were afforded, at a maximum of Low Rank. Outside from being able to use these echoes of power, you’re able to grow and develop them in your own way, honing your skills and abilities by performing great deeds, letting you eventually reach the same level of power you had borrowed, except this time the power is entirely yours. You might need the aid of powerful mystic codes to smooth over the initial stages, but after a few years of regularly fighting against legendary heroes and gods you’ll likely have regained your full power, although if it was on the level of the Grand Rank or above it might take longer to achieve. Still, now you will no longer depend on the goodwill of your patrons for the sake of power.",,,
,,200,Full Power Servants ,Grand Foreigner,"Servants are normally limited by the amount of energy their Masters are able to provide them. You however, have a special ability. You possess a limitless well of power which can be used to power your Servants. This boundless reserve allows your Servants to operate at peak performance, constantly fueled at 100% capacity, unleashing their full potential without any risk of depletion. Your Servants will never experience energy shortages or limitations under your command, making them formidable and unstoppable forces on the battlefield. This reserve is exclusively used for Servants and other beings that rely on you for power",,,
,,200,Individual Interpretations of the Art of War,Fate/Legends: Nirvana Yuga,"Heroes of the Indian epics were rarely so limited in their skills as to only wield a single weapon. Masters of the bow, the spear, the blade and more besides, their skills were worthy of every bit of power that was ascribed to them. But it certainly didn’t stop certain tools being favoured and that very power meant that things would often be forced to fit the hero, rather than the hero adapting to his situation. You discover the ability to force your weapons, tools and even unique abilities or attacks to take on new shapes to suit your desires. A legendary bow might transfigure to become a sword in your hand, it’s effects altering to become suitable to a close ranged form while remaining as faithful as possible. An arrow might instead be subsumed into your form and become a powerful laser emitted from your eye, now requiring a supply of mana to replace the arrow’s physical form. It is a change of medium, not of the innate abilities of the targets, but even entire vehicles could be potentially affected. It is the hero who decides the way battle is fought, not the weapons he is given to wield.",,,
,,200,Absolute Value,Fate/Revelation Online,"As much as an Element and Origin can give you, they innately come with negatives. An Element, while improving your use in one area, actively makes using other spells harder than they would normally be, which only compounds upon itself for rare elements. An Origin is even worse, as while it has all of the benefits of an Element, but greater and not restricted to elemental concepts, it has the same drawbacks of an Element, but even worse. Along with making anything outside of your Origin significantly harder for you, including things not related to magecraft, it had an even worse component. Once you are aware of your Origin, you are intrinsically tied to it, and can not escape or change yourself away from that concept. You are even compelled to act in line with your Origin simply by being aware of it, and nothing (in setting) can prevent that. However, now that you've bought this, you no longer need to worry about any of that. Your Elements, Origins, and anything you will or have received similar to these concepts will only ever give you their positive aspects, and you will not have to deal with the negatives. Lucky you, huh?",,,
,,200,Metamagic,Grand Foreigner,"Metamagic is a special type of magic designed to alter other spells within Yggdrasil. Some examples include Maximize Magic, Over Magic, and Triplet Magic. These are only some of the possible applications. By purchasing this perk you not only gain the ability to use metamagic, but you can apply it to any technique you possess.

For example, you could use Triplet Magic to launch three spells at once from your wand if you went to Harry Potter. The only cost is that each enhancement increases the cost of the spell. You can however, prepare them in advance and stack the effects of multiple meta magic enhancements.",,,
,,200,Cenceptual Wordplay,Fate/Grand Order: Cosmos In The Lostbelt,"Raw power can be amazing when you have tons of it, but equally entertaining can be conceptual shenanigans. Working on perception, understanding, metaphors, and generally operating with its own ruleset, conceptual compatibilities can bridge great gaps in power by the sheer potency of connections. And with this perk, you are perfectly aware of how to play around with such things to your heart’s content. From shattering an incredibly powerful cursed castle because its name rhymes with ‘Edo Castle’ and your legend involves being the cause of the end of the Edo period, to completely restructuring the house where the Shogun’s harem resides into something made entirely for the Shogun’s pleasure, and brainwashing those who enter into thinking they’re the Shogun because why else would they be there, the sheer flexibility of conceptual preparation is mind-boggling.

However, it’s not all metaphorical sunshine and abstract rainbows, as utilizing such conceptual measures makes you vulnerable to conceptual shenanigans from others as well. Perhaps someone will be able to wrest control of your territory from you because they’re the one who built it, or maybe someone who founded a civilization and religion that completely assimilated and rewrote your own would be able to shut down most of your abilities due to that connection. Overall, the potential for conceptual activities is limited only by your imagination, no matter how flimsy your reasoning might be (although the more believable and solid your metaphor-logic is the more resilient it’ll be against similar conceptual shenanigans), and if you plan properly you can gather an immense amount of power where otherwise you wouldn’t be able to obtain much energy.",,,
,,300,Old Nobility,Lord El-Melloi II Case Files,"Like Luvia, you carry yourself with a noble bearing. Indeed, none can question that you are a true and rightful ruler, though reactions may vary. Regardless, your skills as a leader and politician grow with your own thaumaturgic skill and might. Others will flock to your banner, and you’ve an unusual talent for caring for your domain with magecraft. Requires Lord of the Clocktower and Modern Hero.",,,
,,300,This is Totally a Sword,Fate/Grand Order,"An arrow is just a very short spear. A stick is just a sword with no edge made of wood. A hollow metal pole is just a gun barrel with no gunpowder. The objects around you could be used for so many things but people just don’t see it the way you do. Now you’re able to make the world see things the way you do. So long as they’re visually similar, you’re able to treat one type of item as being another type of item on a conceptual level. Swords with very long blades may count as spears, allowing what would normally be a Saber class Servant to become a Lancer class Servant. Water manipulated to take on the shape of fire may be treated as fire, burning those it touches. These changes can only change the type of thing, they cannot change something into a specific object, such as making a golden sword into Excalibur nor can they change something into another thing of greater power.",,,
,,400,Field Testing,Fate/Revelation Online,"Despite the fact that most of your time will be spent in a lab researching, you still do need to actually test out your theories and gather materials. As far as the world of SAO is concerned, that means combat with the various monsters that inhabit this floating castle you must call home. Luckily, you have a knack for turning your spells and magical theories to combat. If you have even a single spell before you, dozens of ideas would spring to mind about how you could use it in a fight. In addition, actually implementing said ideas in the heat of combat will be even easier than casting the standard in a low stress and controlled environment. This will grant you incredible flexibility with your spellcasting and allow you to push your spells to their limits.",,,
,,400,Sword Wizard,Fate/Legends: Garden of Avalon,"Magic is a beautiful thing, capable of such incredible things and filled with endless amounts of mystery. Yet...one hates to say it out loud but perhaps the meathead knights have a point. It really is so much quicker to just smack things with holy swords. Even the great Merlin is himself an exceptional warrior, so you saw about taking after this path yourself. As your magical skill rises, you also find your skill in combat rises alongside it too. While you may not learn specific techniques out of nowhere, you do have an easier and easier time fighting others in battle, unarmed or with a weapon, the better you become at magic. Almost as if the two have become linked in some manner. Unfortunately, you do not necessarily gain the physical attributes to make the best use of your skill in combat but perhaps that wondrous magic could be turned to shoring up that fault.",,,
,,400,Beast of Mirrors,Fate/Grand Order,"A blessing from the grail and the king of lions, this gift has allowed you to apply the effect of Reversal onto a certain part of yourself. A single weakness or flaw that you possess may be reversed into a strength or advantage. A weakness to poison becomes an immunity to poison, for example. Unlike the original you are only able to reverse a single aspect at a time but also unlike the original, this does not reverse your personality or mind as well. If you wish you can also use this on a strength to turn it into a weakness.",,,
,,400,Can I See It Again?,In Flight,"Although field observation may be, by its very nature, spontaneous and unplanned, it still has a place in academia. In situations where you can’t get a specimen to run in-depth experiments on and there is no literature that you can access that explains what you’re seeing, your memory and some hastily scribbled notes may be the only thing standing between you and complete ignorance. This perk expands on your ability to understand and analyze any complex phenomena that you happen to witness, and any notes that you take while observing said oddity will quickly and easily lead you to breakthroughs in your analysis upon later observation. While you could just use this perk in classrooms to better understand your teachers lectures, the true value of this perk lies in its use in reverse-engineering spells, techniques, and other abilities both physical and mystical. If you see someone use a technique or ability that can be taught to others, then this perk will allow you to teach yourself how to use or counter that ability just by observing and analyzing their usage of said ability. Depending on how difficult or ‘beyond human’ the spell or technique is you may need to see more examples of it in action before you are able to learn it, but even if the technique’s user refuses to give you any hints or help you are certain to eventually master it for yourself.",,,
,,400,The Guardians of Humanity,Fate/Strange Fake,"Heroic Spirits were never meant to be used as tools for magi in their petty pursuits of power. They are part of the planet and humanity’s defenses against great threats. As such, as an Heroic Spirit you find yourself gaining a great boost against those who prey on humanity, usually in the form of monsters and beasts. This may manifest in the ability to resist their powers, or get by some of their defenses more easily than what regular humans could, even if you still count as a human. It could even appear in just some great luck when facing these threats, almost if you were destined to be a great monster hunter.

Whatever it is, even when you face a great evil, there will always at least be a small chance for you to slay the monster, as it happens in most histories. It will be up to you to properly grab such a chance, and it may not be without sacrifices if the scale of the threat far surpasses your own.",,,
,,400,Marrying the Magics,Fate/Zero,"In your studies of magic, your research led you to discover a unique ability. You are able to alter the rules or any spell or ritual in a single way. That is, you can allow others to take on any costs associated with the magic alongside you. This may not be forced on others, they must willingly accept the costs alongside you, but once a willing partner is found, it allows you to split or share the costs in whatever fractions you both agree on. Wish to share the cost between two people, each with half the energy? Sure. Want to have another person take the entire burden? Long as they agree.",,,
,,400,I Am the Bone of My Sword,Fate/Stay Night,"One thing. The very core of your being. Something to base your whole life around. For Shirou Emiya, it was Swords. For you? Perhaps something else. You'll find yourself innately understanding the idea you choose, even letting you understand other concepts a bit easier if you can frame it in the context of what you chose. More importantly, you're an absolute genius when it comes to magic based around this one thing. Shirou Emiya, an otherwise poor quality Magus, was able to use magic that approached the level of True Magic when relating to swords. It took him being in a rather unique situation, where usually it would still take years to achieve, but he did what would have been impossible for most Magi. You are on the same level with your chosen idea. When related to that idea, your magic will be many times stronger, many times easier to use and many times easier to learn or create, though the broader the concept is from 'Sword' the lesser the effect will be. Careful to not lose yourself in your own ideal.",,,
,,400,Long Sought Execution,Fate/Legends: Strange New World ,"Humanity’s thoughts and feelings are what shape the course of history. Is it so strange that feelings as strong as your own could warp the world? Not when they’re such dark emotions. When pursuing goals motivated by hate, vengeance, rage and other negative feelings, you can find that these goals become unnaturally easy to achieve the stronger those feelings get. The fabric of reality twists in ways to make normally difficult things easy and near impossible things achievable, at least if you are deep enough in your fury. The impossible cannot be made possible but enemies that would normally dodge your attacks may find you moving faster than should be possible for your body or that your strikes tear deeply into their normally too-tough flesh.",,,
,,400,Variation Phantasm,Fate/Extella,"The mana in the air here is mutable, far more easily changed than the reality on Earth. Things impossible to achieve in Gaia’s bounds become much more probable within the lunar shell. One of those such things is a alteration of sorts, one you can apply to your own abilities. Your Noble Phantasms, as well as other abilities or magic you may have, can be rapidly and easily expanded or defined in their target number or area of affect. An Anti-Unit Phantasm that strikes a single person in the heart could be expanded to an Anti-Army effect able to attack many targets at once. The trade- off is a lowered level of power, matching the expansion in targets. That heart striking Phantasm would have to lose the attached fate-bending effect to work on such a large scale. Exchanging power for scale but the reverse also applies, letting you narrow the effective range of your Phantasms and abilities to greatly increase their power or even generate entirely new effects. It takes only a few moments to adjust these things, enough to be effective in battle, and their costs otherwise remain the same. While there is no theoretical limit to the expansion or narrowing limit, both do reach a point where the power thins out enough or the focus is so small that they are impractical against most targets.",,,
,,400,Magical Corruption,Fate/Legends: Empires of Antiquity,"A good enough wizard doesn’t stop at mastering his own magic, he even masters the magic of those around him, a lesson you’ve taken to heart over the years. You’re exceptionally good at detecting and altering active magical effects, even extremely complex and long term ones like a Holy Grail War, allowing you to achieve normally impossible things for that system by adding more energy and making your changes or change the target or purpose of the effect, along with other effects. Altering the target of an attack spell in flight, changing the process of a magical war ritual or interfering with a summoning spell to use it to summon someone you prefer instead of the original target. You’ve got very quick reflexes with this, which does help with using it in combat, but complex changes are likely to require longer rituals that may take hours or days and making alterations to large systems can be horrendously expensive. All the more worth it in the end and just switching the targets of simple combat spells is quite manageable.",,,
,,400,Eternal Sunshine,Fate/Grand Order,"When you walk in the room, it lights up everyone’s faces. Unfortunately it’s not your winning personality at work but the shining sun that follows your presence. Or perhaps another feature entirely. See, when it comes to conditionally activated powers, you’ve got the blessing of not really needing to worry about conditions. As long as you need to satisfy a location or time based condition to use an ability or item, that time or location will overlay itself on you and your immediate surroundings. Need it to be noon to use your powers to their fullest? The sun will constantly shine down on you as if it were noon. Require being in a specific building to have your greatest abilities accessible? That building will overlay some of its features in the ground around you to ensure you can simulate being there just fine. There are some limits however. Time based conditions that do not occur at least once a year will not work for you through this and location based ones must be places you have been to and that are currently accessible in your current jump.",,,
,,400,Mysterious,Lord El-Melloi II Case Files,"Your soul is a self-updating Record of Mystery, akin to a Servant, only moreso. This makes whatever supernatural powers you use accepted by the World and similar as possible, if not as natural. While other mages have to worry about the decline of magecraft, the dilution of Mystery, and the degradation of their Thaumaturgic Foundations, such phenomena never weaken you. In fact, damage to the underlying system never weakens you, so long as you do everything right. Furthermore, while you may need to adapt somewhat, none of your powers are weakened or inhibited by changing times or locations, regardless of how sensitive they ought to be.",,,
,,400,Unified Energies,Generic Fate Redux,"You can use power from other worlds in place of this world’s magic, as this perk links all of your energy pools together, and enables perfect conversion between them. Chakra, Ki, Mana, Cursed Energy, etc. all these energies will be treated as the same energy for you and will be combined into a single energy pool. All past and future energy pools will be affected by this perk, combining them into one. Furthermore, you have some tricks that let you get the maximum possible use out of all this power. You can use raw energy to boost any spell, ritual, or attack to ridiculous, unbelievable degrees, always achieving proportionally greater results instead of wasting your power. Put in enough juice and you could create a Rasengan the size of the moon, or create a Domain Expansion that traps the entire planet. Finally, combining these energies means that similar techniques can also be combined. For example, your Reality Marble and Domain Expansion will run on the same principles with all of the benefits and none of the drawbacks that would entail.

Fire those Unlimited Blade Works swords at your opponents with a domain’s surefire hit!",,,
,,600,All comes down to Numbers,Fate/Revelation Online," In this world, everything can be quantified and analyzed, and you're an expert at that. You can analyze everything around you in terms of statistics and can use this to replicate them, although this isn't instantaneous. However, this will likely take time and tools for things you can't directly observe. One of the major parts of this is the guarantee that everything can be broken down to numbers and analysed, but you should also be able to replicate how Kayaba made his physics engines and magecraft engines, as well as quantifying things like sorcery elements and magic circuits. This will also help you with understanding and calculating anything based on quantifiable values. And when you understand something in numbers, it's that much easier to adjust it to how you want.",,,
,,600,One Extra Line,Fate/Zero,"The cost and strain of summoning can harshly what and whom a Master might summon as a Servant and moving beyond the Master’s limits can have disastrous effects on them over time. Now, you at least may worry less on this limitation. When you summon something, you pay only half of the initial cost in energy to do so but when it comes to maintaining and supplying energy to an active summon, your costs are only a tenth of what they would normally be. Your summoned being still receives the full benefit of whatever mana you would normally need to give to them but it ultimately only takes a tenth of that amount from you, no matter what they gain in the end.",,,
,,600,Exceptional and Lucky,Tsukihime,"The process of gaining true mastery of a Dead Apostle’s state of being, let alone becoming a full-fledged vampire, is a fundamentallyslow one that is based on several different factors and the passage of time. It might even be...how do you say, impractical? So how do you keep speeding through all of it while barely knowing what you’re doing? This perk’s benefits are twofold - any sort of power or item that requires a ‘certain person’ to use it, you automatically qualify. For example if you needed a strong spiritual will to become a certain type of being, then undergoing the process to become that being would welcome and accept the change to your body. Secondly, all abilities that grow based on age or practice now take a considerable fraction of the time and effort needed for you to perfect it, perhaps even letting you develop a Reality Marble as an Apostle in a year as opposed to decades or centuries. I wonder what sort of madness created a being like you...?",,,
,,600,Master of the House,Fate/Grand Order,"Just because you’re a Master, doesn’t mean you can do nothing but supply mana. There’s a long tradition of Masters being genuinely helpful to their Servants and you’re one of the best examples yet. Even if you happen to be a below average Magus in other areas, when it comes to magic that supports your allies, you could help even some of the strongest of heroes. Your support magic, any magic that buffs or enhances one of your allies, is multiplied many times over in effectiveness as long as it is being used on an ally and not yourself. A spell to grant physical strength that might normally only put someone at the peak of human ability could now increase an EX ranked Servant’s strength by a third again. Every one of your buffs will be an invaluable boost to your team, making you just as vital a combat member as any of them.",,,
,,600,Yggdmillennials,Fate/Apocrypha,"Mages tend to work independently, out of paranoia, pride, and frankly incompatible work focuses. Kind of difficult to meld the findings of a ‘punch wizard’ with ‘reanimated corpses’. Not so for you. As long as you have the suitable knowledge and resources, you can combine even seemingly incompatible fields of magical study from a multitude of lines of research into a whole greater than the sum of its parts. Go ahead, make those magical ninja zombies! 

Capstone Boosted – Well, they’re going to be talking about your generation, now. Since you can combine fields of mundane and magical study. Must be because unlike the more old-fashioned members of the Mages Association you understand things like computers. Feel free to figure out magi-tech, program spells, etc. Doesn’t give you the component knowledge, but you can put together whatever pieces of the jigsaw that you do have.",,,
,,600,"Yes, it Works",Fate/Revelation Online,"People with rare Elements are intrinsically different than people without them, and, because of that, “Protagonists” often do things considered strange or unintuitive in order to advance or apply their Element. This perk will allow you to do those things as well.

More specifically, this allows you to have a lot more freedom in what your Element applies to, and how you can implement it. Of course, this will also apply to a Defined Origin and any other sort of Element or affinities you may have. For examples of what your Element applies to, a Sword Element can be widened to have full effects on any bladed weapon, a Blood Element can work the same on any bodily fluid, and a person with a Beast Element could also have that apply to all animals, all without losing any of the bonuses that it would normally have. Of course, this kind of thing could be done (or at least attempted) without this perk, but the farther you go from your Element, the less benefits you have and the more penalties apply, so this allows you to widen the range of “Your Element"" without penalty. There are also different ways you can expand your element as well, so the Beast Element could also be expanded to Phantasmal Beasts, but you may only expand in one “direction” at a time.

The other part of this perk is allowing you to apply your Element in different ways. As an Element only helps its holder when they are acting within their Element, it's natural that people would want to have as much of their magecraft act within that zone as possible. This will allow you to extend that application to levels that most people would consider ridiculous. The only restriction is that you need to be able to connect your application to your Element. For example, let's say someone has a Sword Element. They want to make an enchanted mace for someone, but that's obviously not in their Element. So, they design it off of an upside down sword and then tweak the proportions and design until it's far more like a mace than a sword. Despite this, all of their enchantments would work as if it was only a normal sword because of the way they made it. Say that this person also wanted to learn Gemcraft, but they had absolutely no talent in the subject. However, if they made those gems in the shape of a sword, their Element would then apply to Gemcraft for that gem, and they would be able to compare to someone with a Gem Element.

Lastly, let's use someone with a Cat Element as an example. Now, they decided to add fake cat ears and a tail to their outfit to help act as an aria for magecraft, and it worked. However, when simply doing a base reinforcement of their body, they also gained better hearing from simply having those ears on, and better balance from the tail. They would effectively be real organs during this reinforcement. Their reflexes and general ability would also be greater than they would normally be, and the spell was actually cheaper because they acted within their Element. All of this would be just from a general reinforcement as well, without being aware of this at all.

 The effects would naturally scale with higher effort. These are some examples of things that will work for your Element, Defined Origin, or any other sort of affinity you may have. So, now you too can do things like this, and it will work",,,
,,800,Exception,Generic Fate Redux,"In the grand tapestry of the human world, where Gaia shuns magecraft and unnatural occurrences, you stand as the solitary anomaly, bearing the mantle of Exception. The cosmic judgments that sift through the threads of existence find no fault in you or the powers that course through your veins. You exist beyond the scrutiny of management systems and celestial forces, uniquely exempt from their discerning gaze.

In this realm of exceptionality, your powers are not only accepted but embraced. Enchantments become permanent, and your mastery of magic eclipses the norm, rendering you unparalleled in the arcane arts. You wield the ability to permanently infuse enchantments, crafting wonders that defy the constraints faced by your peers.

Bask in the singular privilege of Exception as you navigate a world where cosmic forces bow to your inherent right to wield magecraft without hindrance. Revel in the freedom to shape reality with unrivaled magical potency, standing as the sole custodian of arcane mastery in a realm where others falter under the weight of rejection.",,,
