0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,51
16,,200,Summoning Catalyst,Grand Foreigner,"As you may be aware, using a summoning catalyst allows the user to summon a specific Servant. For example, using a fragment of Iskander’s armor would guarantee that you summon some variant of the King of Conquerors. This item is a large trophy hall filled with relics. As long as someone was worthy of leaving a footnote in history or becoming a Servant something of theirs can be found here. You may freely use any of these items to summon a specific being. Afterwards the item will be returned to its place in the hall. Lastly, post-jump this trophy hall will expand with new relics from your new world. For example, if you went to DC you might see Flash’s helmet and Joker’s suit appear",,,
17,,200,Mage's Workshop,Lord El-Melloi II Case Files,"This is a warehouse attachment, though it can be imported into future jumps instead. Either way it is perfect for any aspiring thaumaturgic researcher, a structure of your design the size of a manor house that’s all set up for magical experimentation, with an empty surrounding area, and all necessary equipment provided. It’s self-maintaining and has all the relevant utilities. As a bonus, something about it reduces the severity of any and all laboratory disasters by an order of magnitude, though resources, samples, and test subjects will have to be procured elsewhere...",,,
18,,200,Little Shop of Horrors,Witch on the Holy Night,"Not every mage can afford to have a first class workshop when they’re on the move and trying to exact revenge on their dim- witted devil of a little sister. You’re not just every mage. This roughly schoolhouse-sized building has all the reagents and tools needed to create a plethora of Mystic Codes or at a stretch, a greater ritual. Suited for your style of Magecraft, if you have one. While the magical energy within is bent to your will and everything is both clearly marked as well as neatly sorted, it would take a skilled crafter of Mystic Codes to make the best use of it. One who could, would doubtless be able to unleash hordes of automatons or similar forces. Restocked weekly by what a very gloomy automaton designed to look like Aoko Aozaki, if she was naked and sometimes crawled around like a spider.",,,
19,,200,Secret Pleasures,Fate/Extella,"A fairly large luxury complex, made on the orders of a certain Roman Empress. Filled with large natural springs, hot baths, secret gardens and other places of serenity and pleasure; it’s a location that brings even the most hostile Servant to a feeling of peace and satisfaction. Your allies are far more trusting and friendly here, those with amorous feelings much more open about expressing them to you. Even wounded or tired friends will find the waters of the baths here do wonders for healing them and restoring their fatigue. Each room is also quite private, preventing anyone from accidentally walking in on you when you’re busy with another friend.",,,
20,,200,My First Rocketship,Fate/Saber Wars,"The old garage, back where you put together your first spaceship. It might look like just an ordinary house-attached garage, and it is, but it’s also a top class spaceship workshop. Filled with all the cutting edge tools needed to fabricate, refine and attach the parts and technology you need to fly up in the stars. Park a ship nearby and get to work, especially with the heap of design plans for warp drives, Artorium generators and other useful devices found inside. The house next door is also yours, a comfy family home, and there’s even a secret basement beneath the garage with two strange pods. Empty now but apparently useful for keeping Divine beings in hibernation. Not that you’d ever need to do that.",,,
21,,200,Bat Castle,Fate/Legends: The Land of The Rising Sun,"A vast palace that lies abandoned and empty. Who would leave such a fabulous fortification, so thoroughly decked in luxury and wealth? The reality is that it is far from abandoned and the locals are well aware, for it has a supernatural resident. That being yourself. This large Japanese castle is a place of power for you, enormously raising your statistics while present inside. Youkai of middling power become powerful enough to contend with Tamamo the Fox. Not that such power is obvious, as your presence is easily concealed while within the castle grounds. Only the sharpest of magical senses can find your presence while within, even if you stood right in front of an otherwise eagle eyed hunter. 

The castle can be summoned to your location, in full or miniature form, and so quickly that it can even defend from attacks. Magical spells find themselves sputtering out harmlessly against the instantly manifested walls of your castle. With some confidence in you, the castle can also attack on it’s own, physically animating to crush your enemies. Who knows what form this might take, anything from levitating parts of it’s materials to transforming into some sort of mechanised humanoid being. For a more reasonable use of the castle while outside of it’s grounds, you can also temporarily summon the boosting and presence concealing effects to aid you and small groups of allies near you. By declaring where you are standing as your territory, you can benefit for a few minutes from those powers and even focus them towards Endurance, Strength, Agility or Mana specifically to greatly enhance the boost at the cost of the other benefits.

In future worlds, the castle may remain as such or take on a fitting form, such as a known to be haunted mansion or skyscraper. For the payment of 50CP extra, you can also create a secret room hidden deep within the castle that can only be described as a NEET’s paradise, a luxurious bedroom/living room that contains every delight a modern day Japanese nerd might want, even including limitless electricity and junk food. Somehow, if you have the money, you can also place orders for more media or collectors items to be delivered.",,,
22,,200,Witch Shaft Umbrella,Angel Notes,"A gigantic prison-castle, made from solid iron and covered from outside to inside in massive chains. The Witch Shaft Umbrella prison is a very special prison, in that it only holds a single prisoner but that prisoner, so long as they are subdued and cannot fight back, may be imprisoned without regard to size or power or abilities. They cannot break out, even once they’ve awoken, but it is potentially possible for others to break in. As the warden of this prison, you’ll be unable to be imprisoned within and can decide what being is held captive if you can bring a subdued creature to the castle.",,,
23,,300,Indescript House,Fate/Hollow Ataraxia,"You are now in possession of a small house that will follow you into future jumps or attach to your warehouse. In jump, it will always blend into the nearest neighborhood at your starting location. It will have a “haunted” feeling to it from the outside, warding off all but the most curious of folks (tough luck if you live next to the Addam’s Family for instance). All of the furniture will be slightly dusty and unused.",,,
24,,400,Healing Fountain,Fate/Extra,"A small fountain will be added to your Warehouse. Drinking from this fountain will fully restore your health and all sources of energy, but the fountain's energy will need an hour or so to recharge before it can restore you once again. Drinking during this time will just give you a mouthful of clean water.",,,
25,,400,Lovely Lairs,Fate/Zero,"Much fun as it is to go wild, there’ll often be times when you need a quick escape after you’ve had your fun. Having a bolthole or escape route to get to at all times will be a lifesaver and a travel time cutter too. Buying this will ensure that, so long as it’s not totally illogical, you’ll always be able to find a secret route to get the heck out of there. Whether it be a hidden hatch that leads to a network of previously undiscovered tunnels beneath a city or a crevice out in the wilds that leads to an extensive cave system with many openings to the outside. It’ll never be more than a few minutes from your position and it makes for a great way to get around quickly and undetected.",,,
26,,400,Emiya Inheritence,Fate/Stay Night,"Not exactly the same home that Emiya Shirou inherited but one very close in make and layout. This walled estate includes a traditional Japanese home with plenty of space and spare rooms, along with several attached buildings. One of these external buildings is a basic Magical Workshop with a magical circle laid into the floor but no notable tools of any sort. The home has an extensive and fully stocked kitchen that always seems to make the skills of any who cook there much greater than normal, as if some sort of spirit was guiding their actions and choices as they prepared meals. Finally, the home is surrounded in a nearly impossible to detect Boundary Field that alerts the owner of the home to any uninvited intruders.",,,
27,,400,A Secret Laboratory,Tsukihime,"How did you afford this?! You have a secret...well, laboratory, as the title indicates. It comes fully stocked with engineering tools and several advanced computers that can emulate a variety of classic video games from the 90s or earlier, and also comes with a fully detailed control room for coordinating any robots you’ve created. Begin a planet-wide takeover plan, today! If you want, anyways. Can become a Warehouse attachment or an add-on to any properties you own in future jumps.",,,
28,,400,A Luxurious Mansion,Tsukihime,"You must have come from a wealthy family indeed, huh? It’s a fully furnished three-story mansion located on a hillside away from most of the city, but still in walking and driving distance from most modern conveniences. It comes with the normal utilities, enough rooms to comfortable house at least ten people and several more guests, and even comes with a magically-restocking kitchen and fridge for food, and a liquor cabinet to boot. Have a house party or three, would you? Can become a Warehouse Attachment or settled near a city in future jumps.",,,
29,,400,Faded Legacy,Fate/Stay Night,"A house that seems to embody the ideal of the haunted mansion. It's been in your family for countless generations and many old heirlooms and portraits still line the walls of each room. While the house is quite obviously one of great wealth, its halls and rooms always give off a vibe of having been abandoned for a very long time, even when properly cared for. Such an old house is filled with many secret passages, escape routes and safe rooms known only to you, some of which can only be found or opened with magic. Beneath the house, to which many of these secret paths leave, are vast catacombs. Originally just the family tombs, they have long since been expanded to cover great distances in all directions from under the house, with tunnels having opens as far as ten kilometres away. Handy, for keeping things secret or making an escape.",,,
30,,400,Church on the Hill,Fate/Stay Night,"In the nearest town or city to your starting location, there is a small but well-built church under your ownership. It can be of whatever faith you desire it to be and, barring exceptional circumstances, will have at least a fair sized following of that faith inserted in the surrounding area. The church also has living quarters and a few spare rooms behind the main areas, along with a stairway leading down into the basement. This basement is very special. It holds the motionless but still living bodies of several dozen children on stone slabs, each surrounded by magical runes. Each one of these bodies is a constant supply of prana to the one connected to the rituals, namely you. The main effect is that you add the speed of replenishment they have to your own but in an emergency you can also draw more magical energy from those on the slabs, though too much can kill them. The children are just the initial victims and they can be replaced with different or even better sacrifices, though note that anyone greater then a normal human will need additional bindings to keep them on the slabs.",,,
31,,400,Chessboard,Fate - The Island of Sin,"Although her greatest servants are the Tam Lin, they aren’t the only ones she entrusts great responsibility upon. Those Knights who have sworn the highest degree of loyalty to her are sealed away into the Chessboard, placed in stasis until they are needed so that their skills never dull and they never risk falling prey to accidents.

Now you too have your own Chessboard; 32 faerie Knights followers, none equal to a Tam Lin but each capable of fighting a thousand ordinary warriors. When you are done with their services, they will willingly accept returning to the Chessboard until you need them again; their purpose is to serve you, and that is their highest goal and greatest interest in life. The Chessboard itself is an attachment to your Warehouse, and you can use it to place other beings in stasis; it will expand to fit them. Beings in stasis are not considered to be “living people” for the purposes of whether or not you can store them in your Warehouse, but unless the stored beings are companions, followers, or pets, they will not join you on your multiversal journey.",,,
32,,400,Lost Library,Fate/Legends: Baba Yaga,"Ivan the Terrible had a surprising interest in literature and knowledge. Containing long gone philosophies, magic grimoires and other thought provoking articles, he would no doubt rage about the intellectuals of later times misplacing these archives, rendering them lost to time. But for an enthusiastic connoisseur of magic and art like yourself this library must have been made for right? You gain a perfect copy of the library as it was in its prime, holding knowledge from all over the world within and updating with matching grimoires, tomes, documentaries and any other sort of literary record for every Jump you visit. Furthermore it doubles as a workshop, nay a Temple, for those who wish to further hone their mystical arts.",,,
33,,400,Holy Ground,Fate/Legends: Baba Yaga,"A shepherd is nothing without his sheep but where should his flock go? Where else but here in this religious congregation of your very own. Large and beautiful, this church is by default at the heart of a large enough village or town and almost automatically lures in various passerbies curious to see what is going on inside. Just to begin with it already comes with several hundred faithful believers hanging to your every word and praying dutifully. Your own conversational skills and charisma are enhanced notably inside of these grounds. Not only that but it seems these halls truly are blessed, divine techniques having a noticeable boost inside of this territory. Its basement even works well to hide any that need sanctuary and have a good supply of Prana. Unlike a certain Japanese Priest these Prana reserves are entirely unrelated to orphans.",,,
34,,400,Research and Development,The Holy Man of The Church Creek,"The Grigori, although outnumbered, compensates for their limited forces with their technological prowess and innovative capabilities. As a member of the Grigori, you gain access to a fully equipped state-of-the-art laboratory, housing an extensive array of cutting-edge equipment and resources. This includes all the necessary supplies for your research and experimentation.

Additionally, rare materials such as potent souls or unique components derived from powerful creatures will be readily available to you. To support your scientific pursuits, a team of brilliant and dedicated researchers, scientists, and knowledgeable staff members stands ready to assist you, offering their expertise and ensuring maximum productivity as you unlock new realms of discovery and invention.",,,
35,,400,Magical Manor,Fate/Stay Night,"An expected part of your inheritance, the old family home. This is a two story redbrick home with lavish inner furnishings, all in a German style. The house seems to clean and take care of itself, even if a whole room is trashed beyond repair, it will be in pristine condition by morning. As comfortable as the house it is, its real draw is actually the basement hidden beneath the home. Completely undetectable without significant supernatural powers or actually blowing open the ground, this basement holds an extensive magical workshop. Filled with common and rare magical reagents and ingredients, both of which replenish over time. Numerous magical tools for crafting, enchantment and a variety of other disciplines can also be found here, as well as a fair sized but empty room for summoning. Magic cast here is undetectable to those outside the basement, though the basement itself is not indestructible in any way. If you blow the place up, people will notice.",,,
36,,400,Estate,Lewd Fate,"A luxurious Estate built on top of a powerful Leyline it is worthy of even the Greatest of Magi. While within its walls the use of magecraft and magic in general during subsequent jumps is much less taxing and your recovery is boosted by an order of magnitude. A Magus couldn’t ask for a better place to establish a workshop and further their craft. The Manor has been heavily enchanted so that setting the rooms to a particular purpose makes it assist you in your endeavors, as an example turning a room into a sex dungeon will see the manor take care of supplying the toys and other Knick knacks necessary. Its kitchens are equally grand, full of all sorts of meats fruits and ingredients that replenish daily. Its nature also makes it difficult for those who would harm its owner to find and it takes extremely well to defensive and secrecy barriers cast upon it, making them part of it, interweaving them to reduce their weaknesses,boosting their overall power by connecting them directly to the leyline and restoring them automatically if destroyed.",,,
37,,400,"Haunted Manor, Priceless Land",Witch on the Holy Night,"Leylines, the veins of the planet, are highly coveted by mages due to being immense sources of magical energy. You happen to not only have a firm claim on one such area, but own an elegant European-style mansion straight out of a fairy tale in it. It’s more than simply luxurious and classy in ways that would make aristocrats green with envy, it’s also so loaded with magical assets and defences it would be suicide for most mages to pursue you into it. Not to mention the massive library full of information about magecraft of your choice, including both theory and spells. While traps on the level of floating mists that can banish people into mirror worlds abound for those unauthorised by you to visit, the forest outside’s good health can enhance your ritual magic too. Furthermore, as long as you’re inside the manor, your body will be healed as if receiving the minimal medical treatment needed to keep a young human alive and comfortable.",,,
38,,400,Sumerki Kremlin,Fate/Legends: Baba Yaga,"Fortresses of all types are scatered all around Russia. Meant to be a place of safety and comfort for those with the blood of the Tsars. One of these great Fortresses is now your own. Extremely strong, it can endure the greatest of blizzards with ease, house all your allies and companions in luxury and can prevail even against bombardments. However while it is a place of leisure for your allies, your enemies will not be received as warmly, anyone you won’t allow entry being atacked by the Fortress itself. Optionally you can manifest this Fortress like a Reality Marble, summoning it to your location but as a result needing to supply it with magical energy to not have it fade away again.",,,
39,,400,The Magnus Archives,Grand Foreigner,"The archives are the most secure area within the Clocktowers. These data vaults contain the collective knowledge of every Magus that has been gathered over thousands of years. By purchasing this you can gain access to the archives and all of their defenses. Additionally post-jump this library will expand gaining all new applicable knowledge. Everything from magical spells to studies on exotic metals will be included within the library. Lastly, this library will come fully staffed by a group of devoted librarians. They can assist anyone wandering the library and perform research for you. For an additional 200 CP you may upgrade this into the halls of Atlas. Atlas is a data repository which holds the collective knowledge of humanity. This means that rather than merely gaining access to the knowledge gathered by the Clocktower you will gain everything. Lastly, Atlas comes with a search function allowing you to ask any question you desire.",,,
40,,600,SAO,Fate/Revelation Online,"You receive a copy of SAO. This includes every file related to the game as well as an actual physical copy of the Floating Castle that you can access from your Warehouse. The files include Cardinal and the perfected Magecraft Simulation System. Should you desire, you can edit the actual physical Castle to your desires at will.",,,
41,,600,Hologram Summer,Tsukihime,"All of these familiar places, familiar faces...ah, sorry, I was a little nostalgic. This is a space hidden away in either your Warehouse or a Property that you own. This room stores records of any person you’ve encountered, any experience you’ve had, and any battle you’ve fought. Everything down to the last cell of the moments you’ve had on this chain can be recreated in this room, as a sort of artificial ‘what-if’ machine...or a holodeck, if you’re a nerd. Whatever is in here cannot be taken out, as it is just a record of what was - still, if you have a particular battle or moment of your life you’d like to re-experience, you may do so, and even adjust the parameters to change the experience in a certain way to see how different choices might have played out.",,,
42,,600,Tomb Hideout,Fate/Apocrypha,"Sure, it’s not some floating pleasure-palace or intimidating fortress, but you know what this is? Subtle. Rather well hidden. This place is surprisingly liveable and spacious, and if you happen to be interested in Necromancy there’s a good number of bones in boxes here – if that freaks you out, this place is empty of that sort of thing. The ‘main’ entrance is an easily overlooked and locked gate in a graveyard, which has the same corpse/no corpses stipulation as stated earlier depending on preference. If you were interested in that sort of thing, you’d find that if you do want corpses to be present, they happen to have belonged to notable families, making them valuable components in any sort of necromancy you might carry out, or if you really wanted to blackmail someone with their Great-Great-Grandfather’s skull. If you had the talent, you could even exploit this not-so- final resting place to call up a sizable ghostly defence force, though these pale in comparison to even the weakest Servant there is the value of quantity over quality. These barely-visible spectres would make pretty good spies too. This place won’t get flooded or affected by earthquakes and natural cave-ins, maintains a comfortable climate, and the main rooms are deep enough underground that it could tank some of the less devastating Noble Phantasms. It’s also nigh-impossible to get tracked down to this hideout even if people are looking for you, though this doesn’t strictly protect against bugs and other monitoring measures placed directly onto you or anyone you bring in – that’s on you to sort out. Despite having several entrances through a series of tunnels leading into the surrounding area, any attempt at invasion will only come from a single direction, allowing easy escape if it is somehow found. Additional features include some camping equipment to make it a bit nicer to sleep in, enough non-perishable rations for three months, a method of communicating with the outside world of your choice that can’t be intercepted or tracked back to your location, a passable Magus Workshop for whatever specialities you have, and a clearing in the graveyard above seems to be ideal for summoning a Servant. Best to do that outside, some can be a bit temperamental at first.",,,
43,,600,A Special Place,Tsukihime,"Somewhere far away from the city and civilization as you know it...a tranquil, quiet, and gentle place away from the eyes and ears of others. Only you know its location, and no one else will ever find it unless they actively search for you or you show others the way there. It is a wild spot in nature - there is enough food, water, and shelter available to survive, but only if you work towards it. If you live within this space and meditate within it, you will find your physical strength, speed, and durability will gradually increase. An ordinary human who lives like a wild man for a week in this location would have the ability to topple a humanoid beast with a well-placed punch, or race along a highway by foot. However, after you return to civilization or any form of agriculture, the boost from this place will steadily fade away, more so if you live an ‘ordinary life’ in any sort of modern setting, until you are back to normal. Curiously, this boost occurs even if you’re not human.",,,
44,,600,Rebel Base,Fate/Legends: Baba Yaga,"Wherever there is tyranny there are people willing to rise up against it. Be it for justice, survival or simply because they hope their weak children and family can be in peace. This Item grants you a small force of resistance alongside a base of operations. It is heavily fortified, guaranteed to leave even a victorious invader with non-negligible loses and difficult to find unless one of its members were to betray the location to an enemy. Hundreds of men and women alike are within, ready to fight and loyal under your command, taken from the in Jumps population and people. Among those that can fight are however also mere civilians. And why should they not be considering this is perhaps one of the few safe locations for them? Food and medicine never run out fortunately and those that genuinely wish to join your cause will flock unfollowed by enemies to you by instinct. To further aid in recruitment, a staple of Manifesto’s convincing anyone who has already doubt in the Regime you oppose, are there as well and ready to be distributed. Finally any atempts to further teach or train your troops is marginally enhanced when inside this Base. May your country be free.",,,
45,,600,Living Workshop,Kara no Kyokai,"A workshop to make any Magus peer of yours jealous but combined with something much more valuable, at least to the less scrupulous Magi. You own a sizeable building, likely a large apartment complex or mansion or mall of some kind. The main requirement is that it has space for a large number of people to live, or at least be stored. This is because that is the case, with up to 64 families living in the location at once. If they are not kept as cattle outright, the people here will be none the wiser as to what is going on. With the many secret rooms present in the building, it’s easy to hide whatever you desire to do to them, and the building itself has some sort of effect that makes any resident extremely reluctant to leave and very easy to mould as you please. 

But the second and more valuable step to this is that the entire structure is your workshop as a Magus. The most immediate effect is that, due to incredibly unique enchantments and links to you, you are able to instantly teleport anywhere within the building and retain a near-omniscient awareness of all space and events within it. In at least one of the secret rooms of the building, if not several, you will find a fully equipped Magus Workshop of great value to a Magus of your skill and specific specialties. The tools, reagents, materials, peer research if any exists and more will be found. While rare consumable materials will be understandably rare and truly exceptional things for your level will not appear, the Workshop will slowly grow as your mastery of magecraft does and slowly resupply whatever might be used up that the Workshop itself spawns through this option.",,,
46,,600,School Building,Fate/Extra CCC,"Have you gotten attached to the school building that Hakuno Kishinami and their group resided in until they managed to return to the near side of the moon? Well, you’ll get the opportunity to bring it along with you, now. Normally, the building would be deconstructed and lost forever as part of helping Hakuno Kishinami fight against BB, but some odd circumstance will see it returned after the fact, now under your own command. There is a certain managerial AI that you can delegate most of the maintenance and operation of the space to, with pink hair and purple eyes, but this one won’t go rogue, I assure you. The building is quite sturdy to outside interference. It’s not impossible for someone to infiltrate it, but it won’t be trivial even without additional resistance.

You’ll be able to place it anywhere in the Moon Cell you wish, or simply let it drift in the chaotic sea of the far side of the moon, and in future worlds you may similarly place it down somewhere in the world, or simply leave it outside of reality, where you may access it with a thought, and then return to where you were by touching a sakura tree next to the school’s entrance. Likewise, this building, and the surrounding campus, can’t be deleted. Even if reality collapses around it, it’ll serve as a safe haven from the chaotic mess outside. Lastly, you can replicate the feat that the school building was used for in the fight against BB, letting you disassemble it and channel all of its data and resources into a target, providing immense existential and spiritual protection. This would let even a Master approach and challenge something worse than All The World’s Evils without being corrupted, although actually surviving a fight against such a thing would be up to the Master themselves. There are a few NPCs here, but they mostly just serve to populate it, so making them useful will be up to you. Perhaps you simply wish to relax here, away from the world?",,,
47,,600,Crystal Palace ,Fate/Legends: Vive la France,"It’s not every day that even a high class noble comes upon a home as gorgeous as your home. The Crystal Palace, named for the British creation of later years, is a sprawling mansion estate in one of the more lush regions of France, finding equal chance at warm summers and wet winters. The mansion itself could easily house hundreds of guests in luxurious comfort, along with the horde of servants that currently make their homes here in service to the estate and yourself. They’re needed for certain, as beyond the palace is a massive garden and hunting range. There are even supernatural benefits, as your presence in this palace will see a enormous increase to all of your parameters, from the physical to the magical, while you are present.

This options true use comes about from what you can do while outside of it, however. At any time, you are able to call upon the spirit of your home and fashion a dress or outfit for yourself based on the property. This dress holds powers drawing from your property, not just allowing you to benefit from counting as being within the home but gaining new powers, such as manifesting crystal weaponry to damage foes and spread your statistic increases to your allies. Should you import something into this or import this into something later, you’ll find the dress mode will update to properly represent your current Crystal Palace.
 
Additionally, though it can be turned down nor or in future times considering the state of the revolution later on, the ownership of this palace can confer a royal title on your person. Whether it be as a princess or as the actual queen of the country you find yourself in should it be currently lacking, it’ll be a position that is either by birthright or royal adoption. Such titles will be available to you in future worlds, under the same conditions.",,,
48,,600,Castlevania Yggdmillennia,Fate/Apocrypha,"Yeah, best not to let Lancer of Black hear about that nickname. Whether this is some backup to Black Faction, a clerical error with the construction company or just fiat-backed jump-nonsense, you have a reasonably sized castle-town with magically enhanced fortifications and wards. It’s well equipped with surprisingly modern amenities for any ‘classic’ Magus and has plenty of room for any staff or allies you might have. There’s even space for a series of workshops spread throughout the facility, and a very large but currently empty heavily fortified storage area that could contain something valuable. The castle has some manner of anti-air defences, which could perhaps come in useful someday, and seems to be able to accommodate a wide range of usually non-compatible areas of magical study – even the dreaded magic-vs-tech issues don’t seem to crop up here if that would ever be an issue. While there’s currently an empty basement you could store quite a lot of things in, if you need some sort of manned defence there are a number of automated factory-rooms that can churn out sizable armies of high-quality golems at a rapid pace, and the machines that make them can accept any improvements or alterations to the designs you might have. This place is so well equipped and spacious, if you were to send out invitations for disgruntled Mages you’d get more than a few enthusiastic replies and attract some genuine talent away from even the more established institutions. Maybe the potent lay lines the place is built over help too, if you have a way to use them? In future jumps this place will retroactively fit into the landscape in such a way it doesn’t actually change anything, and defaults to a pleasant location in Romania. Otherwise you can just access it in a pocket dimension via the Warehouse or specify where it appears once per jump. Appearing out of mist during a red moon eclipse is optional.",,,
