0 CP,Mercy ,Something Unlimited Jump,"She's a tough woman with a checkered past who is currently working as your personal bodyguard and chauffeur, as well as having some story involving you. In addition to her incredible fighting skills, she also has all the needed skills to act as a big corporation’s CEO. Furthermore, her true nature is that of an adrenaline junkie, as she loves the excitement brought by this crazy life of heists and explosions. She even got a tommy gun next to her bed due to her feeling naked when she doesn't have a gun on her."
200 CP,Signet Ring,The Legend of Zelda Series ,"To prove yourself as the royal you are, you bear this golden ring. Bearing the royal insignia of your chosen race’s royal family, or one of your own design, those who wear it will find themselves immune to disease and poison, as well as resistant to all kinds of curses."
200 CP,Royal Tiara ,The Legend of Zelda Series ,"Heavy is the head that bears the crown, or so you have been told. Truthfully, the problems of rulership often come from people not listening to your decrees and advice. A golden tiara inlaid with gems, wearing this will see a noticeable increase in your charisma and oratory skills."
200 CP,Are You Looking For Advancement?,TES III Morrowind,"Sometimes, climbing the hierarchy of an organization can be a tedious and time-consuming process, requiring endorsements from several  eople who may have to be coerced into giving such. Well, you won’t have to worry about it too much, as simply proving your competence can substitute needing to pass through any other requirements you might normally have to pass in order to advance your position. You do need to actually be competent, however. You won’t get very far in the Mages Guild if you’re a warrior, for example. Of course, this might not pose much  of an obstacle to one willing to learn."
300 CP,Old Lamp,Aladdin,"This is an old looking and outdated lamp, but it holds secrets. Inside is a moderately sized mansion styled to your specifications. To get in all one has to do is rub the lamp and smoke will appear to whisk you inside. Great place to hold secret meetings, throw a party, smuggle people across international borders or just keep a harem. You can even use it to sneak people across a boarder. "
300 CP,Breaker of Chains,A Game of Thrones Jumpchain,"When you make a decree which is unpopular, the people damn well follow through with it, because you are their leader! With this perk, any orders you make are actually followed in both word and spirit."
300 CP,Dungeon,The Hobbit Jumpchain,"There are just some people you cannot get along with. You don't want to (or can't) kill them, but they still need to be dealt with. Your warehouse gains a dungeon attachment with thirteen cells, each one capable of holding any entity no matter their size or strength. You still have to defeat and capture your own enemies, though. It can also be dropped into any property that you own."
300 CP,King Beyond the Wall,A Game of Thrones Jumpchain,"Much like the many Kings Beyond the Wall who have existed over the years, you are a prodigy when it comes to convincing disparate groups and factions to work together. When it comes to creating  cooperation, you could unite a people of a thousand kingdoms, bridge a divide of hatred which has stood several thousand, then keep the resulting alliance together long enough for the factions to first learn to work together, then, with lots of work, forge that alliance into a cohesive whole - though that would probably take decades, maybe even generations if the hatred was as strong as that between the Night Watch and the Free Folk."
300 CP,Terracotta Contingent,The Mummy Trilogy,"One hundred mummified soldiers, encased in stone like the ones who belonged to the Dragon Emperor. Unfortunately, they won’t become invincible after passing they great wall- fortunately, they’re still super-strong, super-durable, and armed with stone crossbows, spears, and other ancient Chinese weapons."
300 CP,The Arkenstone,The Hobbit Jumpchain,"The Arkenstone of Thrain, also known as the Heart of the Mountain and the King's Jewel, is a wondrous gem that glows with inner light. It grants the holder the power to unite people. Where once there was strife and the threat of war, now all will become more reasonable, joining together against common enemies, though not necessarily under your command."
300 CP,Yennefer of Venderburg,The Witcher Novels,"An attractive, but not a very beautiful woman, who prefers a black and white colors in clothes, she faintly smells of lilac and gooseberry. Beloved of Geralt and foster mother of Ciri. Yennefer has a complex character, purposefulness and rare ruthlessness backed by sharp tongue. However, it would be a mistake to think that she is a bad person, her character is the result of the fact that Yennefer was born nearly century ago as an ugly hunchback and therefore was not needed by her family. Only a talent for magic became her key to a better life in this era. Yennefer learned and became a strong sorceress, correcting her appearance, at certain point of her life realized that she wants to become a mother, but what gives magicians the power deprives them of their ability to have children, what by the way resulted in peculiar story involving a djinn, Yennefer, certain witcher and his last wish. Help her in her quest and you have very skilled sorceress with unbreakable willpower by your side."
300 CP,Jagged Crown,Elder Scrolls - Civil War,A crown forged from steel and dragon fangs works as a good helm for war and gives a massive charisma boost when dealing with any form of warrior culture
400 CP,12 Grimmauld Place,Harry Potter Movie Series,"The ancestral home of the Black family, located in the Borough of Islington, in London, within a Muggle neighbourhood, the building is protected by many wards, including a Fidelius Charm of which you are the secret keeper, preventing anyone you haven’t informed about the location from finding the building. Should you choose, you may elect to have these protections extended to other properties you own. Ignoring the normal provisions that would prevent a secret keeper from holding the secret of their own residence. As a side note, the Fidelius Charm over this property will remain with you as the sole secret keeper even should you die.
"
400 CP,A Magical Village,Harry Potter - Era of the Marauders,"A charmingly rustic countryside village that contains a little bit of everything, a pub, an inn, a couple of stores, a haunted house…. Yes, everything that a wizard (or local) could want can be found within, there is even an extension of Gringotts, Olivanders and any other important location, including a few secret passageways that lead to Hogwarts. They do seem in constant need of skilled and unskilled labour however, with jobs available in every location and demand is fierce. Why you could have no skill whatsoever, or only be able to work once a week, and they would just dock your pay a bit and quickly train you up to standard, in what seems like a fraction of the time. It's all practical skill and knowledge mind you, but if you spend a few evenings a week after school cleaning cauldrons in the potion shop, then your practical skills and knowledge of making potions will skyrocket. Don’t expect to reach higher than NEWT level without an apprenticeship mind you, but you will find that the more effort you expend, the more effort you are able to give as your ability to work itself is increased."
400 CP,Advisor Hand,House of the Dragon,"Otto was a second son and became the Hand of the King twice in his lifetime, reaching the highest nonroyal position in the land. This is due to his diplomatic and cunning ways of getting his blood onto the Iron Throne. You are now his equal in laws, and schemes but with an understanding of when to stop."
400 CP,Annihilator Armor ,Justice League Unlimted,"Oh baby how did you get a hold of this! Despite looking like a rather plain suit of intimidating armor, the Annihilator is actuality a powerful living weapon created by Hephaestus himself. Normally this wouldn't become a thing until way into JLU, but you can get this bad puppy early. The armor is borderline indestructible and the more aggression, violence, and hatred it's surrounded by the stronger it gets. The only major weakness it has is Anti-magic weaponry, or people simply not fighting, rendering it no better than a high quality metallic body armor. The armor is explicitly magical in nature and needs to wallow in aggression and hatred to truly shine. While it is designed to function on its own and fight at your command, you could pilot the armor yourself if you have the ability to possess either living beings or inanimate objects."
400 CP,City ,The Elder Scrolls Series,"Why would you be limited to a single home, when you could own an entire city. You may take any city, from Windlem to Mournhold to the Imperial City to Falinesti, or even one of your own design. It will have access to everything you'd expect from your average city, like shops and inns. The citizens within will see you as their ruler, and will act as followers."
400 CP,Crown of Control,Hellboy,"A magical crown that can be split into three pieces, like the Crown of Bethmora; the crown allows the wearer to command the non-sapient beings that they have created, including living creatures as well as golems and robots. When they are being controlled in this way, they are unable to be controlled through other means- your control over them is absolute. In addition, if you wish, the crown can put them in an inactive state where they will not be able to be harmed, and will not degrade or require maintenance o sustenance of any kind. If you’d prefer, you can choose a different item other than a crown"
400 CP,Dragonsreach ,TES: Dovah,"Crafted in the ornate wooden style of the great Nord longhouses of ancient days, this palace was built in order to house the captured dragon Numinex. It holds all of the amenities you’d expect from a palace, from the main hall to numerous guest rooms, an extensive kitchen and larder, even an area made exclusively for the court mage. Despite its construction, Dragonsreach is extremely resistant to fire, as well as magic in general."
400 CP,Dragonstone,House of the Dragon,Based on the Targaryen trading post that became the seat of the royal heir this dark militaristic castle is filled with dragon motifs. It has all the features of the original castle like a Painted Table for the area and is staffed with follower servants. Not even a magical dragon can breach the castle or burn the walls down which makes it perfect for a staging base.
400 CP,Eight Masks ,TES: Dovah,"These eight masks were gifted to eight Dragon Priests who lived on the mainland of Skyrim. Henvoraak grants its wearer an exceptionally strong vitality, rendering them immune to all diseases and poisons. Krosis improves the wearer’s skill with archery, alchemy, and lockpicking. Morokei gives its wearer a monstrously high rate of magicka regeneration. Nahkriin boosts the wearer’s magicka pool, while increasing their skill with destruction and restoration magic. Otar gives a high resistance to all three destructive elements. Rahgot grants unlimited stamina and removes their need for sleep. Vokun improves the wearer's skill with alteration, conjuration, and illusion magic. Finally, Volsung allows the wearer to breathe underwater and improves their charisma."
400 CP,Faction Fort,Dragon Age: Inquisition,"There exists in the world a massive fort, open to the sky and forgotten by time. This fort will remain intact, though in disrepair, but unoccupied until you take residence there. The aesthetic of the fort will mold itself to your choosing, but its location will always be remote. The fort is large enough to serve as the base for a major world faction with room for troops, workers, and facilities of all types."
400 CP,Grand Vizier,Aladdin,"One great thing about knowing the higher mysteries is that many people will look for your help. Not only that, they are more trusting of you despite your shadier aspects. . Allowing you to gain the upper hand. People are more willing to seek you advice and treat you as a valued confidant than they would normally be. You also now have all the practical knowledge on how to keep a kingdom running smoothly, even if the ruling sultan is a fool."
400 CP,Iron Coin,ASOIAF - The Small Council,"A simple yet ominous iron coin bearing the mark of the Faceless Men. When you present this coin and whisper the name of your intended target, a Faceless Man will ensure their death within a week—no matter where they hide or how well-guarded they are. This can only be used once"
400 CP,Lake House ,The Witcher: Nightmare of the Wolf Jumpchain,"A large, well furnished and supplied house by a lake, which brings back childhood memories and provides the lap of luxury. There are NPC  servants and a whole pantry full of honey cakes and really good wine, in addition to other food and supplies, which replenish automatically. There are also some NPC guards, if
they should prove necessary."
400 CP,Loved By Her People,Aladdin,"Some rulers are feared by the people the rule over, some are hated, and even more just view their lords in a neutral light. But now you are loved by your people. They know that you are there looking out for their best interests. You might not always be the right thing, but your people understand that sometimes a good leader must have a strong hand. It will take a lot to get your citizens to rise up against you. You will also find an easier time recruiting people to settle in your territories."
400 CP,Magitech Armor,Marvel Magic,"What kind of fool would walk into danger without proper protection? Certainly not you. This is a suit of armor that bears a resemblance to that worn a certain Latvian dictator, having a rather crude appearance. It is nonetheless a highly advanced union of magic and technology. Powered by a miniature fusion reactor in addition to being able to draw on magical energy for power, this armor is equipped with a number of tools and weapons including standard energy blasts, flight, personal shields, and a teleportation system. The armor also serves to increase the strength and durability of the wearer, allowing them to throw cars and shrug off even large-sized explosives. But perhaps the most interesting feature is in its ability to record spells cast near the wearer, allowing them to replicate the features and incantations to cast the spells immediately – though likely with less effectiveness than someone trained in their use."
400 CP,Red Keep,House of the Dragon,Based on the Targaryen royal palace that became the seat of the Iron Throne this crimson stately castle is filled with dragon motifs. It has all the features of the original castle like the secret passages - apart from the chair - and is staffed with follower servants. No sieging army can breach the walls which makes it perfect for targets of attacks.
400 CP,Spare Key ,Generic Buffy Fanfiction,"A literal manifestation of your energy, a new being is created in the same fashion as Dawn, with the universe augmented to act as if they were always there. By default, this will be a younger sibling though you can specify the relationship however you like. This Key will be a reflection of you, having lesser versions of all skills, perks, powers and knowledge you have. They'll be your biggest fan and into anything you're into, though not as proficient or powerful. Should anything manage to capture you, disable your powers, or render you helpless in any way, this will trigger a frenzied state in which they grow to be your equal and seek out whatever means you harm in a blood lusted rampage."
400 CP,Sunnydale,Buffy and Angel (SB Edition),"You have your own copy of Sunnydale, a town/small city where you will always be the mayor. During this jump, this city will be somewhere safe and run without your interference."
400 CP,The King’s Ear,A Game of Thrones Jumpchain,"Not literally of course, but figuratively and far more valuable. The King or whoever would be equivalent to them in your starting nation, whether that be a Wildling Magnar or Triarch of Volantis now trusts you and sees you as a close confidant and even friend. They’ll always lend and ear to whatever proposals you have in mind and will consistently ask you for advice on major decisions that must be made in the nation, so while you may not be King you certainly can wield a great deal of influence over one."
400 CP,True Nobility,A Game of Thrones Jumpchain,"You're actually a ruler worth the name. You can lead skillfully and with great prosperity. Under your reign, the realm will experience a golden age as great as that of Jaehaerys himself."
400 CP,Jumpveria,Dr. Doom Supplement,"Ah, what would you be without your people? This relatively small country makes up for its size with raw resources and devotion. The lands are filled with riches the rest of the world would rarely see themselves. The people are completely devoted to you, seeing you as a God King. Lastly, this comes with a castle as the core of your country, perfectly opulent for you."
400 CP,Right of Conquest ,Warhammer Fantasy: Rise of Sigmar,"It is a simple fact that if you want something, you only have to take it, be it through choice words, or in your case, forceful conquest. You can challenge others to one on one duels, and when you emerge victorious, you can lay claim to anything that they own. Even if you demand that their entire tribe bow before your own, none will be able to dispute your claim, for you have proven yourself the superior warrior and conqueror."
400 CP,Floating Island ,The Legend of Zelda Series ,"Look to the skies, and tell me what you see. If you see a floating mass of rock, then congratulations. You are now the proud owner of a floating island, around the same size as Manhattan. It has lush plant life, and a never ending pool of clear water. It’s actually quite difficult to see from the ground, almost invisible, though those flying through the air will see it clearly. What use for this, only you can say, but it is a wondrous thing, a home in the sky, is it not?"
400 CP,Royal Castle,The Legend of Zelda Series ,"This will certainly make you feel like royalty. You now possess your own castle in a design of your choosing, easily matching Hyrule Castle in size. It's filled with all the amenities you'd expect from a structure like this, from armories to kitchens to living quarters to so much more. The royal bedchambers are the absolute peak of luxury, fit for a king. It will come with its own staff and guards, the demographics of such up to you to decide."
400 CP,Golden Princess,The Legend of Zelda Series ,"It takes a good ruler to ensure that their kingdom is prosperous and happy, one such as you. Your skills at rulership are simply sublime, capable of efficiently and effectively ruling an entire kingdom on your lonesome. Should you put the effort into it, you could easily ensure that any country or government you rule will experience a golden age that could last hundreds of years, so long as outside forces do not interfere."
400 CP,Telvanni Town,TES III Morrowind,"Have you ever wanted to own a town? Now you can. This property includes a full dunmer town, all of its buildings being magically grown mushrooms, built around a Telvanni tower. The tower itself is the administrative center of the town around it, and also includes a library with a variety of topics from general history to well-known magical topics. The town itself isn’t particularly impressive, but does net you some profit due to taxes, although without tampering with local law it’ll be less than you would normally gain when adventuring. The tower at the center can provide a useful lab, however you should be careful with volatile experiments, as it’d be expensive to restore it. The people of the town are mostly neutral towards you, and will remain as such until you interfere with their lives in positive or negative ways. You’re the ruler of the place, so while you have the responsibility of ruling the inhabitants, you do have some leeway in how to rule them. Overall, it’s a campy little town, unlikely to be relevant to national or global events without a lot of work on your part. But sometimes a calm home is all you need, isn’t it?"
500 CP,Great Ring ,The Lord of the Rings,"But nations and armies are not all there is to this world. There are also artifacts of great power, Rings crafted by elven craftsmen of old, guided by Annatar, the fair disguise of Sauron. Three Rings of Power for the Elves, seven for the Dwarves, and nine for Men. These Rings of power each have their own abilities, but all share their vulnerability to the power of Sauron. Thankfully, you won’t have to worry about that, and may choose one of the Rings of Power to possess. They all share the power to preserve what the wearer values most; for elves, it preserved the wonder of their realms, and Rivendell and Lothlorien are proof of that power, bastions of ancient marvels in the modern age. For dwarves, it preserved their wealth and gold, and the dwarven kingdoms grew rich and opulent. For men, it preserved their very lives, and the nine kings of men who wore them became wraiths under the command of Sauron."
500 CP,Horn of Joruman,A Song of Ice and Fire Jumpchain,"A large, ornate and legendary hunting horn capable of massive destruction to even the largest of structures. Can only be used on a weekly basis but can bring practically any building (or Wall) tumbling down when blown.
"
500 CP,Solitude ,Elder Scrolls - Civil War,In Skyrim the general of the legion is housed in the city of solitude you now have a copy of the hold capital of Solitude attached to your warehouse
500 CP,Blood of Númenor,The Lord of the Rings - Twilight of the North,"By some chance the blood of Númenor runs true in you, nearly as much as it does among the royals of Gondor and Arthedain. You are one of the Dúnedain or Men of Westernesse. Tall, dark-haired and grey-eyed, and more noble in spirit and body than other Men despite the fading of your kind. You possess the gift of foresight to some degree, though it is not infallible nor predictable. You are stronger in body than any among Men save the Troll-men of Far Harad, and in lifespan you can expect to live two centuries or more. You inspire those around you by your mere presence, and can ward off the effects of fear on your men. You have some innate talent for the healing of wound and hurt. There is an innate air of authority to you, like the Kings themselves, and even those who have never met you will at least recognize it. "
600 CP,"
An Army of Stone and Steel ",Harry Potter Movie Series,"This army of 100 stone statues and 100 suits of armour will follow your commands taking positions to act as inanimate decorations, only moving when you order them to. You can also convert any other mundane statues or suits of armour you own into more fiat-backed soldiers for this Item.
"
600 CP,City State,Aladdin,"Your own personal city to rule over. You can build it anyway you want or take a preexisting city to claim. Be it the cheese loving city of Odiferous, the Land of Black Sand or some place else. Whatever it is, it is now yours to rule over as you see fit. It is a well known and prosperous trade hub in its region. You may import a previous city as this one. If taken with Vanishing Isle you may combine the two. Yes, it can be Agrabah if you are part of the royal family in one way or another."
