CP Cost,Name,Jumpdoc,Chapter,Description
Free,Cosmo/Dunamis,Saint Seiya: Episode G,Source,"The incredible energy found deep within all life. Cosmo sleeps in humans, animals and Gods alike,
waiting to be ignited and turned into amazing and miraculous power. Those who unlock access to
their Cosmo can learn to ignite and burn it, setting that energy alight within themselves to achieve
superhuman feats and utilise supernatural powers.

Cosmo can enhance the physical body to incredible heights or manifest a vast variety of supernatural
abilities, depending on the skill, knowledge and race of the user in question. There are many degrees
and levels of mastery and power with the use of Cosmo but for the purposes of your time here, you
will be quite incredible amongst Cosmo Users. As a Saint, you will have the average level of power
and skill with Cosmo that a Gold Saint has, meaning that you have long since unlocked the Seventh
Sense. You have the power to destroy massive stellar objects and to move far faster than the speed
of light. As a Titan, you will instead access the holy power of Dunamis, a divine equivalent to Cosmo.
Darker and denser than Cosmo, it can be difficult to take hold off but you have largely mastered your
use of it. You are equal to most of your Titan brethren in the use and power of it, putting you at a
level that allows you to destroy entire galaxies and outmatch the Gold Saints with ease...right up
until they do the impossible.

While a Titan may have more power, a Saint has a natural tendency to do the impossible and
perform miracles that allow them to reach far beyond the power that they normally have access to.
The battle between a Saint and Titan may at first look to be blatantly one sided but for a Gold Saint
with the will to win, they can triumph even when they should be crushed without mercy."
Free,Spirit Animal,Samurai of Hyuga,Source,"All people in Hyuga are attuned to an animal that matches with their overall personality and
demeanor. A graceful and elegant person may have a swan, a strong yet kind man might be
represented by a pony, and cunning tricksters will have cunning spirit animals like foxes.

Whatever spirit animal you choose to have will increase your aptitude at dealing with problems
associated with it. A wild boar would find brute force easier to use, whilst a snake would find it
easier to use a more subtle approach."
Free,Battle Aura,Mushoku Tensei,Source,"A warrior has an ability to coat their whole body or a specific part of their body in Mana or magical energy, forming a dense mantle of energy known as Battle Aura. This can be done when someone reaches a sufficient level of development in their body and skills while some unconsciously use it. In your case, you instinctively know how to use it and it passively coats your entire body and clothes from the get-go. This allows you to explosively boost strength, speed, durability, reaction times, spatial awareness and magic resistance along with the ability to strengthen your weapon and perform unbelievable techniques and even resisting harsh conditions like extreme heat and cold is also possible. By default you have the talent to reach Saint-Rank within three years on your own at bare minimum, but with a proper teacher and learning environment you may reach God-Rank in a decade along with having the instinctive ability to use and wield the Beginner-Rank techniques of the Three Sword-Styles.

You also gained the ability to grant the ability to use the Battle Aura of this world to someone that doesn't have it. The people that you grant the Battle Aura would gain a talent that allows them to reach Saint-Rank within three years on their own at bare minimum, but those with a proper teacher and learning environment may reach God-Rank in a decade granted they only focus on either becoming a Warrior, if not it would take much longer reach God-Rank. By default those who you grant this ability gain an effect similar to Laplace Factor, which allows them to improve their Mana Reserves so long they train and continue to deplete their Mana Reserves and they also have the ability to pass Battle Aurato their children and their descendants. You can also grant the same ability/talent to people who lack it in this jump."
Free,Magic System,Mushoku Tensei,Source,"A magician has the ability to manipulate mana or magical energy through incantations and magic circles. This allows magicians to cast magic from the three main types of magic which are the attack magic, healing magic and summoning magic. This ability ranges from basic elemental manipulations like fire, water, wind and earth to healing injuries, purging poisons and disease, strike against incorporeal monsters and demons, increasing one's defenses and creating barriers and calling forth powerful beings to carry out your bidding. The more you understand the world and by extension the universe like physics, time, space, etc, the more potent your magic will be and with that understanding you can create different types of magic that allow you to manipulate different aspects of reality, granted you need to research and develop the said types of magic first. By default you have the talent to reach Saint-Rank within three years on your own at bare minimum, but those with a proper teacher and learning environment may reach God-Rank in a decade along with having the instinctive ability to use and cast all of the Beginner-Rank spells the Three Main Categories of Magic.

You also gained the ability to grant the ability to use the Magic System of this world to someone that doesn't have it. The people that you grant the Magic System would gain a talent that allows them to reach Saint-Rank within three years on their own at bare minimum, but those with a proper teacher and learning environment may reach God-Rank in a decade granted they only focus on either becoming a Magician, if not it would take much longer reach God-Rank. By default those who you grant this ability gain an effect similar to Laplace Factor, which allows them to improve their Mana Reserves so long they train and continue to deplete their Mana Reserves and they also have the ability to pass Magic System to their children and their descendants. You can also grant the same ability/talent to people who lack it in this jump."
Free,Laplace Factor,Mushoku Tensei,Source,"While magical reserves are determined at birth, there are some exceptions like those with a Laplace Factor which allows them to grow and expand their magical reserves to a substantial amount during their childhood. As a jumper you also have this Laplace Factor dialed up to eleven and it won’t disappear once you’re grown. It lets you expand your magical reserves infinitely by simply depleting your magical reserves and allowing it to recover. It also grows with time doubling in amount every year even without doing anything. Furthermore, you also lack the disability of being unable to wear Battle Aura like most beings that have the original Laplace Factor possess. Should you have multiple types of energy pools, this would allow you to combine it into one energy pool that has all their advantages and devoid of their drawbacks though you can split them whenever you wish. By default you have an initial Mana Reserves that would allow you to cast a dozen Beginner-Rank Spells before being exhausted and as a bonus your children and their descendants also gain this version of Laplace Factor. Also if you possess any abilities that provide infinite Mana or extreme Mana regeneration or any similar abilities that stop you from properly using this perk, then you can toggle those abilities/perks on and off."
Free,Ki,Thunderbolt Fantasy,Source,You possess the biology and knowledge needed to use Ki.
Free,Bared Soul,Kill 6 Billion Demons,Source,"In order to use the myriad of martial arts found in this world, you must open your soul if you haven't already. You can now access your Atum. The Atum is the refined energy of a channeled soul and through proficient refinement, one is capable of superhuman feats both mental and physical such as leaping entire buildings, tearing through metal like paper, or turn away projectiles and blades unharmed. For now, you only know some basic enhancement techniques enough to defend yourself against the common rabble. Though you can utilize the Art too, you don’t have any training in it."
Free,"Will, Stamina and Soul",Tunic,Source,"Each being here is unique in many ways, but they all share these three reserves; their Will, their Stamina, and their Soul. You share this aspect now that you are here. In the future though, this can be toggled on and off at will.

A person’s Will is their ability to continue on despite injury. While usually physical injury would cause physical trauma, it seems that it instead whittles away at your Will. Running out of Will has the same effect as running out of blood, meaning that once it is gone you will instantly collapse.

Stamina functions as would be expected, it is the ability to perform physical actions. There is a special caveat here, the more stamina you have the less damage you take from a hit. Note, expect blows to be more devastating than usual if you have tired yourself until you completely recover.

Finally, Soul. Soul is one of the sources of magical power in this world. It can even be used to activate artifacts of other magic systems at reduced cost effectiveness. To note, this power is a measure of power of a soul and not the soul itself. Consuming your entire reservoir will not render you a soulless husk, in fact even if you have minimal soul left you will still be able to use magic one more time, though that will reduce your reserves to zero.
Beyond access to these reserves, you also have a fairly accurate measure of how much of each you have left."
50,Orange Soul Realm,Tales Of Demons and Gods,Source,The second worst Soul Realm. You will be considered just a little below average.
100,Extraordinary Affinity,Against The Gods,Source,"You have extraordinary talent for one of the elements of nature, from Fire, Water, Earth, Lightning and Wind. While nowhere close to what someone with an Evil God’s Seed would have, like, at all, you are still along the top 1% most talented people in that element in the world.

You can buy up to Five of these, and while normally trying to learn Profound Arts of two or more
elements would be more counter-productive than anything else, elements bought here don’t
ever conflict, and indeed, complement each other wherever possible."
100,Mantra Affinity,Asura's Wrath,Source,"You are empowered by a single flavor of sentient emotion. When acting within the themes of your
dominant Mantra, you are capable of peak­human feats. You count as both a prayer source and an
emotional source of Mantra.
There are eight Mantra affinities, Wrath, Violence, Vanity, Sloth, Melancholy, Lust, Greed, and Pride.
Without a Mantra Affinity, you are denied the strength of emotion, and must subsist on ordinary Mantra.

By taking this perk, your safe Mantra Level is set to 2, and you always count as having a minimum of Mantral
Level 1 for purposes of determining such feats."
100,Yellow Soul Realm,Tales Of Demons and Gods,Source,"You are the average, but, using Glory City’s techniques, you will find it difficult to reach the Gold Rank."
100,Love Thy Neighbor,Baki The Grappler,Source,"It should come as no surprise that battle is a sport of aggression, domination, and frustration, but you’ve found another path. You may fuel your combat with love and empathy, with even greater effectiveness. This comes with the natural talent to understand the emotions and desires of others, but also the needs of your own body, allowing you to make physical gains just as fast as you would otherwise, without causing any long or short-term damage that could cripple you down the line. Of course, that’s not accounting damage sustained from actual battle."
100,8th Sense,Saint Seiya: Omega,Source,"Possessing the unique and rare gift of Arayashiki, a sense traditionally awakened after death and intertwined with concepts of reincarnation, you have surpassed mortal boundaries to touch the divine realm while still among the living. This extraordinary feat sets you apart, as only a select few have achieved such transcendence in life.

Your Cosmo and reserves have been elevated to levels beyond even the most revered Gold Saints. With this heightened awareness and connection to the cosmic forces, you stand as a beacon of unparalleled power and enlightenment.

Requires ""7th Sense"" to Purchase"
100,Delicious and Nutritious,Darkstalkers,Source,"Your particular nature allows (or requires) you to subsist on something not exactly normal. Maybe the
vivacious sensations of excitement, the murderous urges of mortals (preventing them from killing, amusingly
enough), to standard blood.
When you take this perk, you may define a single condition or substance that ‘counts as food, drink and
sleep’, but it must be related to interacting with mortals, like how a vampire drinks blood. The experience will be stressful to the mortal, either physically or emotionally­ generally both. You always know how much to take as not to cause injury or death, but you can ‘eat more’ if you desire.
Regardless, one such feeding counts as a balanced meal and four hour nap, and you do not suffer for overeating."
100,[气] Qi Cultivation (Basic),Nine Sols,Source,"You can sense your own qi inside yourself, and draw it out into a faint green aura. At this point, you can only control a small amount of qi; three units. You can also perceive the qi of others to a limited extent; in moments of extreme focus, such as before a powerful attack, it appears to you as a similar aura, giving you a heartbeat’s warning."
100,Qi Cultivation II,Nine Sols,Source,"The amount of qi you can control increases to five units.
Requires ""[气] Qi Cultivation (Basic)"" to Purchase"
100,Psychic Powers,Live A Live,Source,"You have some basic psychic abilities. You’re a rather talented
mindreader, although you’re only capable of reading the minds of humans and former humans.
You’re also pretty good at manipulating senses, and you specialize in manipulating pain. The
offensive capabilities of this are obvious, but temporarily dulling someone’s pain can also be
quite useful as a support ability. Lastly, your telekinesis isn’t that strong, but it’s there, and that
means you can pilot Buriki Daioh if you put in the work."
100,Spiritual Power,Okami,Source,"Perhaps you are a priest, long trained in the traditions of Buddhism or Shinto. Perhaps you are
a member of the capital city's Tao Troopers. Or perhaps you are simply naturally gifted. In any
case, this grants you the ability to see spiritual matters hidden from the clouded minds of
mortals. Such as, perhaps, the telltale markings of the gods..."
100,Wizard,Swords,Source,"You have a natural affinity for magic and enchantment. This allows you to quickly learn to weave the threads of magic to produce effects seemingly from the aether like fireballs, enchanting swords to have a variety of effects like growing wildlife or summoning ducks, and through great amounts of effort you can create rituals of town-sized catastrophe."
100,Jack of All Swords,Swords,Source,"You have a natural affinity for emphasizing the attributes of reality and exploiting cosmic mechanics. This allows you to enhance something like the natural aspects of reality into greater potencies such as a human swordsmith capable of creating their pepper sword to burn with the flames of its spiciness, a whistler to create a whistle which is sharp enough to cut the flesh without a drop of magic, And a swordsman could create techniques that can call upon their blood-iron content to flash-forge a blood sword."
100,The Gift,Anima Beyond Fantasy,Source,"Souls are not something that simply disappear. When a man dies, he
joins the flow of souls, flowing through the world as a mindless spirit... as potential power. A
power you know how to wield. You have within you the ability to use Magic, to guide the Flow of
Souls into creating amazing and powerful effects, powered by the Zeon within you. But mere
power is not enough: You’ve also knowledge in a single path, having mastered a quarter of the
spells it has the offer. If you desire, you may have learned a different theorem of magic, such as
Onmyodo, Vodoun, Shamanism, or Natural Magic."
100,Ki User,Anima Beyond Fantasy,Source,"Magic is not the only strength, and not only the Gift can grant you power.
You’ve learned the art of using Ki, able to call upon techniques to destroy your foes or simply to
enhance your own being, giving you skills such as striking at spirits with even a mundane blade,
or launching yourself with inhuman speed, or causing your blade to ignite with the strength of
your soul. But simple potential is not enough. You’ve learned three different ways to call upon
your Ki, either simple techniques of the first level or abilities that enhance yourself in a more passive manner."
100,Nemesis User,Anima Beyond Fantasy,Source,"What rot is this? This foul depravity, psionics, magic, and ki... you
loathe it so. You will not permit it in your presence, and have learned the arts of Nemesis to
assist you. With the strength of your soul, you can learn to weaken spells, shatter psionic
matrixes, and devour Ki. You’ve learned the basics of this rejection of the supernatural, and
though you have learned to counter only one power thus far, you are assured that you will learn
more, until when one faces you, they shall face you with nothing more than steel... if your body,
will, and soul prove the stronger."
100,Psion,Anima Beyond Fantasy,Source,"Your mind is mighty, and your will unquenchable. It is enough to change
the very world around you, for you have been trained, or perhaps took training in the psionic
arts. Magic? Ki? Why would you use such limited powers? Both run out. Your mind will never
fail you. Although... though you may be loath to admit it, your mental reserves are not similarly
infinite, your mind containing bursts of potential that recharge only slowly. These bursts of
potential may be permanently expended to learn new powers, or saved, that when you find your
power is not enough, they may be called upon, expended for no more than an hour to enhance
your mental strength as you lash out at your foes. Though your potential is limited for now, no
more than seven bursts, you are certain that more will come to you in time."
100,Vital Aura Attenuation,Cradle,Source,"Ordinarily, a human's Core, their
Soul, is made from ""Pure"" Madra. While Pure Madra absolutely has it's uses, the vast majority
of Sacred Artists attune themselves to Vital Aura as soon as they can in order to make their
Cycling that much easier and give them new abilities. By purchasing this, your Core is already
attuned to up to two different aspects of Vital Aura. Examples of Aspects include, but are not
limited to: Swords, Shadows, Fire, Destruction, Wind, Water, Earth, Force, Poison, Ice, Hunger, and Light."
100,Titano: PUNISHMENT,Duel Monsters - Duel Terminal I,Source,"Even so... pain inflicted upon others isn’t something to be left alone. The filth of their sins mars their very soul, and it shall serve as fine fuel for the flames of hell. The fires you cast and command, whether from your nature as a Jurrac or some other means, shall burn the evil of those they strike. Every bit of harm inflicted upon another, every act of malice or selfishness towards others, every deed done that has made the world a little bit worse. All of it shall ignite, dealing grievous harm to another equal to the evils they themselves have committed. The laws of the wild will not allow such perversion to go unnoticed, O noble beast of flames."
100,ELEMENTS,Duel Monsters - Duel Terminal I,Source,"To call the Genex naturally occurring robots would be doing a disservice to their capabilities. Nearly every Genex, other than the Controllers, has some kind of affinity for an element. Most impressive is their capability to control and create this element for the purposes of power generation. Just by existing, even a human-sized Genex can output enough energy to power an entire town, and their ability to directly generate and command said element isn’t far behind. What truly amazes those who care for the planet, however, is that they are naturally averse to pollutants. Water controlled by a Genex naturally rids itself of oils and abandoned plastics, and the smoke produced by a fire Genex actually cleans the air it lingers on. Since you are now a Genex, you can choose an element to produce power with and gain abilities like those previously described."
100,Branded in Gold [FN],Duel Monsters - The Abyss,Source,"These are the Stigmata, brands that are placed upon the bodies of all citizens of Dogmatika. They grant those marked by them supernatural abilities, as well as forcibly awakening hidden talents within them and/or granting them new ones, although these abilities are usually aesthetically aligned with Light and/or Holy. These are usually relatively minor, but exceptions always exist. One major example of this is Fleurdelis’ Lightning Abilities, which are strong enough to the point where you would need the Force of Nature Perk to match up to her. Naturally, as a Human born within the nation of Dogmatika, you have also received a Stigmata , granting you a golden brand upon your body. Where it is, and how large it is, is up to you. You can even choose to have multiple if you desire, although it will not change the power you receive. Normally, in addition to being a method of reinforcing faith in the people and as a weapon against their enemies, these brands could also be used as a method of control. Allowing the head of the Dogmatika Church, Maximus, to cut off the abilities of its holders or even corrupt the wielders. You don't need to worry about this with yours, however. You simply have the power with no consequences, aside from having the tattoo. If you have any Tattoos, you can choose to make those into your Stigmata instead of getting new ones. Having it change color to be Gold is something you can do, but is entirely optional. Otherwise, the appearance of your Stigmata will be the same as the one shown below on Ecclesia’s forehead, which is the appearance of all Stigmata."
100,Elemental,Worldless,Source,"To some magic is a weapon, to others, it is their very being. You have a close affinity with a specific element. It is infused into your body. You are highly resistant to it and can control it with far greater power and ease. The reason this is so cheap is that it requires you to specialize. You can only take this once for a single element, and cannot make additional purchases of Magical, nor can you take Balanced. You are placing all your bets on the one element you choose here.
Requires one purchase of ""Magical"", Incompatible with ""Balanced"""
100,The Sorcerer's Apprentice,Legacy of Kain,Source,"Not that one, but in a general sense you are. Simply put you are now the equivalent of a novice in the arts of magic, capable of commanding these primal energies for your own use. And while you might start as a beginner, your potential ensures that with enough time and effort you could become so much more."
100,The Pillar's Apprentice,Legacy of Kain,Source,"If you want a more focused boon you can always surrender extra 50 CP to gain a greatly increased affinity towards a particular field of magic. Choose one of the nine principles associated with the Pillars, such as Death or Dimension. Spells and abilities related to your chosen principle – for example necromancy for Death or summoning for Dimension - will come to you much faster and easier than they normally would, as well as requiring less energy to perform. This will also extend to future jumps and their own magical equivalents as well. And finally for an extra 50 CP your magical reserves are now increased as well, allowing you to continue casting where most here would be drained of energy after a mere few spells. Only the Circle guardians are now your superiors in matters arcane.
Requires ""The Sorcerer's Apprentice"" to Purchase"
100,The Only Emotion I Need Is Hate,Triune Scriptures,Source,"Fundamentally, a Demon is the enemy of everything that exists. Most of them aren’t as ambitious as
that statement makes them seem, or even as powerful as it would imply. But having said that, it is
absolutely true. You see, Demons hate. They hate like a Hylian would breathe, practically a necessity
of their existence. It’s great motivation, for various reasons. You now find it trivially easy to latch onto
people as your enemies - their face is ugly, their style is stupid, and worst of all, they’re winning. The
more you hate them, the easier it is for you to push more and more of yourself into killing them. Into
standing back up on broken legs to stab them with a rib that they broke and you ripped out. Or into
laying so utterly still they mistake you for dead, so that you can crawl away and cultivate that hate until
you’re ready for a rematch. Just be wary - too much hate can interfere with your survival instincts, and
it would be a shame for you to die before you kill all the people that you hate."
100,Super Meter,YOMI Hustle,Source,"As you take or deal damage, you gain power. This power builds up as a meter, and can be used to execute flashy moves that have lasting, powerful effects. Stronger attacks need more meter."
200,Green Soul Realm,Tales Of Demons and Gods,Source,"You are considered a genius. Breaking through the Gold Rank is an easy feat that can be
achieved with enough time. An example of a person with a Green Soul Realm is Xiao Ning’er."
200,"""Shiko"" has Another Meaning",Baki: Son Of Ogre,Source,"Through your training, you’ve become sensitive to the “good” or “evil” forces in your
environment. It’s ambiguous whether these forces are spiritual or scientific in nature, but
you will be able to vaguely sense whether an area or object is dangerous or not to the
living. You can even turn culturally significant rituals into effective training methods,
which seem to fill the area with “ki” causing life to grow and flourish in that area."
200,Elemental Variant,Fog Hill of FIve Elements,Source,"Like Wen Ren Jin Xuan the current fire elemental with his green fire and Shen Tú Zi Ye with his ice, you handle a variant of your element, to be clear besides the basic forms of each element, such as fire, there are variants of the elements that are controlled by people, different from the original element, but equal in essence, That is the case of Wen Ren Jin Xuan manages the ghost flames a variant of green fire, unlike the normal fire Jin Xuan's variant focuses on creating more solid construction with his fire creating rings or spheres of different sizes that function as weapons or enhance their attacks, different from the normal fire that uses combustion to accelerate or hit harder.

It is also the case of Shen Tú Ziye who handles ice differently from the normal element of his clan which would be water, Shen Tú Ziye handles ice using it to move faster and create stronger and more durable defences, as I said before, the elemental variant may not necessarily be stronger, but the versatility and the way of fighting changes considerably."
200,The Eight Sense,Saint Seiya: The Original Series,Source,"Many humans peak at this level, but there is one point beyond they have access to, which is
only found at the threshold of death - the Eighth Sense. The number of individuals who have
reached it within this world are few, and the only one currently close to obtaining it is Virgo
Shaka, the strongest of the Golden Saints. While the Seventh Sense is a milestone, this one
requires a miracle - enlightenment and understanding of one’s own death is the ‘easiest’ way to
do so, and only after much meditation and training. It is possible to forcefully elevate yourself to
this after mastering the Seventh Sense by tossing yourself headfirst into the Underworld or a
similar hostile afterlife...but that is more likely to kill you for good. However, should this level be
obtained, your feats in Cosmo are outmatched only by the much-stronger Gods and those who
have unlocked this same sense, making you capable of sending entire galaxies into chaos with
your strongest blows. In addition, it enables you to transcend life and death, letting you waltz out
of the afterlife or exist within it as a living being, should you be sent there.

Requires ""Seventh Sense"" to Purchase"
200,8th Sense,Saint Seiya Lost Canvas,Source,"""Arayashiki"" is, primarily, the sense which allows the dead to keep their consciousness and identity as souls. It is linked to reincarnation, and the first steps of godhood (so much that the ones who even just approach it are often referred to as ""closest men to the gods""). Naturally, this sense would only awaken after death, and even then incredibly rarely, however it is possible to achieve the eighth sense while alive through much, much training of the mind and cosmo, or an epiphany… which you apparently did. Additionally, such early awakening of the arayashiki gives even greater reserves and power to one's cosmoenergy, surpassing even ""normal"" Gold Saints entirely and not so far behind the Gods themself. 
Requires ""7th Sense""to Purchase"
200,It's Only Natural,Saint Seiya: Episode G,Source,"The Dunamis was within you from the moment you were born. It was not something that needed to
be awakened for you like Cosmo but instead as innate to you as it is to blink or breathe. Being a
natural part of you, you find yourself easily mastering its’ use and the use of things in a similar vein.

Whenever you are dealing with some kind of power or energy that is a natural part of your being,
you’ll find yourself mastering the use of it and control of it much faster than anyone else in your
situation. You’d be on the level of the adults with ease, even before aging beyond the level of a child."
200,Born From Dust,Saint Seiya: Episode G,Source,"As a God, it is no wonder that the world looks upon you as a natural part of it, particularly given that
you are not of the traitorous brethren that turned against Gaia. Your very being is a part of the
natural world, in a way no other human and very few gods can claim. You always count as being just
a part of the natural world around you for any purposes that might benefit you. A defence against
any kind of hostility would fail to work against you, as your blows are see the same as a hurricane’s
gust or an earthquake’s shuddering. Just a part of the natural world."
200,Praise Be To Jumper,Okami,Source,"Do good, and be worshipped out of gratitude. Do evil, and be worshipped out of fear. Being
prayed to grants you power."
200,Domains and Rights,Grant Morrison's 18 Days,Source,"Beyond matters of mere flesh and power, you are a being tied to Concepts, a being such as a
God. You have a fundamental understanding of every aspect of this Concept, as in you
understand every potential aspect of it and every permutation of it... but have a care, because
such things may have meanings different from what you think. After all, it was Krishna (God of
Compassion, Tenderness & Love) who understood the need for and triggered the Mahabharata.

Effectively, you become a part of the Concept, a living embodiment of it.
You have a philosophical and practical understanding of whatever notion you pick, that
transcends reason or possibility. Your ability to expound upon the intricacies of this Concept is
so complete that a casual conversation with you on the matter could become holy text read by
millions or billions for eons to come.

This works better the narrower your concept. Picking ‘War’ would make you a better general
than all the generals ever put together, but picking ‘Everything’ would only make you the ideal
Jack of all Trades. Well, more like a Doctorate of all Trades, but you get the idea.

Can Be Purchased Multiple Times"
200,Neverwarden,Swords,Source,"For one of the realms of demon swords: Dream, dire, Hunger, Curse, Chaos, Darkness, and magic. You are the epitome of its antithesis. A Neverwarden of chaos would be an extremely boring person that's very presence vastly weakens the chaotic and has the ability to take boring actions that can instantly kill it with just a couple of words.
Can be Purchased Multiple Times"
200,Split Core,Cradle,Source,"This Perk allows you to take two different Paths, or
leave one of your Cores as Pure while utilizing the other one for other needs. Because you have
two Cores now, each the same size as the original. This also comes with the ability to further
split your core at will, though it takes at least six months of preparing each time you do it, and
further cores will only be half the size instead of full-size. If you buy this multiple times, it will
only create one new full-size core each time (so buying it twice would give you three cores,
three times for four cores, etc)."
