0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,59
10,,200,Zero Dark Sleeping Room,Fate/Extella,"Not quite the Zero Dark prison dimension but it’s at least as comfortable. Somewhere in the virtual world of the Moon Cell is a unassuming cave, very difficult for anyone else to locate. The cave’s entrance and interior grows as big as you need it to be based on your own size and what you store within it, with any reasonable comfort you could desire being found within. Relatively common food, entertainment, fashion, shelter and so on. All mundane supplies but enough to make for comfortable living even for a titan stuck within. While mundane and common is the rule, sometimes strange things tend to appear in this little pocket realm. If Altera can accidentally create a water slide made from breasts, who knows what might pop out of your dreams while here?",,,
11,,200,Pleasure Quarters,Fate/Legends: Nirvana Yuga,"A private place to take all your dearest friends away, never to be seen again. A little texture of your own, wrapped over and around itself to be sealed away from everything else. This warped dimension is near impossible to pierce into, without the power of a bestial threat at least, yet you find it easy to watch and influence the outside world from it. You can enter the pleasure quarters you have from any location, being able to watch for a distance around where you entered from within and even reach out with magic. Dragging people in is possible even without specific powers for it and leaving without permission is almost as hard as breaking in in the first place. Those within this realm find themselves with far reduced resistance to any corrupting abilities you have and that the core aspects of their beings, things on a conceptual level, are much easier for you to access and manipulate with any magic or powers that have that potential. The dimension is small, enough to fit a castle and surrounding town, but can easily be nested inside other similar locations.",,,
12,,200,Home In The Throne,Grand Foreigner,"Servants are copies of Heroic Spirits that reside in the Throne of Heroes. Thus why shouldn’t you have your own space within the Throne? You may open a portal between your space on the throne and the universe it is attached to. The Size of this space and its portal is dependent on your overall Power Level and Legend. Should you be a Galactic Conqueror then your space in the Throne will be your entire Empire/Kingdom with all your people. You and your Companions can reside inside if you wish/permit it. This dimension has resistance to all attacks except to those that can cause universal level damage. After all, your dimension has to be somewhere in the universe, unless you put it in your Warehouse. However, should it be put inside your Warehouse, you can only open the portal to your space while you are inside your warehouse. If this item is in your warehouse, others are prevented from interacting with it, unless they are already in your warehouse. This is simultaneously a useful protection and crippling bane depending on how you wish to employ the space.",,,
13,,200,The Blood Gardens,Grand Foreigner,"The Blood Gardens are a dungeon within Yggdrasil that serves as Cainabel’s fortress. The dungeon is a veritable city filled with vampires and their servants. Purchasing this item will allow you to claim the Blood Gardens for yourself or at least a copy of it. This dungeon is protected by four powerful vampires including Carmilla, Dracula, Cain, and Abel. While inside the Blood Gardens each of them have their parameters boosted significantly making them stronger than the average level 100 player. These four vampires will be led by a being on par with Cainabel’s full strength. Alternatively if you dislike the vampire motif then you may design the area yourself. The only restriction is that it must follow a theme. For example, perhaps you would rather create some sort of underwater city populated by merpeople",,,
14,,300,Small Business,Fate/Hollow Ataraxia,"You gain a small business in the commercial district. It’s discreet and while it does good business, it also doesn’t attract a lot of attention. In essence, it’s not only a good place to hide but also a great place to find some slice of life action. Post jump, this business can insert into your new world. You don’t have to manage it at all and can in fact work there without anyone knowing you’re the owner.",,,
15,,300,France ,Grand Foreigner,"France is a country which has gone through many wars over a variety of reasons and is considered an enlightened country. Granted that didn’t do much good when Jeanne Alter was burning it down with an army of wyverns. Though that’s beside the point, by purchasing this item you may claim the country of France for yourself. That’s right the entire country including its people, cities, and other notable features. This kingdom will come with a large army equal to the full might employed by Jeanne on either side of the conflict. Each army will have a dozen Servants by default ones who actually belong to the area. You will be considered the ruler of this land having the eternal loyalty of all its inhabitants. You may optionally turn this area into a warehouse attachment if you wish and insert it into future jumps.",,,
16,,300,Rome ,Grand Foreigner,"Rome is one of the most famous cities on Earth and one of the most pivotal locations in human history. This is the land of emperors, slave warriors fighting for freedom, and a kingdom which controls a large section of the world. You may freely select any version of Rome you wish, though by default this will be the Rome in which Nero leads. This city is filled with millions of citizens, a vast army, and even seven powerful Servants who safeguard it. By default this will be seven emperors or other legendary figures of Rome. Though given their vast history this includes far more people than you might initially expect. You will be considered the true emperor of this land and have the loyalty of all who live in it. You may optionally turn this area into a warehouse attachment if you wish and insert it into future jumps.",,,
17,,300,Singularity,Grand Foreigner,"The Singularities are distorted versions of history where something dramatic was altered. Normally these altered histories give birth to powerful Servants, unique circumstances, or other various wonders. However, in the end, all of these places are erased in the name of restoring Proper Human History. Not anymore. For 300 CP you gain a strange warehouse attachment, which we will refer to as the Hall of Singularities, which starts out as an empty hallway. Whenever some form of Alternate History caused by Time Travel is fixed, like a Singularity or a Lostbelt, you can choose to add an entrance to it in the Hall, causing it to be stabilized there instead of letting it be erased. The area that was affected will have an impassable boundary appear similarly to one of the Lostbelts. You may choose whether time is paused when you are not present in a Singularity. If you wish, you may merge any of these areas such that they only have a singular entrance in the Hall of Singularities. You may make this merge occur any way you wish: with this jump alone, you could easily merge the Orleans and Septem singularities to create a single singularity with two Frances neighboring each other, or one with a singular France with half its population wondering how the Dragon Witch's defeat led to the Roman Empire's sudden revival, and the other half wondering what a Dragon Witch is. You may also add any of your warehouse attachments with a population to the Hall.

If you are not satisfied with this, for 600 CP you can expand this effect. You can now choose to add any Alternate Histories that would normally be created during the normal course of events in a jump, but you prevented. For example, if you managed to prevent Part Two of FGO from occurring, you could add all the Lostbelts even though they were never created. Or on a smaller scale, any of the event singularities. This will occur for all of the Jumps you have been to and go to in the future, and they will appear once you have rendered it impossible for them to occur.

Additionally, this increased price allows you to choose to have singularities be automatically generated in future jumps, which are already fully contained in the hall. An example of how it would work in another Jump is that if you went to Naruto then you might get something like what if Minato and Kushina lived rather than dying in Obito’s attack. You will be able to travel to these Singularities bringing people, items, and other objects from the Singularity. Should you wish to prevent the creation of an excessive amount of Singularities you may limit the factors or events that are considered relevant. All beings native to each Singularity will be restricted to their home Singularity by default, and are unable to leave or endanger other areas. For example, if you went to 40K any local variants of the Chaos Gods would be unable to leave the Singularities unless you personally brought them out or gave them permission to leave",,,
18,,400,Kiosk,Fate/Extra CCC,"Rejoice, Master, for you now have access to a Kiosk. Healing items, MP recovery items, absurdly spicy food, even the occasional useful Mystic Code, as long as you can pay up you can purchase quite the extensive collection of useful items. In future worlds, the Kiosk will also be stocked with items that help you recover a decent amount of any form of supernatural energy that you can use, which have no side effects, letting you use them as much as you want. They’re not very expensive, five minutes of killing enemy programs in the Sakura Labyrinth would be enough to buy an acceptable amount of recovery items, but some things, such as the special extremely spicy mapo tofu are surprisingly expensive. In future jumps, you may use any currency you wish to use to purchase things from this shop. You don’t have to worry about buying the entire stock, as the strange NPC manning the shop will restock the Kiosk every day. Quite the wonderful thing, is it not?",,,
19,,400,Branch of the Holy Church,Witch on the Holy Night,"Somewhere in town is another parish, every bit the equal of the one mediating magus conflicts but with much less traffic. To most outsiders it seems just like any church, perhaps with an ineffable extra bit of tranquillity. Magically sensitive individuals may notice that service is empowered by magecr-sorry, Sacraments and that the priests have a very particular set of skills. Skills that make them a shining beacon of light against the darkness of the occult. Most have relatively modest and utilitarian abilities that let them do things like sense malign intent and grant medical treatment thought impossible by the modern era, but at least one is a one-man army capable of laying low the greatest magi alive. Oh, and somehow you’re the rightful owner of the church, and they’re paying you rent. Your tenants are fond of you, and don’t mind doing a side gig or two.",,,
20,,400,Womb of All Evil,Fate/Stay Night,"You discovered an immense cavern years ago, which you laid claim to upon realising the unnaturally powerful aura that was embedded into the very ground. Hidden underground near your starting location or on a property you own, this huge cave amplifies the power of any 'Evil' magic four times over when the caster is inside, including rituals for dark purposes or spells to summon evil beings. The enhancement is quite clear cut and intending to use evil for good will not take effect, only evil magic used for evil purposes will be enhanced. The cavern emits a terrible aura even beyond the cave itself but at that distance it only serves to ward away anyone not specifically travelling to the cavern.",,,
21,,400,Spiral Manor,Lord El-Melloi II Case Files,"The headquarters of an Eastern society of mages, and a peer of the occidental Clocktower. Mages from this organization utilize Philosophy Magecraft, which is reliant on a massive Mystic Code called the Disc. Both Disc and manor come with you to future worlds, and will not become hostile without at least a flimsy justification. For a 1000 CP instead, all of the middle and lower tier members are replaced with loyal followers, and you have full access to the Disc’s power.",,,
22,,400,The Clocktower,Lord El-Melloi II Case Files,"Yes, the whole thing. It is hidden and protected by a large number of powerful bounded fields, equipped with dozens of laboratories, classrooms, and libraries, which will be inserted into new worlds. The residents have no particular loyalty to you, but they’ll never become openly hostile without excuse, and they’ll forget it after that jump. For 1000 CP instead, the magi are replaced by loyal followers each jump, though they remain reluctant to act outside their role as such, and only the average and ordinarily elite mages will recur.",,,
23,,400,Mountain Temple,Fate/Stay Night,"You have come into the ownership of a good sized temple and the tiny mountain it resides on, which has one long, winding staircase leading to the temple with a large torii gate at the top. While there is little else but the shrine there, the shrine itself is spacious and well maintained by a few dozen monks who reside there at your leisure. These monks care for the temple and the surrounding land, as well as carry out religious services, either in the name of a religion of your choice or something they picked otherwise. Both the monks and the temple itself exude a peaceful aura that will greatly assist any sort of mental recovery or rehabilitation and the men here are worldly enough to offer sound advice on many paths of life. Not all that is special about this temple is known to those who live here however. Surrounding the mountain are incredibly powerful wards, enough to stop all but the strongest of Servants from getting in by any route other than the staircase, which itself is narrow and easily defendable.",,,
24,,400,Progressive Estate,Fate/Legends: Strange New World ,"No man of science is complete without his laboratory of choice and neither can a proper magus be found without a workshop to house his life’s work. It’s much more rare that both are found in the same place however. This rather luxurious, lush and expansive estate you now own, with a few hundred acres of land and very sizeable manor house, is really just the window dressing. Attached to that fancy house up there is a combined laboratory/mansion the size of the very mansion it is attached to. Filled with technology and academic research at the very cutting edge of the 20th century, and somehow a few steps further in some cases, on three different fields of technology as well as a wide range of magecraft tools, research and notes on three magical topics of choice that would be well regarded even in the upper echelon’s of the Mages’ Association. While each side is already quite impressive, it is the small library regarding the efforts of the previous owner of the home to find applications towards mixing each side that is the hidden gold here. Notes on how to truly bring out the potential of technology with magecraft and vice versa are here. As well as all this, the entire estate, manor and laboratory are surrounded with multiple layers of defense and obfuscation of both technological and magical means. A small army could not break in, even if they could find the place.

You may import a property into this.",,,
25,,400,Family Lands,Fate/Zero,"Your family staked a claim on an immense stretch of land long ago and they’ve retained it ever since, with the title now falling into your hands. Large enough to fit all of Tokyo within its borders, these lands are largely uninhabited by any other human, though it is likely brimming with flora and fauna in excellent condition. Located in any reasonable location of your choice and in any terrain or climate you desire, these lands are legally yours no matter what government or organisation you are dealing with. Furthermore, there are certain amounts of protections to be found here. A number of magical wards have been set up to alert you to the presence of any intruders upon your lands and a few hundred combat familiars of varying types also patrol the lands and will attack any unauthorised entrants.This can be imported into.",,,
26,,400,Abandoned Island,Fate/Zero,"Far out at sea, at least a few hours boat ride from the nearest known landmass, is an island not on any maps or records. This island was perhaps the site of some terrible event that caused it to be erased from all official records. Big enough for a small jungle and village of around 300 small families to be on it, only animals and yourself live no it now. Unless your actions cause it, no one will discover this island or be able to find you on it. Lastly, a lone mansion rests at the heart of the island, equipped with a fairly complete Magi Workshop personalised for whatever art you chose to specialise in. This can be imported into.",,,
27,,400,Vacation Island Luluhawa,Fate/Grand Master,"A perpetual tropical paradise, this singularity was once the site of one of BB’s many plots but has become yours to do with as you please. The island itself is a mundane if exceptionally luxurious tropical resort with many hotels and tourist destinations available to enjoy, although the island chain also includes a variety of locales that would normally only be seen in the other summer singularities such as Casino Camelot and a deserted island inhabited by a tribe of sentient boars. As the ruler of this tropical island paradise you may enter and leave whenever you wish, putting your jump on hold to take a vacation without having any time pass in the jump you came from. However as a vacation destination relaxation is the only activity allowed on this island chain. Training, crafting, and other activities won’t carry over any benefits back to your jump if you try to take a “working” vacation, though developing relationships with your allies is perfectly fine.",,,
28,,400,NFF Services,Fate/Legends: Baba Yaga,"Nine Fox Foundation has become an infamous name on the market, reeking in profits and fulfilling its missions par excellence. While you are not taking over the already present equivalent, you can now have a Company that more than rivals NFF in size and profit. Within your reach is your own private military company and weapons manufacturer. Though that by itself does not need to be the full extend of its reach, a casino resort already having become an additional subsidiary and who knows where else they could expand if you are willing to guide it. But even without your overview this company will bring in some nice profits. But of course that isn’t the end of it and I do not even refer to the elite squad of mercenaries under your employment.

The armory you now have access to is vast, from guns and rifles for any environment, to various kinds of explosives, all controllable and further enhanceable with your own magical energy. Even means of transportation like a chopper and motorcycle can be found here.

But the greatest creation of NFF is without a doubt the NF-79 Tactical Suppresion Vehicle, the best weapon ever made by Tamamo Heavy Industries. The tank like vehicle sports vast amouns of armory and ammunition, bringing down massive barrages of missiles at your command. You can summon it to your location with something as simple as throwing a smoke grenade. But the weapon has one other purpose. It can serve as a shrine, be it to yourself or another cult, applicable for anything that requires such.",,,
29,,400,Misty Castle,Fate/Stay Night,"Somewhere, in a remote and isolated location, lies a small castle that seems to be constantly enshrouded in mist, along with its surroundings. This 3 story palace has dozens of rooms for almost any purpose one could desire and the most lavish and luxurious interior along with a large and well cared for garden in the centre of its layout, open to the sky. This fantastic residence comes with ten or so robotic Homunculi who are incapable of true free will but will carry out any functions expected of a cleaner, cook, guard or general servant when within the bounds of the castle and its surrounding lands. Speaking of which, the lands around this castle are also owned by you. They extend for at least a dozen kilometres in every direction around the castle but will never be anything but empty terrain such as forests or plains.",,,
30,,400,Personal District,Fate/Extella,"A division of your own, created with priority by the Moon Cell as part of the new world. A slice of land the size of a small city, brought up from the virtual space around you. It’s a mix of various times and places, chosen by you. You might combine an Irish town from the time of the Ulster Cycle with a Roman imperial city, with an ancient Chinese temple at the centre. While you can’t pick more than three or four, you’ll find your city populated with people from the times and places you’ve chosen, albeit most aren’t too far beyond ordinary humans or magi. The city will automatically spawn defences if threatened, from ranged artillery to large numbers of attack programs, and those that live in your new city also aid in it’s defence. You’re considered the faction leader of your homeland, which is likely to result in Nero and Tamamo seeking you out to ally or serve under them in the initial battles here.",,,
31,,400,Home of Luxary,Fate/Legends: Empires of Anitquity,"A vast arena, much like the grand Colosseum of Rome, is now yours to own. This massive arena is made with all the finery that ancient Rome could offer and is deeply connected to your very soul. You have the ability to summon the arena to or around yourself with a thought, spending a small amount of magical energy to call it and maintain it, though even a basic spellcaster could hold it for hours. With your connection to the arena, you can freely customise it’s appearance and facilities between summons, turning it from a battle arena into a theatre stage complete with art workshops and kitchens or even into a massive, magical water park. When summoned, it replaces whatever environment it was summoned over for the period of time it is maintained, including altering conditions and magical rules to fit the ordinary setting of Rome that this arena calls home. Handy for preventing enemies gaining bonuses while on their home turf. The arena slowly but steadily raises your physical and magical abilities to a cap of around five times your normal levels should you be fighting an opponent here and wait an hour, whereas your opponents will feel their capabilities drop to half the strength in that time. It’s difficult to escape, similar to a Reality Marble, but possible for those with exceptional power, magical skill or unique abilities.",,,
32,,400,Meat Factory,Fate/Strange Fake,"Why focus on a simple Workshop, when you could have a collection of many of them? Concealed in an industrial complex, a large collection of multiple workshops have been connected to build a truly monstrous complex. And you, as the true master of the greater workshop, have complete control over all of its defense mechanisms, as well as the contents of the multiple legacies researching in it.

If you ever choose so, you may activate its most terrifying feature: the complex will start to turn into an Otherworld, designed not to prevent others from entering, but to digest anyone that tries to escape, except for you, its true master. Even a powerful Heroic Spirit would have some trouble while fighting in it, and that’s only if you are consciously trying to aid them to prevent them from being sucked in by this Workshop. But it is still entirely possible that they can demolish it before this alone gets to make significant damage to them. However, for most human magi it is a death sentence.

Finally, there is a special artifact located in this factory. Stolen from another family of magi, it is an apparatus that allows to transform humans, or their fresh corpses into magic crystals that contain that person’s worth of magical energy. A regular human won’t give much, but it seems that someone has dedicated a lot of time on this process, for a large pile of magic crystals already exists in one of the rooms of this factory. Enough to sustain a Great Hero Servant going all out for the duration of the entire war, if you have a way to channel all of them.",,,
33,,400,Edison City,Grand Foreigner,"Edison City is a massive city powered by six generators with unlimited energy. It originally used six Demon Kings, but this version has proper generators and industrial systems set up instead. The city is capable of developing technology at an incredible rate advancing years in mere weeks. Aside from its impressive economy the city itself holds a decently population of approximately five hundred thousand. The city is guarded by five powerful Servants, and an army of robots. Additionally, should it come down to it, the city has an arsenal of two dozen nuclear warheads that can kill high level Servants. Lastly, you may turn this city into a warehouse attachment post-jump and import it into future settings if you wish.",,,
34,,400,Isolated Oil Rig,Fate/Grand Order: SkyrimAnon,"One of the biggest assets that Marisbury Animusphere possessed was Seraphix, an oil rig in the North Atlantic Ocean, that acted as an ordinary oil rig by day and was the seedbed for some of his most important (and most unethical) experiments at night. And with this purchase, you get a copy of it, ideally in a different ocean entirely. The oil rig is built as a mobile, submersible, double-layered platform. The topmost platform serves as the normal oil rig facilities (and also has a church for some reason), but the true purpose of the facility lies in the second platform. Hidden in locked chambers accessible only to those who are permitted entrance, is a powerful magical generator that powers all manners of spiritron-based equipment, such as leyline sensors that allow you to map what are effectively the brainwaves of the Planet you are on.

Thanks to its secrecy and ability to be isolated from civilization by submerging itself underwater, as well as a special Mystic Code that prevents divination from peering into the insides of the facility, this is a perfect workshop for experiments that would get you hunted down by the Clock Tower. Marisbury was conducting research into connecting the souls of humans with that of the Planet by synchronizing their Magic Circuits with the oceanic leylines, and used failed Master candidates as living biological circuits kept in stasis. Ultimately, Marisbury’s research was a success. And now you have your very own Seraphix facility to perform experiments with. Will you keep utilizing it for its intended purpose, perform some other kind of experiment, or dismantle the whole thing to repurpose it into something less unethical? You are the owner, so the choice is yours.",,,
35,,400,Spiritual Tomb of Albion,Lord El-Melloi II Case Files,"Beneath the Clocktower is the monster-filled, mystical labyrinth created when the dragon Albion attempted to depart for the Reverse Side of the World after waiting too long, only to end up fused to the earth around him and be trapped in a pseudo-undead state. It is a place of enormous danger, but also enormous opportunity. This Spiritual Tomb will come with you to future worlds, though there are no mages within unless you bought Clocktower, in which case they will be as loyal as those there. While no human has yet managed it, it is possible to enter the Reverse Side of the World by traveling far enough down this labyrinth. If you do so in future worlds, you will find some realm of layer of existence where local myths and legends reside - or whatever equivalent exists. Discounted with Clocktower.",,,
36,,400,Labyrinth,Fate/Legends: Empires of Antiquity,"Every man’s home is his castle and every monster has their lair but only a few can bring it anywhere. You’re one of those few, able to call a ‘labyrinth’ into being in the world around you, trapping you and your foes in a maze designed from a place you call home, though you can change which place you call on. In effect, you drag yourself and any nearby foes into a pocket dimension that cannot be escaped unless they find the hidden exit, which may not be impossible but may be extremely hard, or manage to kill you, as you cannot leave without letting the enemy leave with you. There is no escape outside of these two points and you’ll find yourself greatly boosted in strength, speed, endurance and tracking capabilities while in this dimension pocket. Whatever form the maze takes on, it’ll still possess any unique attributes of the home of yours it was based on and you’ll find it easy to navigate the maze yourself, as if you’d wandered it for years.",,,
37,,400,Temple Complex,Fate/Legends: Oasis of Fantasy ,"A vast complex built of at least twenty different temples meshed into a single, monstrous whole. This ‘temple’ is more like a small city formed entirely of temples. Enormous structures, devoted to the gods of your religions, and even a massive pyramid at the very centre of the small city. This entire complex has been dedicated in name and magic to you, it being a mighty fortress as well as a place of divine connection to the gods of your faith. City destroying attacks are effortlessly reflected by the walls of the complex and powerful anti-magic wards nullify almost any magic attempting to affect the city or those within.

The city itself grants you the power to receive and give out a wide variety of blessings and curses to yourself as well as allies or enemies that come within the city’s limits. The most basic is that you cannot die nor can any being closely connected to you on a spiritual or magical level so long as the temple complex is in place. Beyond this, the blessings and curses depend on what gods have temples in the complex, each granting a blessing or curse befitting their natures. A god of poison may allow you to quickly kill most weaker warriors that enter your complex and give a significant penalty to any stronger beings for example. Finally, the complex has access to a powerful magical beam attack that shoots out from the peak of the main pyramid. Even at a base level, this beam can annihilate modern day Tokyo and can grow even stronger should magical power from the rest of the base, or from the owner, be directed towards this beam weapon. You may import an existing building or fortress into this.

This complex can be gained in this form or alternatively sealed into the form of a reality marble-like projection. If this choice is made, the benefits and blessings are only active when the reality marble is actively maintained, constantly costing noticeable amounts of magical energy to do so. Your immortality protection won’t work if the temple is not currently projected. However, you can deploy it within seconds to any location, even laying it over the top of existing places or dragging others into the pocket dimension for a short time. Imports into the complex work as normal.",,,
38,,400,The Isle of Jumper,Fate/Legends: Empires of Antiquity,"Just a little hut isn’t enough for the legendary wizards and witches of this time. Like Circe herself, you’ve got a sizeable island in the seas surrounding Greece to call your own. Large enough to able support a castle-sized residence and a small village as well, with decently sized forests surrounding each, the island is surrounded at varying distances by many powerful wards that turn away the curious and slow, attack and sometimes destroy invaders. The waters and shores are treacherous and filled with loyal beasts and monsters, though the island itself further in is quite idyllic. The village is populated by two hundred or so decent but simple folk that look to you as their lord and don’t ask many questions. Able specimens, particularly as they quickly replenish lost numbers without much issue. Your own home is at one of the higher points of the isle, overlooking a tall cliff, and is quite the extravagant affair. A luxurious mansion with an even more expensive and certainly more advanced magical workshop within, the sort of thing even some of the greatest magi in history would be ecstatic to have access to. It does have a lot of materials focused on human experimentation though. I guess Magi never change.",,,
39,,400,Hanging Gardens of Babylon,Fate/Legends: Oasis of Fantasy ,"A floating fortress the likes of which has never been seen in the world and will never be seen again. The size of a city, built to the very peak of magnificence and luxury, the Hanging Gardens are undeniable the jewel of any empire. Covered in gardens with plants, both mundane and magical, from across the world, the fortress is a beautiful sight as much as it is a weapon of war. Nigh impenetrable even should the attackers be able to fly up to the city in the first place, the fortress is equipped with an army of many tens of thousands of automated golems and homunculi that manage the defenses, along with a wide range of powerful lasers that can burn through almost any attacker.

The pilot and ruler of the Hanging Gardens are one and the same, as you may control the direction of the fortress from the throne. The structure acts as a perfect territory for you as it’s ruler, massively boosting your magical power so that even a novice mage could cast spells with power equal to the greatest magicians of the old world. While in the structure, you will also find that all statistics and abilities you possess receive a small but noticeable boost, that your inherent mystery is significantly increased and that any attack against you becomes noticeably weaker. You may import an existing building into this role.",,,
