0,,Cost,Name,Jumpchain,Description,PERKS,COVER,107
,,100,Luminary Reader,The Holy Man of The Church Creek,"The Luminary Reader is an angelic device designed to measure an individual's aptitude to light and the amount of light energy present within their body. It is often used as the initial test to determine the suitability of candidates for wielding Holy Swords, as the possession of a sufficient amount of light energy is a prerequisite for such individuals. Operating on a color-coded scale, the Luminary Reader assigns a specific hue to represent the measured aptitude of light energy.

The scale starts with yellow, denoting the lowest level of aptitude, and progresses upwards through various shades until it reaches white, symbolizing the highest level of aptitude. The device is activated by approaching the Luminary Reader, and placing their hand on it. Through a complex array of magical algorithms and sensors, the Luminary Reader assesses the quality and quantity of light energy contained within the candidate's body, providing an accurate reading on the color scale.",,,
,,100,Deceptive Mystic Code,Fate - The Island of Sin,"The human “Capless” isn’t known as such today, but instead referred to as Spriggan, the head of the Earth Clan. In truth, Capless killed the original Spriggan and, using cosmetic surgery, perfumes, and a Mystic Code quite similar to this one, pretended to be Spriggan so perfectly that for more than a century, no one ever caught on that he was actually human.

Your Mystic Code is more versatile than Spriggan’s, and incorporates all of his methods of deception into one. Firstly, it allows you to perform minor cosmetic surgery to alter people’s appearances; it also “remembers” original appearances so you can undo any changes you make. Secondly, it disguises your scent, letting you change your smell to anything else you can imagine, or leave it to have a scent “natural” to your current appearance. Thirdly, it hides your magical energy signature and lets you present a “false” magical energy, letting you hide even from esoteric means of discovering your true nature.",,,
,,100,Soul Boundary Talisman,Vasto of White,"The Soul Boundary Talisman is a small, circular talisman that can be activated to create a boundary within a certain area. Once activated, the talisman's power is fueled by the Soul King's power, causing the set of laws within the boundary to take effect. The boundary's jurisdiction is determined by the user, and anything within the boundary is subjected to the laws of 'All is Equal'.

The boundary has the ability to ground all momentum and suppress all spiritual energies, including those unique to Hollows, Arrancars, Shinigami, and Quincy. This results in them losing their former advantage in strength and leaving them with only their physical capabilities. This effect makes it easier to contend with superior foes in battle.

The Soul Boundary Talisman can be used in both offensive and defensive strategies. When used offensively, it can be activated within an enemy's territory to suppress their spiritual energies and leave them vulnerable to attack. When used defensively, it can be activated around a protected area to ground the momentum of any incoming attacks and suppress the spiritual energies of any intruders.",,,
,,100,W F D,Fate/Legends: Strange New World,"Strange tools made by a strange madman. Reports say he had the head of a lion and ran off after these fell out of his pocket, screaming about the Presidents having secret missions for him. Best not think about it.

But what do you have here? Three marvels of science which seem to have gone a bit beyond any of their kind. A camera that by looking through the lense, reveals things that are concealed by supernatural means, even allowing a normal person to see spirits. A pocket phonograph that when played, sounds out any noise that is concealed from the area around you, making those of unnatural stealth the loudest around. Finally, a light bulb that when flicked on, reveals all things within it’s range. Not only temporarily revealing concealed beings but also the true forms of any within range, the presence of the supernatural and even when someone is being controlled by another. Each tool is very sturdy, rarely breaking, yet seem quite difficult to figure out their mechanisms. It may take some time to do so.

You may import similar tools into the similar objects here. A camera into a camera, an audio-playing device into the phonograph and a light producing tool into the lightbulb.",,,
,,100,Homunculus Body,Grand Foreigner,"Due to Ainz’s frightening appearance Da Vinci created a perfect body for him. He was able to wear this over his skeletal frame. This body was forged to handle various amounts of his magic. This is a variation of this body that has been crafted for your use. It is primarily for inhuman or monstrous beings to blend in with humans. In addition, as it was crafted by Da Vinci; this body possesses a supernatural degree of beauty that can easily entrance those you encounter. Lastly, you will receive a set of bodies for any alt-form you possess allowing you to blend into different species. Should the body be destroyed, you will get a new one automatically in one day. Or you may craft a body with your own abilities. You will receive a mental blueprint/recipe on how to craft Homunculi Bodies.",,,
,,100,Magician's Tome ,Fate/Legends: Oasis of Fantasy ,"Magicians are ill-prepared without their tools. Not that you’d ever be found without your trusty tome. This book is a powerful grimoire, a magical tool that not only stores a enormous variety and depth of magical knowledge, but also a tool with which your magical power can be significantly increased when you use it. Your grimoire is quite old and stores spells that master magicians have created and encoded, across three or four fields of magical knowledge that you have an interest in. It does not contain any world-changing magic but would be quite useful to any young mage wishing to have a guide towards becoming a master. It’s notable for how efficient it is as a magic tool as well, increasing your power by almost half again when you hold it as you cast spells, and the book has several minor demons bound to it that will attack any but you that try to force the book to open to them. You may import a book or casting implement into this role.",,,
,,100,Childhood Diary,Fate/Legends: Strange New World,"A ratty little diary with a simply pen tied to it. The pages look like they’re about 50 years old but they seem sturdy enough to write on. The book might look like a reject among rejects but it’s got a special trait. It can bring to life the imaginary people written about in the book, like it once brought about the existence of young children’s imaginary friends. It’s not a very useful power, as it only works for ordinary people and simple animals and they don’t know anything the user wouldn’t, but much comfort can be had from making the perfect friend for yourself. Normally, they’d only last as long as the book does, but some say that with a strong enough emotional connection, these beings could become real alongside you. 

You may import an existing book into this item.",,,
,,100,The Golden Fleece,Fate/Legends: Empires of Antiquity,"The famed golden sheep fleece of Colchis, a gorgeous sight to see for many but, supposedly, also guarded by a mighty dragon. The rumours are true, as when the fleece is thrown on the ground, a dragon will appear to serve the thrower of the fleece. Not quite as expected however. The dragon is more a very young dragon girl, with pointed ears, blue hair and quite the surly temper. She does look up to you as an elder sibling for releasing her, even if it can be hard to tell sometimes, but she has little real power of her own. A normal mortal soldier won’t pose much of an issue and she could likely kill a few hundred men easily enough but against any real beast or hero in the land, she’s as much a baby as she looks. Maybe if you gave her a few hundred years, she’d be as good as she boasts she is. She can be recalled into the fleece at any time and the fleece itself makes for a lovely warm coat, entirely rainproof.",,,
,,100,Riftwalker's Key,Vasto of White,"The Riftwalker's Key is a compact device that enables its user to traverse through pre-existing dimensional tears. Unlike the Garganta that violently tears a hole between dimensions, the Riftwalker's Key utilizes aspects of the Shinigami's Senkaimon to access these pre-made dimensional passages. The Riftwalker's Key can be used to travel through pre-existing dimensional tears without requiring a guide, providing its user with unprecedented freedom and speed in dimensional travel. However, the user must still exercise caution and ensure that they do not attract unwanted attention from the guardians of these tears.",,,
,,100,Logos Reenactor 2.0,Fate/Grand Order: Cosmos In The Lostbelt,"From the dusty corner of some storage room in the Wandering Sea, you’ve come to obtain this strange large box, about half a meter long and a third wide, with a blue color theme and futuristic aesthetic. It looks completely useless, but thankfully this one comes with a manual for some reason. Turns out this is the Logos Reenactor, an immensely powerful computing device that can simulate a region about half the size of Honshu, Japan (the mainland basically), to such a faithful degree that you could jump right into it with dimensional travel abilities and be unable to tell you’re not in normal reality. Normally, the sheer degree of simulation from this thing would generate real Singularities the moment the simulation began, but this version has that particular bug fixed. Of course, if you would like to retain that particular issue for some reason, you can for a surcharge of an extra 100cp.

Of course, you can also configure the simulations yourself. Perhaps you’d like to play out an alternate version of the Warring States period of Japan, where nearly every single relevant warlord is some variant of Oda Nobunaga? Regardless of what you simulate, unfortunately it won’t be able to expand or account for things outside the boundaries of the simulation, so without reverse engineering the thing and making a bigger one you won’t be able to play real time strategy games with insane detail on a global scale or something, but at least it comes with a power source installed so you won’t need to worry about the energy it consumes to operate. So what kind of simulations will you make with this?",,,
,,100,Blossoming Vessel,Fate/Legends: Nirvana Yuga,"A very particular vessel, a young human with a lovely purple shade colouring their eyes and hair. Apparently the perfect vessel for you as a divine being or spirit, allowing you to exert your full power despite the human form you take on, while still acting as if your Divinity was reduced greatly because of your vessel form. Tools that would be fatal to fully divine beings act as if you were only a weaker Demigod while in this state. The body you take over is quite permissive, never denying your intrusions, and considering you a friend despite your action feelings towards them. The traditional form would be of a young female human, a calm and support sister-figure even for the deity that uses her body as a weapon. But you can alter this if you really want a different vessel for yourself. They do not count as a companion or follower, instead as an item for you.",,,
,,100,Divine Host,Fate/Legends: Oasis of Fantasy ,"The perfect body to which all Goddesses aspire to one day get hold of. A vessel that can contain any divine essence, no matter the magnitude of spirit. This body, appearing identical to one Tohsaka Rin from the far future of this time, is a near perfect vessel for any divinity or spirit. It allows those beings to possess the body without losing access to their full power, though they remain vulnerable to harm while inside. The Rin faced body will alter slightly depending on the one using it, taking on different colouration or minor physical traits to represent the inhabitant. Additionally, while within the body, the user will gain a special talent for gem-based magic and the ability to much more easily convert their existing abilities towards long term storage within crystals and gemstones.

There is also always a body present when you have need of a vessel for a spirit or divinity, even when already using one. In effect, an unlimited number of empty vessels are present to match your needs. A Rin for every occasion.",,,
,,100,Psuedo-Servant Vessels,Fate/Grand Order: SkyrimAnon,"The opposite of Demi-Servant summons are called Pseudo-Servants, where a Servant is summoned into a living human vessel, except it’s the Servant that ends up in control instead of the human. And with this purchase, you’ll be able to make plenty of Pseudo-Servants yourself. You have empty bodies that are clones from every single character you can find in any Type Moon work (yes, even the Servants), all stored somewhere hidden for convenience, that you can pull out and summon a Servant or any kind of summoned spirit into. Whenever you use one of these vessels, you’ll find another empty replacement within a day. The vessels themselves will of course somewhat influence the Servant that comes to inhabit them, but this will mostly result in things like an arrogant goddess calming down or gaining some additional abilities if their Saint Graph is compatible enough, although some will rarely cause more problems such as a vengeful goddess inheriting some of the insecurities and fears of the vessel. Still, this might not be too important depending on who you summon, and into whom. They’re magically powerless by themselves, and useless as anything but summon vessels, although they’re still living and warm flesh, somehow alive despite being mindless. Please don’t use these bodies for perverted things.",,,
,,100,Plan B,Fate/Grand Order: Cosmos In The Lostbelt,"Sometimes, having a backup plan can be a lifesaver. You’ve certainly taken this lesson to heart, as you’ve gotten your hands on a peculiar vessel. Looking like you, but prepubescent, this body is a backup should you ever die, transferring your consciousness to it, and avoiding actually dying. As you’re purchasing this here, nothing can interrupt this process, and functions as a 1-up. Depending on what you are, this child-like body may or may not age, but at least it won’t deteriorate or decay while you’re not using it. It is recommended you store this somewhere hidden, or you may find yourself dragged into an already captured body. Unfortunately, this younger vessel is a lot weaker than you, and you’ll be reduced to less than half of your full capability while in it, whether in magical skill, physical power, or even merely intelligence and deductive capacity. But maybe an opportunity to try again is all you need?",,,
,,100,Puzzle Box,Fate/Hollow Ataraxia,"A small puzzle box that you can play with. Doing so gives a person a calm, focused feeling, and will alert them if “time” has been altered around them.",,,
,,100,Convenient Getaway Button,Generic Fate Crossover,"“They always get away just in time the first time.”

A button that when pushed, ejects you out of any sticky situation you may face, launching you into your base, another time period, singularity, lostbelt or anywhere safe. Only works once per jump.",,,
,,150,Damaged Magic Crest,Generic Nasuverse,"It's a Magic Crest! But it's damaged. It only gives 25 units of magical energy. You have two options with this item.

First, you may choose to lose all high level spells, leaving only general spells. Things like Reinforcement, Alter, etc. You can store ten general spells.

Second, you choose to lose all general spells and most high level spells, leaving only two flawed high level spells.

An example of flawed high level spells would be Kiritsugu's Time Alter spells. They're high thaumaturgy; the highest level of magecraft. That is to say, they're classified as spells on the same level of complexity as a reality marble. But unlike a reality marble, they’re extremely inflexible and have serious drawbacks if overused. You would get two spells on that level.",,,
,,200,Detective's Blessings,Fate/Legends: God Save the Queen,"Unfair, is it, to make use of magic in solving mundane crimes? Just because you call it a game, that doesn’t mean you need to follow any rules. A great detective makes use of any tools at his disposal and if they happened to be useful mystic codes as well, all the better. You’ve got a small armory of useful tools available to you, each taking the form of a variety of items associated with detectives. A number of magnifying glasses for instance, which can both reveal hidden objects and channel burning lasers of light when focused on enemies. Fingerprint dusting kits that can allow psychometric visions of a few seconds around when the prints were left. A smoking pipe that forcibly focuses the mind or even walking cane with a few defensive spells prepared. Nothing particularly potent but even broken or used up, the tools soon return to your stores.",,,
,,200,Royal Doll,Fate/Legends: Baba Yaga,"What an adorable litle puppet! Tiny enough to be held in your arms comfortably, simply holding it brings with itself a feeling of peace and comfort. However there is a more tricky aspect of this doll, as if blessed by the whims of a certain elemental. It can move around by itself at night, atacking any suspicious intruders to your sleep.

If purchased with Viy Viy Viy, you may let the elemental take hold within the Doll.",,,
,,200,Self Geis Scroll,Fate/Zero,"This scroll is a fairly complicated magical artefact known as a Self Geis. Used in contracts between magi, they are able to ensure both sides will stay true to their words or pay a dire price. When an agreement or deal is put in writing on this scroll and both parties agree to it, the contract is sealed and the price for breaking that contract is the permanent loss of all supernatural abilities. Both parties must be aware of this clause and indeed will be, as it is enforced by their own powers rather than the magic of the scroll itself. This contract respawns a month after it is used.",,,
,,200,Puppet Arm,Kara no Kyokai,"A high class prosthetic made through magecraft. At first glance, it appears to be no different than your normal arm, a function of a disguise spell. The arm acts for all purposes as your own, though it’s more flexible than a normal human limb and can interact with the intangible as if it were fully solid. While only somewhat stronger than your normal limbs, the arm is very durable and even being sat on my an elephant wouldn’t harm it. Several secret compartments big enough to hide a small knife are in the arm and the arm is even able to extend greatly in the form of a telekinetic projection, grabbing onto things from up to ten meters away. You can have the limb already installed in place of one of your own or as an extra. When it gets broken, you’ll be sent another a few days later, sometimes even a little stronger than before.",,,
,,200,Onmyo Supplies,Fate/Legends: The Land of The Rising Sun,"A woven pack containing a large number of normally expensive supplies needed for proper Onmyouji craft. A seemingly unlimited amount of high quality paper, ink and scribing tools are within as a start, the basics needed for most spells in this field. Beyond these, are a large number of pre- made charms and shikigami that can be released from the pack on command. These can serve as emergency wards, alarms and shields when in a bind. Moderately powerful on their own, they can hold off a demon or band of men for a few minutes while you escape. The shikigami, numbering a few dozen in small paper forms, are able to act as capable spies and messengers over long ranges. When combined into one, they turn into a large animal such as a tiger or wyvern, a powerful combatant that can defend you against even a decently powerful hero for a few minutes before crumbling. The charms and shikigami replenish a week after being used.",,,
,,200,Volumen Hydragyrum Meido,Lord El-Melloi II Case Files,"An autonomous mystic code designed with a simplistic personality, created with the appearance and function of a maid, though it also has some pretty impressive combat and computational abilities. It can be condensed into a vial for easy transportation.",,,
,,200,A Record of Heroism,Fate/Grand Order: Cosmos In The Lostbelt,"Metallic and very futuristic looking, this briefcase you’ve come to obtain is in truth a very special container. It doesn’t contain anything physical, instead, it contains a record of a number of Saint Graphs from Servants. Specifically, the Servants you either summon or form contracts with, even those you merely meet. Don’t worry about the process, it’s automatic. In short, this allows you to keep summoning the same Servants that you have fought alongside (or against), without having to rely on them half-remembering a vague feeling directed towards you as it normally is with resummoning. The Servants summoned through this briefcase (you will need a potent source of energy for said summons of course, something on the level of a mundane lightning bolt would suffice) will retain not only their memories, but also any bonds they’ve formed with you. Effectively you’re simply bringing your friends back, instead of summoning them from the Throne of Heroes from scratch. Additionally, should you have purchased the Summoning Platform in the baseline jump, this Item is discounted for you without needing to use any of your floating discounts, although said floating discounts don’t stack. Now, you no longer need to worry about losing your Servant friends when you move on to the next jump.",,,
,,200,Records of a Matrix,Fate/Extra CCC,"Half the battle is knowledge. And how could you call yourself a Master without proper information gathering tools? You now own a touchpad, a laptop, or some other kind of electronic device that can be used to read information, that has a special program installed in it. This program lets you learn the matrixes of Servants, or even other beings such as powerful combat capable AI, and in future jumps anyone that has some measure of power beyond the average human. The way this works is that you can simply learn more about some specific target, such as a Servant’s legend, and the more you learn about them, the more filled out with details on their abilities and elaborations on their history and personality their entry in this tool becomes.

You don’t even need to learn such things directly, even just learning a Servant’s full legend from beginning to end would give you full information on their abilities, regardless of if the legend is unclear on details or twisted into something somewhat different but still recognizable. Learning from the subject themselves does yield somewhat more detailed results, but mostly in terms of learning about their personality and secrets, so maybe it wouldn’t be quite as usable in combat. In case you were thinking about it, no, information obtained from the tool itself won’t count for the purposes of the tool itself unveiling more information.",,,
,,200,Sealing Talisman,Fate/Grand Order: Cosmos In The Lostbelt,"Sometimes you don’t have the time to deal with particularly tricky threats. In those times, knowing how to seal said threats in a quick and easy manner can be quite handy. This particular talisman you’ve gotten a hold of can provide that. Being seemingly based on Chinese conceptions of sage arts, this is one of the developments made by Qin Shi Huang in his Lostbelt. What it does is seal away the spiritual or magical powers of those you slap this Talisman on, rendering them helpless. Of course, they can’t remove the talisman themselves, but it’s trivially easy to do so for others. That said, there are limits to this thing. Something on the level of the Monstrous Rank or above would be able to brute force the seal, so you might need to use more than one talisman, perhaps a few thousand if trying to seal something powerful enough to shatter mountains. On that note, you know how to make more, which takes quite a bit of magical prowess and some magical energy on hand.",,,
,,200,Magic Seal,The Holy Man of The Church Creek ,"Magic Seals are powerful relics unique to families and some individuals. This is a special Magic Seal unique to your power. This intricate symbol, passed down through generations, holds the power to authorize its branding on another individual, granting them access to its remarkable functions. As the bearer of this Magic Seal, you have the ability to bestow its powers upon another, allowing them to tap into its formidable capabilities. The functions of a Magic Seal includes summoning the bearers, access to the family magic, and a variety of other abilities.

Each Magic Seal typically serves as a unique representation of a noble lineage, incapable of being forged or replicated. By exchanging Magic Seals, individuals can gain access to the combined power of both families' magical crests, unleashing a potent fusion of their ancestral magics. Traditionally, the exchange of Magic Seals is exclusively reserved for married couples, serving as a sacred bond that unites them due to this effect. If you wish this may be recognized in future settings as a binding contract.",,,
,,200,Magical Tome,Fate/Legends: Baba Yaga,"With all the mysteries you intend to discover it is necessary to have somewhere to write it all down. This Book is the perfect place to store all your arcane knowledge. Any magic you are familiar with is added to it, its nature explained to the same degree you understand, as well as holding all the spells and techniques and even history you know. Adding to it comes easy to you, automatically adding as many pages as you need. But even if you do need a hand worry not for advice on how to continue your studies is found in its pages already, the occasional cryptic and strange quote from the Masters of their art. Finally, the Tome acts as a great focus for your own magical abilities, allowing you to teleport it all over the place and channel your magical abilities through its pages, like for example in the form of powerful arcane blasts.",,,
,,200,Dark Spell Book,Fate/Legends: Viva la France,"A dark tome, one given as gift to you by a friend that is in to some very worrying research. Wrapped in a leathery material best not asked about, this volume is a spellbook of notable power, should you be willing to pay the price to use it. Collected together either by Prelati himself should you be in his time, or a similar figure elsewhere, the tome both garners you a new friend in the form of it’s creator and lets you use the eldritch magics held within, even if you lack magical training. The spells can be paid for with both your own magical energy and that of any sacrifices you make to it, children appear to be especially potent if you are depraved enough to use them. The book contains a range of general spells, such as reinforcement or elemental magics, but most of what it holds focuses on the summoning and control of twisted creatures covered in tentacles, from those as big as a dog to things that tower over entire castles. In future worlds, the book will work as normal but the depraved ally who created it will adjust to fit the new world. It may even be an alternate version of Prelati if you like.",,,
,,200,Logistilla's Tome,Fate/Legends: Vive la France,"A leather bound tome, given to you by a powerful witch that you once aided. Or just stolen from someone else who helped her. The book gives a powerful passive ability to the holder, rendering them immune to most forms of magic below a certain level of power. A blast that could tear through a row of houses could break your magic resistance but magic of less power won’t touch you. Actually reading from the tome will allow you to summon a shield to block magic or send out a blast in all directions that tears apart magic, both effects working on any magic short of a Reality Marble or similar extremely high class magical effect. Even some creature from the Age of Gods should fear you when you remember to read your special book. The witch who wrote the book also filled it with some entertaining stories from her past and a range of notes on various magical beings.",,,
,,200,Birdle of Bellerophon,Fate/Legends: Empires of Antiquity,"A set of a golden whip and similarly made bridle, able to fit onto any beast that cannot actively resist it being put on. Bellerophon is a magical bridle that can tame any Divine Beast, or lesser creature, that it is placed on and allow the owner of the bridle set to summon the creature the bridle is placed on to them at will. Bellerophon greatly enhances the power of the creature it is bound to and allows the owner to easily ride the beast, even with little prior training, and urge it to battle despite it’s original personality. The bridle can be recalled or removed at will, though this will free the beast it once tamed.",,,
,,200,Kibisis,Fate/Legends: Empires of Antiquity,"A sack? That doesn’t look like much of a heroic treasure. Maybe that’s the trick though. Kibisis is the legendary sack of Perseus, the one he used to defeat the Gorgon and which now holds it’s severed head. Not only can the sack you hold be opened to reveal the petrifying gaze of the Medusa, though it is significantly weaker than when it was alive, it can also be used as a surprisingly capable defence. It can reflect effects and attacks back at the original sender, by enlargening and swallowing the target to be protected and inverting a powerful bounded field back at the attacker. It can even work on you. Somehow, you’ll never accidentally freeze something with the gorgon head in the bag, even if you hop in it yourself, and the bag can store large amounts of items if need be, without weighing more than a normal sack. Sufficiently powerful effects might be able to break the bounded field but short of the Divine Spirits, it’s unlikely to happen.",,,
