0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,46
13,,300,Fairy Heart,Lord El-Melloi II Case Files,"Your heart was stolen by fairies. This does not have any physiological consequences, but does make you slightly more than human. You are now able to access mysteries that no longer exist on the planet’s surface, enhancing your powers significantly. Unfortunately, relying on this is agonizing and dangerous. Post-jump, your heart is restored, and you may safely and painlessly tap into this power.",,,
14,,300,Personal Skill,Generic Nasuverse,"You may select one skill from any servant in any of the Holy Grail Wars. You gain that skill at one full rank lower than what the servant has.

This may be purchased multiple times.",,,
15,,300,Spiritual Connection,Vasto of White,"This powerful ability is modeled after Askin's unique power to manipulate and weaponize spiritual energy. By purchasing this perk, you gain the ability to channel your own spiritual energy and contaminate your opponent's, reducing their natural resistance to their own power to near-zero. Once you have successfully contaminated your opponent's spiritual energy, they will begin to experience the effects of Spiritual Contamination. The stronger they are, the worse off they will be, struggling just to remain conscious against the natural output of their own spiritual energy.

But the power of this ability does not end there. By contaminating your opponent's spiritual energy, you can also enhance your own physical strength and endurance. With your spiritual energy now unbound by your own natural resistance, your physical attacks will be bolstered by the full force of your inner power, allowing you to strike with greater strength and speed. This ability requires a degree of skill and finesse to use effectively, but those who master it will find themselves with a potent tool to defeat even the most formidable opponents",,,
16,,400,System Bonus,Fate/Revelation Online,"A system bonus is a term used to represent someone's natural talent in a specific field of magecraft by players of SAO. It is naturally different for every individual, but learning and using that style of magecraft comes significantly easier than then compared to other styles. By buying this, you will get a System Bonus of your own for a magecraft field of your choice, and all of that field will feel intuitive and easy for you.",,,
17,,400,Knight's Armory,Angel Notes,"The legendary Knight Arms, weapons of the Ether Liners, are made by externalising the Grain within the bodies of each Ether Liner and forming it into a solid weapon in the outside world. While you no doubt have your own Knight Arm, given you are a knight, now you’ve become able to use a similar process on other internal energies. Any supernatural energy or material that is produced from within you can now be externalised into a unique Knight Arm based on that energy. The stronger the base you choose to work with, the stronger the resulting Knight Arm will be. You can make a single such Knight Arm for each distinct supernatural energy or material produced from within your being.",,,
18,,400,Numerology,Fate/Revelation Online,"Numerology, the magic that affects the world based on numbers and their meanings. You're quite the expert in it, or at least you're a master of the principles behind it. You couldn't exactly practice it before now, considering you didn't have access to magic then. You were a pretty big fan of this kind of thing, so you learned everything you could about the discipline. Well, now you can put all that information into practice.
- For the specifics, Numerology deals with numbers and applying them in magic. One way is using the digital roots of various numbers and numbers based on names, and applying those numbers to other magecraft to attune the magic to the target. Another is doing rituals based solely off of numbers, such as killing seven of each type of slime to gain a resistance to all slime types as well as extra damage to them for a week or two. There are many other applications of these principles, but I won't detail them here.",,,
19,,400,The Star Emblem,Grand Foreigner,The Star Emblem is a power wielded by Altera gifted to her by her true body. This creates a network running through her body which functions similarly to magical circuits though at a much higher level. Activating these circuits grants the user an incredible boost in power. Altera claimed that the boost she received was equal in magnitude as the difference between Spartacus and a normal human. Upon activating the power a series of white lines will cover your body originating from your heart,,,
20,,400,Menu System,Fate/Revelation Online,"Within the world of SAO, every player has access to the menu systems. While this will be available to you within SAO, purchasing this will actually give you access to it outside of the game and in further jumps. This gives you access to things like the inventory system, your friend list, and the messaging system, which are critical tools for any player. This also makes it so no functionality is ever removed from your version of the system, such as losing access to the inventory due to a system patch. This also gives you access to the skill system of SAO and the Level system.
- To go into more detail about this, the SAO skill system is one where you equip a number of skills to use them, which give you bonuses to those tasks when equipped, and are improved when you use them. The SAO Level system allows you to level up after doing enough tasks that give you EXP, such as creating spells, completing quests, or killing things. Once you do level up, you gain five points that you can assign to either Strength or Agility. Those increase your capability in that area, and then secondary stats like Vitality are determined based on your play style, your assigned stats, and how much you rely on them. It's an inflexible system, but it's not simple like most people would assume.
- If you also have It's All Real, your level and stats will be kept in real life, but if you do not have that, you will lose all of that once you exit the game and be forced to restart your progress.",,,
21,,400,Witch,Fate/Legends: The Land of The Rising Sun,"Distrusted and feared, a witch is a dangerous sort of spell caster. Relying on a system separate from the ordinary models used by most magi, witchcraft holds many strange spells and abilities, giving it a unwholesome reputation through much of Japan. Though no grand witch are you, you’ve been changed into quite a powerful spellcaster with this option. You have access and a great deal of training in the system of Witchcraft, a magic casting system that functions without counting as magic when it comes to things like Magic Resistance or anti-magical fields. Witchcraft is performed using physical motions with one’s body and the energy within you and around you, best suited towards indirect means of interacting with the world. Curses, seals, increasing the power of allies and applying disadvantages to the enemy, manipulating the spirits of nature and even imbuing power into your physical movements for powerful blows. Even with the ill-suited nature of witchcraft towards combat, you can cast spells that can bring down a fortress. It just might often be a confluence of misfortune, evil spirits summoned, raging weather and weakened foundations that you do it with, instead of a single massive attack spell. Witchcraft allows for very subtle workings, often able to bypass most forms of magic detection, and will prove exceptionally useful for influencing the minds and hearts of living beings. Obtaining influence, status and power over others is what witches have been accused of using magic for for good reason.",,,
22,,400,Power of the Sternritter,Vasto of White,"With this perk, you become a member of the Sternritter, an elite group of Quincy warriors serving under Yhwach. You can either choose a canon power used by another Sternritter, or design your own custom power that fits within the theme of the Sternritter. If you choose a canon power, you gain all the abilities associated with that power, including any special abilities and techniques unique to the Sternritter who wields it. Additionally, you may be granted a letter designation that corresponds to your power, such as ""D"" for ""The Deathdealing"" or ""T"" for ""The Thunderbolt.""

If you design your own custom power, you can create anything you can imagine. The only restriction is that it can’t be overpowered compared to the other Sternritters. You will gain all the abilities associated with your power, including any special abilities and techniques unique to your Sternritter power. Regardless of your choice, you gain the physical enhancements, agility, and durability of a Sternritter. You also gain a Quincy cross imbued with a portion of Yhwach's power, which enhances your Quincy abilities and allows you to better control your Reishi.",,,
23,,400,Principles of Mana,Fate/Legends: Oasis of Fantasy ,"Magical energy is what allows for all these wonders. But could it be taken further? Made to become something more than it is? You thought there just might exist that possibility and by chance, stumbled upon the principles that a great demon would later use in a plan to rewrite all of history. You have the ability to create mana from destruction. Destroying objects or structures releases at least as much magical energy as what is needed to destroy the objects in that way while destroying living creatures with souls such as humans or their overall groupings such as societies, will give a return many times greater than the energy put in.

 Better still, you find it easy to gather and control the mana released by this destruction and put it to your own use, either storing it or immediately expending it. If you wished to store it however, you are able to form it into solid spirals, circles and loops that continuously cycles the energy and, over time, slowly increases the amount and potency of the energy contained within these magical structures. Making more from where there was less without adding anything more.",,,
24,,400,"Gods Above, Gods Below",Fate/Legends: Oasis of Fantasy,"The world above and the world below have both already declared that your kingship is a divine right, how could any man deny you your rightful place? But some still shall try and to punish them, the spirits of the skies and the underworld have seen fit to empower you greatly with their natures. You hold great powers over the sky, the underworld and the aspects connected to those things. By the expenditure of magical energy, you can easily accomplish terrific acts. Just creating tornadoes and sandstorms or bringing forth massive clouds of rot and disease are simple things. Summoning spirits of the wind, raising an army of the dead to heed your commands, even opening a gate to the underworld or taking command of beasts that are connected to the skies is possible.

However, you are only somewhat experienced in the uses of these powers and it will take time to go beyond the basic and intermediate physical uses of your powers.",,,
25,,400,Blessing of the Sun,Fate/Legends: Nirvana Yuga,"The power of the Gods does not flow equally in all rivers of life. In some it is but a trickle, a sign of heritage but little else. In you before this, it may have been a healthy stream. But now you’ve become a raging river of divine power, a force that even the Gods would be wary of. The divine blessings you have as a Demigod, or the divine power of your own if you are a god or sage, have been enormously enhanced towards the arts of war. In terms of raw power, the great mountain ranges are but wheat before a divine scythe to you, using physical and magical power to bring whole nations to ruin in the course of a single battle. 

The Authorities of your parent, or those you have yourself from here, grant intensely increased innate abilities in regards to combat. A child of the Sun God would find the ability to command fire of all kinds, to intense heats that scorch even Divine Spirits, to amounts that smother kingdoms in holy fire, even fine control that allows for flight or sealing of wounds with heat. They would be immune to the ravages of fire, heat and the sun, even finding themselves greatly favoured by beings associated and connected with the Authority their power is based on. It would be not uncommon to receive gifts and aid from the spirits of the Sun or even other Gods associated with it, for the above example. Finally, this divine empowerment renders you enormously resistant to the attempts of lesser divine beings to act against you, blunting their blows and dulling the magic of their spells if they hold less uniquely divine power and ancestry.",,,
26,,400,Rejection of Fate,Vasto of White,"You possess the unique ability to reject reality and bend it to your will, much like Orihime Inoue's Shun Shun Rikka. By forming six spirits, each with their own unique power, you can manipulate the fabric of reality to your advantage. With your spirits, you can heal wounds and regenerate lost limbs, create powerful barriers to protect yourself and others, and even reverse time to undo past events. As you grow in power and mastery, you may even discover new and creative ways to use your spirits to alter reality to your benefit. However, the more complex the reality you try to reject, the more energy and concentration it will require, and using your powers too much can leave you drained and vulnerable.",,,
27,,400,「 」,Kara no Kyokai: Ammy Edition,"…? Okay, disregard the above, your origin is now emptiness, and while this would normally result in stillbirth, you're alive. Congratulations, your body now has a direct route to 'akasha,' or the swirl of the root, which if you don't know what that is, it's essentially the source of everything, concepts, origins, magical energy, everything. 

This will lead to the steady accumulation of mystery in your body, allowing you greater resistance to magecraft (assuming its mystery is not stronger than yours,) and greater physical ability as your mystery grows. More importantly there is now a version of you that resides in the root, a literal embodiment of your new Origin, omnipotent and omniscient... Or so they’ll tell others, anyway, they’re ultimately below the Types, but then only another Type can call themselves superior, so they’re still a powerhouse even here. Now, you might be wondering why this is priced relatively low for something so powerful. Well, the thing is, surprise, being all-powerful and all-knowing has made them apathetic to the point where nothing really matters to them anymore, like a story one has already read a thousand times.

That's not to say they're not going to do anything for you, otherwise even they’d die, so sometimes they'll inhabit your body (with your permission of course,) and use their infinite skill and knowledge to solve a problem for you (though this happens rarely, and there's no guarantee they'll go after your most pressing issues) and they'll make minor edits to reality for you from time to time. Jamming a sniper's gun, unlocking a door for you, minor things passively, though once per jump or every 10 years they can be directed to make an edit to reality specified by you. This edit can not be greater than reviving someone from the dead, and should you die without using it, it will be used to resurrect you. The real power of this perk will come after you have Sparked, whereupon you will merge with your akashic personality and take their place in the root, gaining their unrestrained power for your use. Try not to get bored like they did.

For those who already have their spark somehow, you’ll merge at the end of the jump. Gives you a little time to get used to it. Alternatively you can forgo the second personality and instead occasionally unconsciously perform minor reality edits yourself.",,,
28,,600,Average One,Generic Fate Redux,"You transcend the realm of ordinary magus, standing head and shoulders above your peers. For you, magic is as instinctive as breathing, and the intricacies of magecraft unfold effortlessly before your discerning gaze. Absorbing magical knowledge occurs at an accelerated pace, twice as swift as any other student of comparable skill.

Crafting new spells is a task measured in weeks or months, a testament to your innate mastery that defies the conventional notion of years. When it comes to casting, your magic surges forth with unprecedented strength, doubling the potency of your spells without an increase in the usual energy expenditure.

Delving into the elemental arts, you possess an affinity for Fire, Earth, Water, Air, and Ether. Spells involving these elements not only become more effective under your skilled manipulation but also manifest as readily absorbed knowledge, making them easier for you to learn and master. In the world of magic, you are not merely proficient; you are a virtuoso, effortlessly navigating the complexities of magecraft with unparalleled skill and finesse.

Capstone Boosted
Elevated to the pinnacle of magus prodigies, you now embody the epitome of modern magecraft prowess. A Sorcery Trait, the coveted Blue Blood Magic Circuits of the illustrious Bartholemoi family, has become an integral part of your being. Whether by bloodline or mystical acquisition, you possess thrice the magic circuits and double the control compared to previously.

This influx of magical power sets you apart as a Supreme Magus, granting you a reservoir of energy three times larger than expected for someone of your age. Channeling and controlling this immense magical energy becomes second nature to you, as the Blue Blood Magic Circuits seamlessly integrate into your very essence.

As a result, your mastery over magic reaches unprecedented heights. Casting spells of immense complexity becomes a task of unparalleled ease, and your magical prowess becomes the stuff of legend. The legacy of the Bartholemoi family, whether inherited or seized, propels you to the forefront of the magical world, marking you as a true paragon of arcane might.",,,
29,,600,Original MK,Fate/Zero,"All people possess an Origin, a concept that lies at the very core of their being and what your Origin takes form as is up to you, though it should take the form of a single word that describes specific concept related to your being. You may also pay an additional 100cp to gain a second Origin word, which has all the effects of the following applied to it. Unlike most people though, you’ve learned to take full advantage of that Origin. Whatever you choose your Origin to be, you are immensely skilled in creating magical items and mystic codes based around that concept. These can range from simple, such as a Fire Origin allowing you to create explosives capable of tearing down large buildings, to the esoteric, such as a Severance/Binding dual Origin allowing one to create bullets that can disrupt and destroy a Magus’ ability to generate and channel magic, potentially crippling it entirely. You also gain the ability to tell at a glance the Origins of other people, this translating into insight into their character that you can use against them.",,,
30,,600,Sorcery Trait,Fate/Revelation Online,"Well, isn't someone special? You are lucky enough, or perhaps well bred enough, to possess a Sorcery Trait. A Sorcery Trait is a special characteristic that allows its holder to accomplish feats with magecraft that are outside of what would normally be possible or to greatly simplify performing an already possible feat. You can buy this multiple times, but you only get one Sorcery Trait per purchase, with some exceptions noted below. The only Sorcery Traits you cannot get from this Perk are that of the Lesser Grail and Wishcraft, as there is already an Origin and a Perk, respectively, that exists for those. This perk does allow you to obtain any type of Mystic Eyes that a Human has possessed. However, if you want a Sorcery Trait or Mystic Eyes that can interfere with fate or causality, or the Mystic Eyes of Death Perception, then you will need to purchase this twice for that single Trait. You will start off with decent control over your Sorcery Trait, as well as knowing exactly how to use it and have years of experience using it.",,,
31,,600,Digitized Sorcery,Fate/Extra,"The Magi of old had to adapt, converting the dying system of magecraft into something that could be used to their advantage within the Moon Cell. The results of their efforts are the Code Casts, a digital version of magecraft. Much like them, you can now convert magical systems into a technological variant. This will not be instant and will require a fair amount of research for you to accomplish, but it would let you find a new side to existing systems you possess.",,,
32,,600,Chocolate Empire,Fate - The Island of Sin,"You gain incredible control over that most noble of substances—chocolate. In Mab’s last will before her “death” (truthfully, more like an endless hibernation beneath Edinburgh as she created a more powerful successor), she declared that conflicts of pride and honor in her realm would be resolved via a Mab Match—a competition to make the most delightful chocolate. And you? You are a masterful chocolatier. You balance the ingredients against each other perfectly to produce the exact flavor you desire, and have a tongue honed with the finest senses to let you taste even the most minute of alterations in the composition of your dishes. Your hands are precise and your imagination vibrant, and you have an inherent understanding of architectural principles, allowing you to produce complex and vibrant chocolates of fanciful designs. It wouldn’t be impossible for you to make a perfectly accurate small-scale replica of an entire city in only a single hour, such is your superlative skill in chocolate.

But you’re more than just good at making chocolate—you possess a mystical command over it that allows you to accomplish the impossible. You can summon chocolate from thin air, produce torrents of it with sufficient pressure to blow holes in heavy fortifications, produce weapons of chocolate that are hard enough to match steel blow for blow, and can even manipulate its shape with enough finesse to create musical instruments out of it—and alter the composition of the chocolate so that it emulates the material of the original instrument well enough that it can create music, even if it’s something such as a string instrument.

Finally, you have the capacity to utilize your control over chocolate to perform a “reincarnation ceremony”, dissolving your current body into chocolate, which then seeps and merges with the earth. The magical energy composing your body is then imbued into the ground as a protective measure, and the earth is used to near-instantly create, gestate, and birth a new body for your soul. In this new body, all curses, ailments, and injuries are erased, and a tremendous storm of magical energy is produced from your reincarnation into this new body, allowing it to be used as a form of attack as well.

Unfortunately, you can only perform this reincarnation ceremony once every ten years.",,,
33,,600,Mimihagi's Blessing,Vasto of White,"You have been blessed by the living shadow, Mimihagi, granting you incredible powers. You are now immune to all forms of precognition, including The Almighty, ensuring that you can never be seen in any future visions or predicted in any way. You also gain the ability to see into the future, allowing you to anticipate your opponent's moves before they make them. Second, through your control of darkness, you can create powerful walls of shadow capable of stopping even the strongest attacks. Your consumption ability has been enhanced, allowing you to assimilate any being you desire without any danger of being absorbed in return.

Third, as the governor of stagnation, you can stop any development, growth, progress, or change that you desire, halting any physical or metaphysical process in its tracks. This ability is strengthened to the point where you can prevent anything from happening on a grand scale, from halting the progress of entire civilizations to stopping the flow of time itself. Lastly, Mimihagi's blessing extends your life and grants you incredible powers, allowing you to reach new heights of strength and skill. You gain the ability to bestow your blessing on others, stopping the progression of any affliction or disease, extending their life and making them capable of feats they never thought possible. You can even heal yourself from any injury or disease, making you practically immortal. With Mimihagi's blessing, you are a true force to be reckoned with, capable of altering the course of fate and transcending the limits of mortal existence.",,,
34,,600,True Miracle,Generic Nasuverse,"Grants the ability to perform a miracle. That is, once per day you may perform a lesser miracle. Once per month, you may perform a greater miracle. Miracles can be stored for later use. For example, not spending one of your daily lesser miracles means you’ll have two miracles to spend the next day. Lesser miracles cannot be converted into greater miracles, but greater miracles can be converted into lesser miracles at a ratio of 1:28.

A lesser miracle is able to instantly accomplish anything that is possible by mankind. For example, it’s possible for doctors to cure somebody of cancer, but it takes a while and there’s always negative side effects and complications. Using a lesser miracle to cure somebody of cancer will immediately and perfectly remove the cancer without any side effects.

Of course, lesser miracles have plenty of limits. If a person is cursed, it might struggle to remove the curse. It’s only a lesser miracle, after all. It also wouldn’t be able to just give you a million dollars. Taking that money from other people without them realizing would take far too much power for a lesser miracle, while creating it out of thin air isn’t something even a greater miracle can do.

A greater miracle is something that’s beyond the ability of humans, but not at the level of True Magic. Essentially, it’s that gray area of things that are theoretically possible, but haven’t yet been accomplished.

For example, editing genes to improve a person beyond what is normally humanly possible. Using a greater miracle to do the same would instantly alter and improve your body to the limit of what the greater miracle is capable of. That is to say, each greater miracle has a limited amount of energy, so something like “improve my body’s genes” would take quite a few greater miracles to hit the absolute limit of what greater miracles can accomplish.",,,
35,,600,Mahatma,Fate/Legends: Baba Yaga,"On your journeys and with your studies you have achieved a level of arcane wisdom few ever dare to think possible. The like of knowledge that would terrify even other mages who may see you as heretical and want to silence you. But you heard the voices didn’t you? Perhaps you reached a higher being or your magical circuits simply are beyond those of all others. The how of your magical powers is a mystery but what is clear as day is the extent of your might. Powerful magecraft is yours to command, including the arts of summoning, runes, alchemy, formalcraft and black magics, covering many divergences. Your familiarity and affinity for ANY kind of magic is incredible, extending to worlds even beyond this one. As long as it falls under the umbrella of magic, it is something you can use and eventually, if you commit yourself to it, master. Even Baptism Rites or Magic exclusive to certain groups or beliefs are applicable. After all the way you see the world it all ties back to Mahatma. More ancient spells like those of old Egypt might be harder to use but that should not be a problem for a commited Occultist like yourself or is it?",,,
36,,600,Dog Years,Fate/Grand Order,"You’re getting paid by the hour here, so you might as well take your time in life. For most beings that have magical energy, they’ve got a max that they won’t replenish their energy past, like how a water bottle can only hold so much water. You’re a little different. While you still have that maximum capacity for replenishment, you’ve got a much, much larger temporary store. You very slowly add magical energy to this store and the energy remains there for good until used. You cannot artificially add to this store but it will increase in the speed of growth the more energy you have in your normal magical energy stores. While this energy can be used for any normal use, that might not sound terribly attractive when it takes hours to store up enough for a good spell and years for big rituals. What makes it worth it is the accomplishment of Miracles. Even things that cannot be accomplished with True Magic can be achieved with the Miracles that can be cast using this slow storage. Saving up for a few decades could allow you to bring back the dead or even grant immortality and the longer you save, the more you’ll be able to accomplish.",,,
37,,600,Divine Protection,Fate/Legends: Oasis of Fantasy,"A Messiah in the making. You’re the sort of person they’re going to have a whole lot of arguments over if you’re not careful with your gifts. You see, God has a fondness for you. Or at least the force that some might associate with God. It sees you as something similar to a child even and favors you thusly. The laws of what is possible and what is not hang loosely in your presence, allowing you to accomplish literally impossible things with enough skill, effort or luck. Miracles, they’re apparently called, and even beyond that you seem able to effect minor acts of God just by willing it. Walking on water or parting a sea, turning water to wine or healing the sick, even bringing back those who have passed on recently to life.

Of course, this favour manifests in more than just magic tricks. With the Counter Force that supports those chosen by God, you find that you are rarely alone when opposed. Guardians appear to aid you when you are attacked, massive amounts of energy can appear within you even when you believe you have emptied all you have to give and there are certain places that are no longer guarded to your movements.",,,
38,,600,Invasion of Fantasy,Witch on the Holy Night,"Pity Flat Snark, king of fantasies, enslaved by the witch of eternity. It seems like that great Ploy, you have a little divine blood in your ancestry. Enough to work one specific miracle. With this, even an ordinary boy could release a surge of divine magical energy higher quality than any reproduceable by mages in the current era on the scale of an amusement park. Within it, fantasy overwrites reality as defined by your will, and the world starts to run on a kind of fairytale logic rather than conventional physics. Bring mascots to life, turn ordinary offices into Escheresque mazes or make the reflection of a mirror into a tangible location anyone can pass into. Your ability to manipulate reality isn’t unlimited, but something on the scale of vast armies of humanoid soldiers as well as gigantic automatons to attack somebody while cutting off the area with a barrier that would challenge even powerful mages is well within your reach-and you have a great discretion to shift your form and position within the territory. Your power over illusions and perceptions is even greater; disguising yourself as the actual moon while “merely” hovering somewhere high in the sky would be easy. It goes without saying this divine magical energy can be used to empower your own abilities greatly. Best of all, the scale of your magical realm grows over time-the power of fantasies unleashed feeding back into you like a perpetual fairytale reactor. Let the strictures of the modern world collapse. Cry havoc, and release the dogs of fantasy.",,,
39,,600,Yggdrasil Magic,Grand Foreigner,"Yggdrasil Magic is a skill that refers to the user's mastery of the Yggdrasil magic system. This includes all forms of Tiered Magic, class unique magic, and other magic such as those unique to various races. An example of this is Wild Magic possessed by the Dragons. By acquiring this perk you can gain a mastery of magic on par with Ainz who was considered to be the most knowledgeable mage in Yggdrasil. This is considered an A++ rank skill. The Magic of Yggdrasil is way stronger in this Universe as when Momonga used the Super-Tier Spell: Creation, he actually created something instead of doing what it did in Yggdrasil; Creation is a Super-Tier Spell that can change the terrain itself. This is some real Nasuverse Bullshit Hax, but Good Hax, for you&us.
● Yggdrasil Magic EX - 800 CP: If you are still not satisfied with this then you may upgrade this for an additional 200 CP. This will break the skills limit pushing it to the EX rank. You will now be considered the God of Magic in Yggdrasil possessing mastery over literally every single form of magic from the Nine Realms. This includes forbidden magic and the legendary Super-Tier Magic. Lastly for any spells with special cost such as Wish Upon a Star you can pay with Stamina rather than levels.",,,
