200 CP,Erebor Treasure Room,The Hobbit,"A replica of the great treasure room of Erebor is attached to your warehouse. It contains enough gold, silver, jewels, weapons, armor, and other assorted treasures to satisfy even the greediest dragon. The treasure room also replenishes every ten years.",
200 CP,Daedric Market,Elder Scrolls: Skyrim,"A strange black tome, which will disperse into light and magicka when you grab it. When this happens, you will become aware of a new magical ability you possess. Casting this ability will summon a dremora in black robes to appear. This dremora is a merchant and will sell you the most miscellaneous objects you could find in Skyrim, such as soul gems, jewellery, ores, and alchemical ingredients. They will also buy most objects you can haggle for, although they possess a limited number of whatever currency you’d find useful at the time of summoning, even if they’re quite rich. After you’re done selling or buying from them, they will disappear, and you will be able to summon them again the following week. It can be quite useful if you wish for a source of materials unique to this land after you leave this world.
",
200 CP,Treasury Pouch ,House of the Dragon,"All of your monetary possessions are hidden in separate locations so your enemies can’t find them, while you can easily access them from this era-appropriate wallet. You can throw any money in the bag to hide it and nobody but you and your chosen companions can open it. ",
200 CP,Sizzle Salesman,The Discworld,"You are an excellent salesman! You can convince people to buy nearly anything, and even convince a person that flaws (such as the nasty bits of that sausage) are features (Proves they’re real pig!). ---- Haggling is an art of which you’re a master, and you can get people’s attention (and business) with a  few shouts no matter WHAT else is going on. You’ve also always got an ear to the ground; you have  an instinctive knowledge of what the next “big thing” is, and can usually get in on the ground floor.  Sometimes that ground floor then explodes, but that’s only a problem if you’re still there.  
",
200 CP,Antique Shop ,Sorcerer's Apprentice,"Nothing big or fancy, this is a little hole-in-the-wall store that you hold the deed to. Even if you don't make any money, the bills always seem to get paid from a few trickling in sources of money, and you get a slow trickle of customers who aren't too nosy about what you've got sequestered in there. What you've got, obviously, being antiques, but more than that, the store also makes a perfect location for storing any high-profile artifacts you've got out of sight and out of mind. 
",
200 CP,Trading Wagon,TES: Rogue,"Though it is often better to set up a permanent place of business, there is some charm in travelling across the lands, selling your wares to any who you come across. This wooden wagon is full of all kinds of storage for whatever you may be selling and is surprisingly durable. Simply strap it onto a horse, and go wherever the coin tells you.",
300 CP,Bakery,Fantantic Beasts,A small but immensely popular bakery known for the high quality of its baked goods. The friendly staff seem capable of running it without you but will happily follow your lead (and stupid pastry designs) if you wish to have a more hands on role. It will produce a small profit for you.  ,
300 CP,Hyperion Hotel,Ursines' Buffy the Vampire Slayer Jump,"You own a large classically styled luxury hotel. This can be operational, in which case it will be run by NPC followers and will make a very nice income for you, or it can be reserved just for you and your friends in pocket dimension",
300 CP,"Thank You Come Again, Kupo!",Kingdom Hearts,"An enterprising Moogle shopkeeper has somehow set up a holographic shop in your warehouse. If you have the money you can buy simple items like potions, ethers, and a few common crafting items from him in bulk. He also has a rotating stock of uncommon items, like Hi­Potions and Elixirs for sale, along with a handful of harder to get crafting items at fairly high prices and low quantities. On occasion he’ll even have rare things like high powered ribbons or Megalixir’s, if you have a small fortune on hand to buy one of only a few crafting ingredients or party MP/HP restoration items that is. Sometimes though rarely you’ll get lucky and find that he has something really rare, maybe he’ll have Orichalcum+ available, or a similarly rare or hard to get ingredient, for an appropriately exorbitant amount of funds of course.
",
300 CP,Trading Contacts ,The Seven Kingdoms,"Much of the most profitable trade in these lands takes place between the Free Cities and the Sunset Lands. Any time you have regular commercial dealings with a given individual or group, you establish a sort of bond with them that makes further dealings with you more appealing. Furthermore, the longer these dealings continue and the more often they occur the more profitable they become for both parties. If you would normally ship a few bushels of grain to a village every two months, shipping the grain every month could double your profits in six months, and after a year of such dealings, your profits would double again and so on and so forth, up to a point at least.",
300 CP,Safehouse,Game of Thrones ,"Sometimes, a man of wealth has to simply drop off the radar for a little while. Now you can do so in style. This lavishly appointed town house in a foreign city comes with servants and a fiat backed guarantee that as long as you actively are trying to hide, that your enemies will not find you. This can also be used as a handy way to hide people - such as your crush’s daughter who you’re trying to turn into your sex slave - where they will never be found. Sadly, it does not come with anything stopping anyone from escaping.",
300 CP,Respectable (Or Not) Establishment,Pirates of Dark Water,"A permanent address you can use as a base of operations. This is a good quality,
moderately-sized building, with the specifics of the design up to you depending on what
sort of function you want it to serve—it could be a shipping warehouse, shopfront, inn,
tavern, brothel, etc. The building comes with all of the basic furnishings it needs to serve
its intended function as well as a complement of local staff to keep it running smoothly
even while you’re absent. In addition to everything you might expect, your
establishment has several hidden passageways and concealed entrances that only you
know about. In future Jumps, you will always have a similar type of establishment,
updated for the local setting.",
400 CP,Speak Easy,Fantantic Beasts,"A poster that when put on a wall and told a password (or when approached by people fitting a dresscode) of your choice grants access to a speakeasy owned by you and staffed by House Elves with strong New York accents. Attracts friendly if unsavoury types, makes a good profit and has an endless amount of booze.",
400 CP,Oblivion Bar ,DC Occult,"​A magical bar that resides within its own pocket dimension.  The main room is a somewhat large bar that you get to decide the actual appearance of.  Want an Old West saloon? Knock yourself out.  A nightclub complete with annoying techno music? I really don’t think the magical crowd will be into that, but sure.  It also has several other rooms connected to the main one as well that you are welcome to decide the purpose of. How the bar is accessed is largely up to you.  Could be a password that, when spoken, connects any door to the dimension or it could simply require customers to provide their own method of interdimensional transport.  It also magically restocks itself each night, and repairs itself if damaged at the same time.  Infinite booze should be reason enough to buy this, right?",
400 CP,Extravagant Club,Marvel Cinematic Universe - Volume 2 ,"In a world where Enhanced beings are running around with powers men can only dream of, and the equally unlikely foes that they must fend off, it can make the average person terrified. It can also mortify the upper class, they who have been so used to believing they had control of their lives and power in the world. Fortunately, you can provide them a haven, a Paradise if you will. This absurdly luxurious night club comes with a fully stocked bar, an exquisite stage, a large ground-level area with multiple floors to overlook the area, and a kitchen that easily merits three stars in the Michelin Guide. Of course, the more effort you put into improving or maintaining it, the more money and fame it will rake in, but the amenities alone will spread word of this haven, all for you to enjoy in your private office overlooking the establishment.",
400 CP,For Fun And Profit,Elder Scrolls: Skyrim,"Small businesses take time and effort to expand, and there’s the issue of rivals that might not like a new business rising up to take part of the profit to be gained in this time of war. Fortunately, you seem to have less of an issue with this than other prospective businessmen. Whenever you start to clash against a business rival, you will come across an opportunity to either get the upper hand early, or secure friendly relations with them. Maybe your rivals will go through a brief period where their business stops being able to sell their products for whatever reason, and you’re able to provide a solution to them, at a price of course. Or perhaps you figure out that working together rather than competing will improve both of your products and produce even more profit, letting you have a monopoly on whatever you were clashing over or at least get rid of any business competitors early on. Of course, if you grow big enough, there are few ways to go, but this won’t be a big issue, as you also seem to find plenty of opportunities to expand your business in general, such as suddenly stumbling on a reliable source of a well sought after good. 
",
400 CP, Brothels,Game of Thrones ,"You own a shop chain of some kind which caters to some form of vice. By default, this is a brothel, but whatever it is, the business provides you with a stable source of income in the range of 500 to 700 gold dragons a year. The main benefit of this item is the blackmail it provides however, as whatever the type, your chain attracts the patronage of the rich and powerful. Thanks to this, you will regularly discover blackmail on various high profile individuals, as well as evidence to corroborate this. Sadly however, you cannot control who you gain blackmail on, so if you’re aiming to extort a particular person, you’re shit out of luck. You can freely import businesses to gain this effect if you wish.",
400 CP,"A Coin in Little Fingers
",Game of Thrones ,"You have a way with money that most don’t gain in their lifetime, for you’re able to turn investments into entire enterprises and find money in industries no one else would and how to manage your economy with ease. For this extends to cover all avenues of trade such as seaborne and others and you’ll always be the first to find out about new and more importantly wealth inducing trends. In the right position, you can sink an entire empire into dangerous levels of debt. You can easily do the opposite as well, and make the kingdom flourish, creating trade opportunities that wouldn't have existed without your expertise.",
400 CP,Cardshark ,Pirates of Dark Water,"Whenever you participate in any sort of gambling or other game with an element of chance, you get lucky significantly more often. All else being equal, something that  would be a 50-50 chance for someone else is a 3-in-4 chance for you. Of course, only a fool leaves things purely to luck, and luck means nothing in games of skill. Accordingly, when playing any sort of skill-based game or competing in any sort of event or sport, people are incredibly unlikely to accuse you of cheating or even to consider that you might be doing so. You’d have to do something really outrageously blatant in order to be caught cheating at anything. Even so, if you can come up with a remotely plausible excuse people will generally accept that it was accidental and not deliberate.",
400 CP,Nightclub/Casino,The Mummy Trilogy,"Your very own nightclub/casino, in the country of your choice! It’s quire large at around three stories tall, and includes a bar, restaurant, stage, and a dance floor, and is decorated in the theme of your choice. It has a good reputation, and is very upscale. It’s staffed, of course, including entertainment. ",
400 CP,S-Mart,The Evil Dead,"Your very own supermarket. It’s pretty spacious, has a ton of products, and is easy to defend and barricade. While you don’t have a retinue of knights, your employees and even some of the shoppers can be surprisingly fierce in defending it in a pinch. That’s right. Shop smart. Shop S-Mart. You got that?
",
500 CP,Hand of Gold,The Seven Kingdoms,"Few are as great in the arts of commerce as you, though few in Westeros look upon it favourably enough to call it an art. Through amazing skill, a seemingly unnatural quick wit and a luck that could only come from some great miracle, your commercial endeavors will almost always succeed beyond even your expectations. No deal is impossible to close, and your profits from them will easily be triple what any sane estimate would place them at. Furthermore, whenever you are on official business you always seem to stumble upon potentially profitable short-term enterprises.",
600 CP,Shopkeeper’s Wrath ,Legend of Zelda: Link’s Awakening,"“I wasn’t kidding when I said pay! Now you’ll pay the ultimate price!” -You, probably.  Thieve’s will have a harder time stealing from you, and when they succeed, you’ll always know the relevant details about the theft, albeit usually around an hour after the fact.  If you encounter the thief again, you’ll be able to strike them down with powerful magic.  Most likely enough to kill normal people easily. ",
600 CP,The Black Emporium,Dragon Age Origins & Dragon Age II,"Proprietor of the emporium Xenon the Antiquarian has sent you a letter recognizing you as someone worthy of shopping at his store. With some of the most rare and unique items collectable this is surely a treat. In addition to the babbles you will no doubt purchase here, Xenon has a Mirror of Transformation that he will let you use for free. It probably does what you'd think. It lets you change your appearance. This shop can be found in every world you travel to, but only the shop. New items will be acquired from different worlds as time goes by.",
600 CP,Jumper Enterprises,Young Justice,"A multi-billion dollar corporation owned by you, Jumper. This company is on par with Wayne Enterprises and LexCorp in terms of quarterly revenue, and influence.",
600 CP,Vault Key to Gringotts,Harry Potter Movie Series,"This key is paired to your own vault in Gringotts Bank; when you first enter this vault you gain an identical copy as a warehouse attachment. This vault is full of enough nondescript wizarding treasures both magical and mundane to make you the richest wizard in the world. In each future Jump this key will be connected to a new secure treasure cache that only this key can open. Once found, your warehouse attachment will gain the new vault’s security features and unify it with the pre-existing features.",
100,Chocobo Farm,Final Fantasy II,"A farm for raising Chocobo (or other farm-like animals). Has a fenced in field, stalls, food, equipment and a staff of workers needed to safely contain twelve creatures.",
200,Jumper’s Pub,Dresden Files,"Basically a copy of McAnally’s pub. Arranged and furnished in sets of thirteen - 13 pillars with intricate fairy tale scenes carved in them, 13 tables, 13 stools at the bar, 13 ceiling fans, etc. Comes staffed with a couple of followers. A bartender to serve the customers, and a piano player to provide ambiance as there are no electronics included. Both are men of few words. The bar is continually stocked with food and drink. Simple but high quality and delicious food like steak sandwiches. Home brewed ale good enough that it might just ruin all other beers for you, as well as a private stash of ale that’s even better. Most importantly, this pub is universally recognized and respected as Neutral Territory. So long as you, the owner, don’t violate the neutrality then neither will anyone else short of beings like Outsiders and other such omnicidal eldritch monstrosities. It has a regular clientele of the local supernatural element, or the closest local equivalent, it will occasionally be used as a neutral meeting ground for negotiations. This all continues in future jumps.",
400 CP,Cave of Wonder,Disney’s Aladdin,"Your very own Tiger-headed cave of wonders! It has great and powerful treasures, magical and mundane. While this one doesn’t have anything as unique and all-powerful as a Djinni Lamp, it still has untold wealth, into the hundreds of thousands of gold coins, jewels and precious stones, precious fabrics and tapestries, all in all enough wealth to outmatch most national treasuries.
","
"
400,Jumper’s Alley,Wizarding World,"If you’ve been around the block a few times, you would have surely heard of Diagon Alley, perhaps the true center of Wizarding London. If not, do not fret. All you have to know is that Diagon Alley is the focal point of the wizards and witches of London. No matter their origin, no matter their status, sooner or later, they will find their way to Diagon Alley. From the lowliest child to the most elite of adults, Diagon Alley is open. Why not have a place just like that? Entirely yours, Jumper’s Alley is the place to be. Situated within the populous city of your choice, this center of commerce is filled to the brim with shops and stores of every kind. In here, you can find and buy so much, from the common but ever so useful brooms and cauldrons to rare artifacts and creations like Vanishing Cabinets or the Hand of Glory.
","
"
