0 CP,Dragonglass Cache,A Song of Ice and Fire Jumpchain,"A black cloak wrapped around a few obsidian daggers, arrowheads and spearheads."
200 CP,Valyrian Stone Shaping:,Game Of Thrones - Version 1.201,"Far stronger even than steel, granite or diamond, dragonstone is an ancient material used by the Valyrians in much of their constructions. By purchasing this perk, you have the magical ability to shape the material into any form you may wish. You can transmute regular stone into this with intensive magical effort, or slightly less exhaustingly create it wholesale similar to cement. Whilst it is possible to alter the shape of the stone by using dragonfire to melt it into a liquid, then shaping and fusing it from there, this magic is far faster and easier, as well as safer."
300 CP,Iron Throne,House of the Dragon Jumpchain,"The symbol for the royal crown in this world and what everyone wants to sit in. Made from the surrendered swords when Aegon united the six kingdoms. Sitting in it boosts your legitimacy and allows you to manipulate the emotions of those nearby. Make them feel fear when in the presence of the chair. You can choose to receive the 40-foot tall book accurate throne, the HOtD version or the more symmetrical GOT version. All versions will be comfortable and the sharp edges won’t hurt you or your chosen representatives."
300 CP,Lord Freeholder ,The Seven Kingdoms ,"In Valyria of old, a true Dragonlord of great standing was as much a warrior and general as they were a ruler or head of their household. As a great Valyrian lord in your own right, you have the skills to fulfill your martial duties with as much excellence as your duties to your house and lands. You are a great leader in war, whether you are leading groups of men into battle, directing whole armies, or planning out campaigns of conquest or defense. It would take truly lopsided odds and a massive blunder on your part for an army under your direct command to face defeat. You will also find that when leading from the front, the morale of your men is brought to great heights, such that they would hold in the face of a charge of great elephants even were they a line one man thick and the elephants a herd."
400 CP,Blood of the Dragon,ASOIAF - Small Council Jumpchain,"The ancient magic of Valyria flows in your veins, granting you unparalleled command over dragons and their secrets. You possess the rare ability to tame and breed dragons, bending even the most willful of them to your will. With focus and care, you can awaken seemingly dormant or petrified dragon eggs without the need for sacrifice, breathing fire back into these ancient symbols of power. Dragons respond to you with near-instinctive obedience, and your bond with them grows stronger with time
"
400 CP,Dragonstone ,House of the Dragon Jumpchain,Based on the Targaryen trading post that became the seat of the royal heir this dark militaristic castle is filled with dragon motifs. It has all the features of the original castle like a Painted Table for the area and is staffed with follower servants. Not even a magical dragon can breach the castle or burn the walls down which makes it perfect for a staging base.
400 CP,Glass Candle ,ASOIAF - Small Council Jumpchain,"An ancient artifact from the Valyrian Freehold, the obsidian rod of a glass candle twists in a sharp, imposing shape. When ignited, the glass candle emits an uncomfortably bright light, casting an eerie glow that seems to amplify colors caught in its glow. With this candle, you gain potent magical abilities: you can communicate instantly with other candle-holders, observe distant locations as though you were there, and experience visions of events or people across the world. 
"
400 CP,Red Keep ,House of the Dragon Jumpchain,Based on the Targaryen royal palace that became the seat of the Iron Throne this crimson stately castle is filled with dragon motifs. It has all the features of the original castle like the secret passages - apart from the chair - and is staffed with follower servants. No sieging army can breach the walls which makes it perfect for targets of attacks.
400 CP,Refuge in Audacity,House of the Dragon Jumpchain,"Whether due to your rank, connections, or skill with a blade, you find that you can get away with things that would see another person ostracised if not outright banished. Steal a dragon egg? No long-term consequences to your standing so long as it's eventually returned. Is it an open secret that your royal heirs are really bastards? No one will dare to speak it out loud unless they want to lose their head. Note, this only affects any fallout to your social status. You may still face criminal charges or provoke someone to seek vengeance if you take things too far."
400 CP,Valyrian Steel Armour,Game Of Thrones - Version 1.201,"By purchasing this armour, you have gained one of the greatest personal protections available in this entire setting. At first pierceable only by another Valyrian Steel weapon, as you grow in power, this armour will scale with you. Be aware that it only protects the parts it covers, so if you’re shot through your visor, you’re shit out of luck."
500 CP,Baby Dragon,Game Of Thrones - Version 1.201,"A single baby dragon that you’ve hatched and has bonded to you. This beast while small will grow at an incredible rate and eventually become a medieval superweapon easily able to lay waste to armies of men. Beyond this jump the dragon will grow with you becoming more powerful as you grow in power so that it may forever stand by your side. Alternatively, it could be an egg that hatches whenever you want it to, and can rehatch each jump. The dragon comes with the Blessing of Valyria perk."
500 CP,Dragon Egg,A Song of Ice and Fire Jumpchain,"A dragon egg. It will hatch naturally in around a week. Your dragon will be loyal and take basic instructions but ferocious. Young dragons are vulnerable but can grow to be incredibly large, durable and breath a fire far hotter than even wildfire fully capable of melting stout stone towers into twisted wrecks."
500 CP,Dragonbinder,Game Of Thrones - Version 1.201,"A priceless relic of Old Valyria, this horn has the unique ability to bind dragons and their kin. Whenever blown any draconic creatures within earshot will be forced to kneel to you, completely incapable of going against you and entirely submissive."
500 CP,Lore of the Freehold ,The Seven Kingdoms ,"Though much was lost in the destruction of the Valyrian peninsula, knowledge of sorcery and dragons... you have what has survived the Doom and some of what predated it. You are learned in dragonlore from the first meal of a hatchling all the way to the symptoms that let one know when a dragon’s death is near, you know the sorcery of the Valyrians in how they worked Glass Candles and controlled flame, all the way down to how they made their roads and walls and buildings out of blackstone. However, knowledge of more rare secrets such as Valyrian Steel are not known to you."
500 CP,Power Overwhelming!,Game Of Thrones - Version 1.201,"For most mages on Planetos, the greatest barrier to being a powerful mage is sacrifice. Specifically, the fact that all magics known to Planetos require some degree of blood, soul or human sacrifice to function. You neatly sidestep this issue through your innate connection to a powerful natural network of magic like the Weirwoods, instead powering your magic through that. You’ll even be able to craft items using this connection. This natural network of magic will appear in future worlds, and provides you with enough power that you could cast high level magics near trivially. This does not give you the power to pull off spells like the Hammer of the Gods by yourself, but by working with others, such powers may be within your grasp."
800 CP,Dragon,"ASOIAF Small Council Jumpchain
","An adult dragon is already a fully grown force of nature, massive in size and strength, with scales impervious to ordinary weapons and fire that can reduce even stone to ash. While less malleable in temperament, it will obey your commands, though mutual respect is crucial for such a volatile creature.

"
200 CP,Fleet of the Sunset Sea,ASOIAF Small Council Jumpchain,"A navy surpassing even the Redwyne fleet in ambition and versatility, its ships crafted for both war and trade. Your fleet dominates trade routes, spices from Qarth, silks from Lys, and Arbor gold flow through your holds, but unlike their lumbering merchant cogs, your ships transform effortlessly into instruments of war. Cargo decks hide compartments for wildfire jars, while merchant crews double as marines trained to board enemy vessels with axes and grappling hooks.
"
