0,Perk Name,Cost,Source,Description
13,Psi Tradeoff,300 CP,Original,"You are a tinker able to create devices that reproduce and simulate various 'psychic' effects. Drawing inspiration from fiction, as well as actual supernatural and magical effects, will help you a lot. However, there is always some tradeoff in using these devices - some kind of mental cost. You can create a small device to achieve telekinetic flight, but at the cost of 4% of your maximum focus while the device is equipped. Or maybe you want to set things on fire with your gaze, but at the cost of permanently burning your own memories in quantities proportional to the complexity and power of the spontaneous combustion you are trying to achieve. Or you might literally spend your 'social battery' to fuel people-targeting psychometry. There is always a tradeoff - always a cost. At least, these devices are much less dangerous when used by you. You have all the usual limitations of a tinker."
14,Aspects and Essences,600 CP,Original,"This Tinker ability is all about working with the Essence and Aspects of physical objects and energy. You can build tools to decipher what conceptual components the targeted phenomenon contains, then create a device or method to extract a few highly expressed aspects from the object in the form of essences, and eventually figure out how to apply this essence to other objects. It is very research-intensive and requires one to focus on specific objects, aspects, and use cases each time. However, it allows you to create objects with bizarre properties using relatively mundane items as a source of essence. You can detect, isolate, extract, and eventually apply something like the 'toxicity' aspect from radiation to another device or material. Your usual tinker limitations are slightly lifted."
15,Sweet-tooth Tinker,200 CP,Original,"Your tinker ability is focused on the creation of various sweets to achieve your goals. It contains three broad subcategories of things you are good at: Shaping, Boost and Minions. The first is candy-material science, used to create tools, mechanisms, and devices from sweets with exotic properties. Boost is all about creating sweets that bestow positive or negative effects - temporarily (or permanently, if you try really hard) - on a target. Minions is all about creating sweets golems, animated and life-like creatures to help you with work or fighting. All your creations are technically edible. You have all the usual limitations of a tinker."
16,Origami Master,150 CP,Original,"Your tinker ability is all about producing and folding paper to achieve your goals. It contains three narrow subcategories of things you are good at: Origami, Papermaking, and Scribbling. Origami is all about folding paper into efficient, useful shapes, and it can be used on other materials as well, but it becomes less effective the further the targeted matter is from the type of paper. Papermaking is focused on creating specialized papers for your work: bulletproof paper, hydrophobic paper, fire-resistant paper, etc. Scribbling is a more exotic craft involving inscribing patterns and text on paper to infuse it with unique added properties or to program it to do something (like folding in a specific way with a trigger condition attached). You have all the usual limitations of a tinker."
17,Darts and Blowguns,50 CP,Original,"Your tinker power is about the creation of 'poison' darts and pneumatic delivery systems. You can make darts of bizarre designs and imbued with interesting effects. They can be lethal or non-lethal, positive or negative, or serve some other utility (like tracking). But all these effects are chemically based. The other part is delivery systems - blowguns and similiar devices of various designs and levels of sophistication. However, they all use pneumatics to shoot the darts. You have all the usual limitations of a tinker."
18,Daily Hyperfixation,150 CP,Original,"For 24 hours, you gain a random tinkertech blueprint to work on. After 24 hours pass, the new blueprint you can build appears, and the old one disappears. You need to finish your current fixation project to save the blueprint and be able to build it again. If you cannot finish your current blueprint, all completed parts will be converted into inspiration to modify your previously saved blueprints, thematically related to the unfinished creation. You can finish a blueprint by cutting corners, but the saved blueprint will always be of a device you actually completed at the end of the current 24-hour cycle. So if you build crappy version - you get crappy blueprint. Your state of mind, levels of stress and living situation slightly affect what kind of blueprints you gain. Usually you gain blueprints, which are technically possible for your to finish in 24 hours, but not always. You have all the usual limitations of a tinker."
19,Shizotech Fugue,100 CP,Original,"On normal days, your tinker power is very good at making simple and robust (by tinkertech standards) tools and stockpiling special materials. But you accumulate charge in this state (which has an upper limit), which you can spend to enter a special kind of fugue. In this state, you turn temporarily schizophrenic and experience heavy hallucinations. What you experience in this state determines what you will build using the materials and tools around you. This fugue is extremely efficient at making you build things, even from subpar materials. It can last up to 48 hours (maximum charge) or until you lose consciousness due to stress and fatigue. In the end, you have some useful and bizarre tinkertech device (or several) with a general idea of what it does, but you need to actually research and test it to figure out the details of maintenance and any special quirks of the created item. The state of your psyche greatly affects the products. You have all the usual limitations of a tinker."
20,Carbon Era,250 CP,Original,"You can build things out of carbon extremely well. This is your main material. For instance, you can figure out a way to create a fully functional smartphone, which is made of 98% carbon. Carbon metamaterials, nanostructures, and other exotic applications of the element are your bread and butter. However, you are still limited by what is hypothetically possible, and you need to find inspiration for devices in the outside world and the technology around you. This is a methodology type of tinker power. Your usual tinkering limitations are slightly lifted."
21,The Art of Retrofitting,200 CP,Original,"Your tinker ability is uniquely centered around the concept of retrofitting - transforming and upgrading existing devices, structures, and systems into new, more advanced forms. You excel at taking old, outdated, or broken technology and infusing it with innovative modifications, turning it into something far more capable than its original design. Whether it's retrofitting a simple machine to handle complex tasks, upgrading a worn-out device with cutting-edge components, or repurposing old technology for modern use, you thrive on creatively reimagining the potential of what already exists. Your expertise lies in customizing and enhancing rather than inventing from scratch. However, your retrofitting process often results in devices that are unpredictable or temperamental - sometimes working flawlessly, other times malfunctioning in unexpected ways. This can lead to surprising outcomes. The more outdated and old the technology you are working with, the more efficient this ability is. You have all the usual limitations of a tinker."
22,Tinker of Escalation,450 CP,Original,"Your tinker power revolves around the concept of Escalation. It allows you to push existing devices and systems beyond their original limits, increasing their power, complexity, and unpredictability. While you can turn simple gadgets into formidable or unstoppable creations, your escalations often cause unpredictable ripple effects in the environment, making your inventions prone to instability or chaos (you are less affected personally). The more pressure is applied from outside, the faster and more effectively your Escalation potential grows and quicker it can be turned into upgrades. However, if you suddenly stop escalating the acceleration 'counter' resets, and all devices built by you begin to malfunction more often, requiring more maintenance and quickly losing their power, potential and danger. This is a methodology-type of tinker power - you need outside inspiration or devices to use as a starting point for the process. You have all the usual limitations of a tinker."
23,Perpetual Motion,100 CP,Original,"You are a tinker capable of creating various perpetual motion machines. Starting from basic classic designs that actually work to produce mechanical energy, and finishing with more esoteric and fundamental approaches made functional. Although, it is generally easier for you to create machines that can generate a relatively small amount of mechanical energy for an unlimited amount of time (not counting maintenance and other tinkertech-related problems). However, if you have a device on hand, it would be easy to adapt your design to power this specific machine. You have a relatively high upper scaling limit. You have all the usual limitations of a tinker."
24,Spider Tinker,300 CP,Original,"Your tinker focus is all about spiders and their derivative products. You can separate this specialty into three subcategories: Spiders, Products, and Traits. The first is about affecting the actual category of creatures labeled as 'spiders': modifying them, breeding and creating new ones, controlling them, and using them as helpers with tinkertech. The second is all about derivatives: production of various silks, custom toxins, and other spider-related physical materials. The third involves applying the properties of spiders to other things: building primitive spider-bots, creating serums to grant discount Spider-Man powers, etc. This specialty heavily relies on your conceptualization, creativity and knowledge of the theme. Your usual tinkering limitations are slightly lifted."
25,Think-Tanks,150 CP,Original,"Your tinker power is focused on the creation of cloned brains in boxes. You can create copies of brains (yours or other people's), download knowledge, personality, and data into them, then put these brains into jars and force them to think up ideas and solutions for you using various mastering techniques, brainwashing and various similar methods. Completely unethical, and you must ensure from time to time that these brains won't try to betray you by booby-trapping some of their ideas. However, it is really efficient for offloading solution searching and brute-forcing creativity. This specialty doesn't let you create anything else but think-tanks and will oppose you if you try to use it to create something else (like fully functional clones). Although, it includes methods of quickly and efficiently coping results from think-tanks and implanting these ideas into your head. Your usual tinkering limitations are slightly lifted."
26,Clockwork Mechanist,250 CP,Original,"This tinker power specializes in clockwork and focuses on designing, building, and manipulating intricate mechanical devices and automata. This expertise allows you to create advanced clockwork machines, precision gears, and complex gear-driven systems. You can craft autonomous clockwork robots, intricate locks and traps, or elaborate timekeeping devices. This focus is really great at working with mechanical energy and its transformations. Methodology and possible devices to create are limited by clockwork theme. You have all the usual limitations of a tinker."
27,Diesel Industry,300 CP,Original,"This tinker power specializes in dieselpunk and excels at crafting rugged, retro-futuristic machinery and industrial devices. All machinery within this focus utilizes advanced variations of chemical fuel and highly sophisticated combustion engines to achieve its goals. The use of chemical fuel and combustion is a main component of practically all your designs. Your methodology and the devices you create are limited by the dieselpunk theme. You have all the usual limitations of a tinker."
28,Cozy Solarpunk,300 CP,Original,"This tinker power specializes in solarpunk and excels at designing sustainable, eco-friendly machinery and innovative devices that harmonize with nature. All equipment within this focus relies on renewable energy sources such as solar, wind, and bioenergy, combined with eco-conscious materials. The development of new devices and techniques is guided by principles of sustainability and ecological balance. Your methodology and creations are limited by the optimistic and environmentally conscious spirit of the solarpunk theme. You have all the usual limitations of a tinker."
29,Projection Crafting,350 CP,Original,"This unique tinker focus lets you create 'projections' of existing objects via usage of special custom devices. They function like copies of the original device or item, possessing most of its properties and functions (while not being truly material or permanent). For example, you can create a device to project several copies of a lightsaber to use, while keeping the original one safe. Or use something like an addon for the gun to essentially have infinite bullets, using projected matter to refill the gun. 

However, all projections created this way are connected to the original and cannot exist without it. At higher levels, you might store 'memory' of the original to partially sidestep this issue, but ultimately, any projection will wear out, warp in shape and function, and eventually collapse without an intact and accessible original to pull from. You have all the usual limitations of a tinker."
30,Furry Science,500 CP,Original,"This tinker ability draws inspiration from the furry subculture and its fictional works. You create devices connected to this theme, ranging from mundane advanced fursuits with integrated technology to complex cloned bodies hosting anthropomorphic animal designs of your own creation. Any device must maintain a clear connection to the fandom and its aesthetics. Your usual tinker limitations are slightly lifted. "
31,Blackbox Principles,100 CP,Original,"You can apply principles of tinkertech blackboxing to mundane devices and your other creations. You have full control over the degree of blackboxing used and its nature. It can involve simple methods to make your creations resistant to reverse engineering and research by others, or a complete tinkertech-tier blackbox, making the inner workings of the machine practically incomprehensible and impossible for outside observers. However, you need to have some sort of target to apply this tinker power. It can work with a broad variety of creations, but a heavily blackboxed device might affect long-term performance and the ability of others to maintain it in a detrimental way. Different types of targets might also introduce some side-effects to the process. Your usual tinkering limitations are slightly lifted."
32,Macro-Dynamics,200 CP,Original,"Your tinker specialty is defying the square-cube law. You build singular pieces of equipment of immense scale: a cannon the size of a car, a building-mounted pneumatic fist, or a jetpack better suited for a mech than a man. The power output is directly proportional to their colossal size. However, these devices are inherently cumbersome to move or wear, require an equally massive power supply to function. You have all the usual limitations of a tinker."
33,Garbage-In/Garbage-Out ,150 CP,Original,"You are a tinker who transforms refuse into remarkable technology. Your specialty thrives on the worthless, broken, and discarded - the more complete the junk, the more potent the final creation. A powerful energy rifle could be built from shattered glass, used coffee grounds, and scrapped circuit boards. However, the resulting device will always inherit the ""character"" of its components, possessing a tendency to malfunction, break down, or produce unexpected side effects in a manner befitting its shoddy origins. You suffer all usual Tinker limitations."
34,Kinetic Harnessing,200 CP,Original,"Your tinker power makes you into are a master of energy redirection. You build gear designed to absorb kinetic energy from impacts, motion, or vibration and release it in a controlled, amplified burst. This could manifest as a suit that grows stronger with every blow it takes, or a gauntlet that stores the energy from a long fall to power a devastating single punch. Your technology is cyclical and self-sustaining in combat, but requires careful management to avoid catastrophic overload. You suffer all usual tinker limitations."
35,Probabilistic Mechanics,300 CP,Original,"Your tinker specialty is manufacturing misfortune or simply out 'bad luck'. You build devices that manipulate probability within a localized area, subtly skewing chance to favor chaos and failure. Your inventions don't directly attack so much as they cause things to go terribly wrong: enemy weapons jam at the worst moment, seemingly solid ground develops a treacherous slick patch, or a crucial support beam just happens to be rotted through. It's a very subtle, Thinker-y kind of Tinkering. You suffer all usual tinker limitations."
36,Cardiotech Tinker,200 CP,Original,"Your technology is keyed to the rhythm of life itself. You build devices that are powered by and react to biological signals: heartbeat, pulse, and circulatory flow. This allows for creations with intimate user linkages: a weapon that only fires for someone with a specific cardiac rhythm, armor that hardens when the wearer's heartbeat steadies, or a diagnostic tool that can predict a target's actions by reading their blood pressure spikes. Your tech is incredibly secure and responsive, but utterly dependent on the life force of its user. Your usual tinkering limitations are slightly lifted."
37,Elastic Potential,150 CP,Original,"You are a tinker specialized in the creation of unnaturally efficient and versatile springs. Your genius lies in using tension and release to contain and unleash energy: not just kinetic, as you can adapt the principle to channel electrical, thermal, or even more exotic forces through carefully crafted coils and wound mechanisms. However, all your devices, no matter their function, must operate on spring-based principles and retain the general aesthetic of wound metal and tension-release systems. You suffer all usual tinker limitations."
38,Selective Evolution,250 CP,Original,"You are a tinker who specializes in the accelerated breeding of organisms to produce unnatural and powerful results. Your true genius lies with animals, shaping generations of creatures into living tools, weapons, or mounts with terrifying speed and efficiency. You can stretch this specialty to fungi and plants, though with diminished results. All your technology is focused on facilitating this process - incubators, genetic sequencers, growth accelerators - and your methodology demands patience, as your creations must be bred, not built, over successive generations. Your usual tinkering limitations are slightly lifted."
39,Neural Networks,450 CP,Original,"You are a tinker who specializes in the programming and training of hyper-efficient neural networks, each one laser-focused on a narrow field of responsibility. Your expertise extends to creating custom hardware to run these networks, including wetware - organic computing systems. You can even repurpose existing living neural matter as hardware, a method that produces superior results across your entire specialty. Whether silicon or synapse, your creations excel at their singular tasks but struggle to adapt beyond their intended purpose. Your usual tinkering limitations are slightly lifted."
40,Reactive Adaptation,550 CP,Original,"You build machines that learn by breaking and being damaged. Your devices are designed to reactively adapt to stimuli within a limited field of purpose, growing more resistant and effective the more they are challenged. They are robust and possess impressive self-repair capabilities. However, your methodology demands destruction: you must test your creations to their limits in practical situations, allowing them to be damaged or destroyed to collect crucial combat data. This data alone allows you to upgrade and refine the adaptation protocols for the next generation. True growth requires sacrifice. Your usual tinkering limitations are slightly lifted."
41,Tribology Tinker,100 CP,Original,"You are a tinker who specializes in the manipulation and creative utilization of friction. Your devices exploit the principle of surfaces rubbing against one another to produce extraordinary results. This can manifest as super-lubricants that eliminate all traction, projector fields of negative friction that send objects sliding uncontrollably, surfaces with impossible grip, or weapons that generate deadly spark projectiles through rapid abrasion. Whether calming motion or catalyzing it, your tech always comes back to the art of the drag. You suffer all usual tinker limitations."
42,Tolerance Tinker,250 CP,Original,"You are a tinker who operates at the very limits of physical possibility. Your specialty is creating components with impossible tolerances and surface finishes, machining parts so perfectly that they fundamentally alter how mechanisms behave. Friction nearly vanishes between moving parts, energy transfers with zero loss, and assembled systems operate with ghost-like silence and efficiency.

This allows for a range of devastating applications: monofilament edges that slice through matter at the molecular level, armor that distributes kinetic force across its entire surface, and projectile weapons that fire rounds with zero deviation or drop. Your devices contain no exotic energy - they are simply the most perfectly made objects that have ever existed. However, each component takes considerable time to machine, and replacing a destroyed piece means starting from raw stock again. Your usual tinkering limitations are slightly lifted."
43,Preservation Tinker,300 CP,Original,"You are a tinker who specializes in the preservation of perishable targets through an advanced form of ""canning."" At the peak of your ability, this extends far beyond food: you can capture and store physical phenomena themselves within sealed containers. A laser blast, a stream of fire, a kinetic impact, or even another parahuman's ongoing power effect can be caught, canned, and preserved for later release or utilization. Your workshop is filled with vacuum sealers, pressure vessels, and cryo-storage units of your own design. However, each container is single-use, and the captured phenomenon will eventually degrade if stored too long. You suffer all usual tinker limitations."
44,Molds & Forms,200 CP,Original,"You are a tinker who shapes matter by casting process. Your molds are perfect negatives, capturing every detail at the molecular level and reproducing it with flawless fidelity. You begin by casting reletavely mundane solids from liquids with impossible efficiency, but at the peak of your focus, more exotic transitions become possible: trapping light within crystal, freezing sound into solid form, or containing a moment of pure heat inside ceramic. Whatever you pour into your forms emerges shaped and can be used for creation of other exotic components and devices using your other skills or powers. Your usual tinkering limitations are slightly lifted."
45,"Alignment & Orientation",100 CP,Original,"You are a tinker who sets things straight. Your levels and plumb lines reveal true vertical and horizontal anywhere in the universe. Your gimbals keep platforms perfectly stable regardless of external motion. Your guidance systems track targets with nigh-absolute precision. You can align mechanical components so perfectly that friction nearly vanishes between them, or align forces so precisely that they reinforce rather than cancel. Everything has a proper orientation, and you can find it. Due to the fundamental nature of your specialty, the usual tinker limitations regarding maintenance, iteration, and replication almost do not apply to your power."
46,Selective Permeability,100 CP,Original,"You are a tinker who works with barriers that let some things through while stopping others. Your membranes can filter any mixture to perfect purity, separating compounds that shouldn't be separable. Your cell walls can maintain internal pressure against vacuum or ocean depths, keeping occupants alive in hostile environments. You design systems that breathe selectively, that feed based on need, that gradually release medicine or poison when triggered by specific environmental conditions. Your limitations as a tinker are slightly lifted."
47,Tempering Tinker,50 CP,Original,"You make things tough. Your heat treatments, quenching processes, and work-hardening techniques render metals and other materials nearly indestructible. Your case-hardening penetrates deep into structural members, your tempering eliminates brittleness without sacrificing strength, and your work-hardening can make a simple paperclip strong enough to hold up a house. You do not build new devices (not counting your tools) - you take what others have built and make it unbreakable. Your limitations as a tinker are slightly lifted."
48,Surface Finishing,100 CP,Original,"You treat the outermost layer of things. Your coatings can make a surface harder than diamond, slicker than ice, or more absorbent than any sponge. You apply finishes that hide objects from detection, that change color or texture in response to stimuli, or that slowly release embedded compounds over centuries. You believe the soul of an object resides at its skin, and you have mastered the art of perfecting that boundary between a thing and the world. You suffer all usual tinker limitations."
49,3D Printing,200 CP,Original,"You are a tinker focused on the creation and utilization of 3D printing technology in all its forms. Your specialty lies in designing and building diverse printing setups - from microscopic precision printers to large-scale construction systems - capable of producing components and even fully fledged devices. This ability excels as a force multiplier, providing manufacturing support for your other skills and tinker powers. Your printers can work in plastics, metals, ceramics, and more exotic materials, but require time and prepared feedstock to operate. You suffer all usual tinker limitations."
50,Olfaction Tinker,150 CP,Original,"You are a tinker focused on the creation and utilization of odorous substances. Your specialty encompasses perfumes that can affect the minds of living creatures when inhaled: inducing calm, fear, attraction, confusion, or obedience. Beyond mental effects, you create chemical sensors that detect and identify scents with supernatural acuity, analytical tools that break down complex odor profiles, and devices that capture, preserve, and project scents across distances. You suffer all usual tinker limitations."
51,Sonotech Tinker,250 CP,Original,"You are a tinker focused on the creation of devices that utilize mechanical wave propagation (sound and vibration) to achieve your goals. Your specialty includes things like: focused sonic projectiles analogous to lasers, listening devices of impossible sensitivity, and resonance weapons that cause targeted materials to shake themselves apart upon impact, etc. You are limited to effects theoretically achievable through mechanical waves in matter, though your solutions are unnaturally efficient at pushing those boundaries. Every creation harnesses vibration as its core principle. You suffer all usual tinker limitations."
52,Rot-Tech ,100 CP,Original,"You are a tinker who specializes in the decomposition of materials. Your devices can achieve things like: speeding up or slowing down the rotting process dramatically, guiding decomposition to achieve limited transmutation, or causing specific materials to decay while leaving adjacent matter untouched. Your focus works best on chemically organic materials (living or dead) allowing you to wither plants, compromise wooden structures, or age biological matter and plastics to dust. Against purely inorganic substances like refined metals, stone, or ceramics, your abilities are practically useless. You suffer all usual tinker limitations."
53,Revival Tinker,600 CP,Original,"You are a tinker focused on bringing dead things back and making them useful (basically your minions). Given sufficient traces, you can revive an entity through cloning, repair, or stranger means like summoning its ""spirit"" as a projection. The quality and longevity of your creation depend on three factors: how many times you've already revived it (diminishing returns with each iteration), the quantity and condition of its remains, and how much data you possess about the original. Your specialty defines ""creature"" broadly - a destroyed robot qualifies as readily as a corpse. As a sub-specialty, you excel at creating single-use devices that allow you or others to avoid or shrug off death in various ways. Your limitations as a tinker are slightly lifted."
54,Major Arcana Artificer,400 CP,Original,"You are a tinker whose technology embodies the 22 Major Arcana of the Tarot. Each device you build is themed around a specific card's essence - you don't create a generic weapon, but a ""Judgment"" device that reveals hidden truths, a ""Tower"" device designed for catastrophic destruction, or a ""Sun"" device radiating pure vitality. Your creations are as symbolic as they are functional.

You may temporarily attune any of your devices to a different Major Arcana, overwriting its native theme for a short burst of that card's power. Attuning your ""Chariot"" boots (willpower and control) to ""The Sun"" might grant a sudden surge of speed and confidence. This alignment is temporary, and the device returns to its original card after use and will break down faster. You suffer all usual tinker limitations."
55,Recursion & Loops,700 CP,Original,"You are a tinker who specializes in technology built upon loops, self-reference, and recursive systems: holograms within holograms, fractal antennae, and feedback cycles that compound upon themselves.

Your devices grow more powerful through repeated, patterned use: a shield that strengthens with each impact it absorbs, or a scanner that gains fidelity the more times it examines the same target from varied angles.

Your signature creation is the Seed: a device that, when provided with raw materials and a suitable environment, can slowly build a copy of itself or construct more advanced pieces of your technology. Given time and resources, this allows for exponential growth of your workshop and capabilities. Your limitations as a tinker are slightly lifted."
56,Synergy-Locked,400 CP,Original,"You are a tinker who builds technology in harmonized sets. Individual components are weak or non-functional in isolation, but when combined with their intended partners, they create effects far beyond the sum of their parts. However, these sets are locked - you cannot mix components from different harmonies.

Your power forces thematic commitment. If you build a fire set, everything you create for the foreseeable future must harmonize with fire. Changing sets means abandoning your previous work and starting anew. Each set forms a complete technological ecosystem. You suffer all usual Tinker limitations."
57,Magnum Opus,400 CP,Original,"You can only build one thing. Ever. But that one thing is the most absurdly over-engineered, hyper-specialized, and powerful device conceivable within your chosen specialty. You do not build tools - you build your Magnum Opus, then spend the rest of your career refining, upgrading, and expanding it, never dividing its focus.

Your power physically prevents you from conceptualizing or constructing any device that isn't an iteration or component of your Primary. Attempts to sketch a separate tool result in a blank mind. Your Primary becomes an extension of yourself, and you can instinctively modify it for new situations, but only by permanently reconfiguring existing parts. Every choice carries sacrifice.

Example: A single suit of power armor refined over centuries. It flies, fights, stealths, and hacks, but only because function has been layered upon function. You cannot build a separate drone or weapon; everything must integrate into the suit. This limitation applies only when using this specific tinker power for creation. You suffer all usual tinker limitations."
58,Apiarist Tinker,500 CP,Original,"You are a Tinker who specializes in bees, not merely biological bees, but the concept of bees: swarms, hives, honey, and the intricate social machinery of collective industry. Your technology revolves around breeding, modifying, and directing insectoid creations toward any goal you can imagine. Your limitations as a tinker are slightly lifted. Examples:

>Custom Breeds: Engineer bees with specific behaviors: pollution eaters, target markers, programmable wax producers, or venom/healing deliverers.
>Hive Structures: Construct living hives that function as autonomous factories, refineries, or laboratories: processing ore, synthesizing pharmaceuticals, or generating alloys.
>Swarm Control: Direct thousands of individuals as a single coordinated intelligence for reconnaissance, construction, defense, or attack.
>Honey & Wax: Produce honey with programmable properties (supernutrients, preservatives, traps) and wax for self-repairing seals, programmable materials, or living memory storage."
59,Cutlery Maker,50 CP,Original,"You are a tinker capable of creating cutlery and dining implements of such exceptional quality they border on the supernatural. Your knives, forks, and spoons are perfectly balanced and can be crafted from innovative materials to perform specific and unorthodox tasks. While appearing mundane, a spoon from you can cool soup to the perfect temperature, and a fork can test for toxins. 

For combat, your creations are surprisingly effective: your throwing knives are able to return to your hand, fork tines can extend into fine-point grappling hooks, and a well-thrown dinner plate can be as accurate as a shuriken. You suffer from standard tinker limitations."
60,Symmetry Methodology,600 CP,Original,"You understand the deepest secret of physics: symmetry is not a law, but a preference. Your specialty lies in instilling or breaking symmetries within physical systems to produce impossible phenomena. For instance, weaponization of magnetic monopoles is one of the practical application of this specialisation. You suffer from standard tinker limitations."
61,Sub-Planckian Phenomena,700 CP,Original,"You perceive and manipulate reality below the Planck length, where space, time, and distance dissolve into continuous quantum foam. Where others see discrete components, you see flowing fields and transformations. You are terrible at counting or sorting, but unmatched at tracking and rewriting continuous processes. For example, you can build device to impose exotic spacetime metrics, like asymptotic barriers that make distance technically infinite. You suffer from standard tinker limitations."
62,Relativistic Movement,500 CP,Original,"You can construct devices that safely accelerate objects to near-light speeds and harness the exotic phenomena of relativistic motion. Examples include relativistic drive engines, solar-charged kinetic launchers (e.g., relativistic projectiles launchers), and systems that exploit time dilation or mass-energy effects. You suffer from standard tinker limitations."
63,Predictive Sociotech,500 CP,Original,"You can build predictive psycho-social technologies that measure and forecast human intent, emotional state, and criminal probability. Your devices include cymatic scanners, stress-reactive drones, distributed social-hue monitors, and algorithmic judgment cores capable of flagging threats before they act. While highly effective at pacification and control, your tech is vulnerable to anomalous mental states or unpredictable outliers. But these always can captured and fed back into the system to include similiar cases and predict them better in the future. Your standard tinker limitations are slightly lifted."
