Power Armor Upgrade,Cost,Chapter Unlocked ,Jump/Supplement,Category,Effect
Nano Repair System,"50 CP
(100 SP)",,Metroid,OPA Upgrade,"While Life Tanks do a wonderful job of repairing the armor and the wearer, it can be a little annoying to constantly have to maintain it and clean up after a long battle. Wear and tear has an annoying habit of ruining that particular look you want to go for. Luckily, this ‘dumb’ nanomachine system has you covered. Whenever your armor is chipped or physically damaged, or even if the paint is scratched somehow, this sub-system will work to both clean and maintain your power armor. This means that you won’t have to actually do the hygienic work or constantly keep your armor maintained yourself. That said, this isn’t programmed for battlefield use, and won’t really speed up your healing ability or Life Tank use in any fashion – it is good for looking nice and keeping the armor together for those who can’t be bothered to do it manually."
Varia Upgrade,"50 CP
(100 SP)",,Metroid,OPA Upgrade,"There are plenty of dangerous and unwelcome environments in the galaxy, some of which can make short work of even basic Life Support Systems. Luckily, your armor has picked up the Varia Suit upgrade. The Varia System creates an isolated temperature environment for the user in addition to the base Life Support systems, and the wearer can travel in locations like volcanic caverns or the nighttime arctic in relative comfort without their armor, its equipment, or self suffering adversely for it. The internal temperature of the user’s body can even be adjusted at will. That said, this protection is not absolute – swimming in magma or taking a swan dive into a star is still a bad idea. In addition to this environment protection, heat or cold-based attacks are less effective against the armor."
Arm Cannon: Gatling Mode,"50 CP
(100 SP)",,Metroid,OPA Upgrade,"The arm cannon becomes a fully automatic weapon, and while the Power Beam is even more diluted in this form, it’s also a little bit better at penetrating defenses mostly through the constant ‘taps’ of the attack on a single spot. Can be easily adapted to more primitive ballistic weapons, though you may not find much use for it here. Perhaps you’re a fan of the classics?"
Arm Cannon: Ice Beam,"50 CP
(100 SP)",,Metroid,OPA Upgrade,"It’s best to keep a cool attitude to this weapon. This freezes your weapon’s ‘bullets’ to extreme sub-zero temperatures, enough so that human-sized biological beings that are unfortunate enough to be caught in its blast will be frozen solid almost immediately. The freeze won’t last too long on its own, but often just long enough to shatter a poor foe into pieces with a well-placed missile. This is the principal weakness of Metroids, and as such is a very important weapon if you plan on dealing with such creatures."
Arm Cannon: Missiles,"50 CP
(100 SP)",,Metroid,OPA Upgrade,"A Power Beam isn’t always going to cut it, especially against foes resistant to simple energy shots. That’s what this secondary weapon is for. While limited in ammunition and requiring reloads, missiles are exactly what they sound like – anti-personnel and even anti-vehicle explosive weapons designed to ruin someone’s day. They can be fired instantly and explode on contact in a lovely little ‘boom’."
Intel Connection,"50 CP
(100 SP)",,Metroid,OPA Upgrade,"The short version of this is that your armor is now capable of communicating with a network. Or as some humans would say, ‘you have wi-fi’. Your armor can mentally access the Internet or any public equivalent with a thought, and gives you something to do on slow exploration days. Has a planetary range and can be toggled at will. The armor automatically filters out all viruses, though try not to be distracted by pictures of your favorite bounty hunter when you’re seconds away from entering a firefight."
Spider Ball,"50 CP
(100 SP)",,Metroid,OPA Upgrade,"The Swim Form can now magnetically attach itself to any metallic surface while remaining in motion. The uses for this strange form are now a bit less confusing – you can access any building this way, if you play your cards right."
Gravity Upgrade,"100 CP
(200 SP)",,Metroid,OPA Upgrade,"Deep underneath the ocean? On a planet with an extremely strong gravitational pull? Otherwise at risk of being crushed by an enormous amount of pressure? Not to worry! This suit upgrade creates an isolated gravitational field around the user, which reduces the effects of both kinetic force and outside pressure. In short, you can walk through liquids just as easily and fluidly as you could on the surface, and planets with absurdly powerful or weak gravity will have no effect on you. In short, the effects of pressure and force have a mitigated or nonexistent effect on the user of the Power Armor. This also lets you adjust the personal ‘gravity’ of the suit as well, as long as SOME form of gravity exists near them. As a bonus, damage from ‘impact’ based weapons or things relying on kinetic force do less damage to the user. If one has the Varia upgrade it enhances the temperature protection allowing one to travel through lava or near-absolute zero temperatures, but still not survive absolute zero or deep into a star."
Arm Cannon: Diffusion Missiles,"100 CP
(200 SP)",,Metroid,OPA Upgrade,"In addition to the already potent destructive power of a missile, these missiles can actually be ‘charged’ with energy from the arm cannon. When fully charged, the missile will explode in a ‘wave’ of the chosen energies in an expanding explosion, enough to cover an entire room. This is a powerful but dangerous area of effect weapon, and is best used when you want everything else in the room frozen/on fire/electrocuted/dead. As a bonus, this comes with blueprints for modifying the standard-issue missiles and different types of explosives you can use in tandem with them...or even fluids or biological agents, like ink."
Motion Tracker,50 AP,,Halo - UNSC,OPA Upgrade,"One would think that something like this would be installed as a default software upon every single armor the UNSC could field. Alas, it seems to be reserved for the more powerful units. Utilizing a quantum mirror to sense and seek other enemies, this device is capable of sensing the motion of allies and enemies up to a range of twenty-five meters around you along with giving a generalized size in comparison to you. This variant can distinguish between what is a vehicle, navigation point, or infantry and will designate different symbols to assist in giving you proper intel."
Memory Storage Unit,50 AP,,Halo - UNSC,OPA Upgrade,"Powered armor is often sent behind enemy lines, and that is because powered armor is often worn by a SPARTAN-II soldier. As such it can become imperative that any relevant data or enemy intel is captured and sufficiently stored to be brought back to allied territory in the event that it cannot be transmitted out. This miniaturized crystalline hard drive installed within the armor is useful for such things, allowing camera recordings and stolen data to be dumped into it to be sorted later. It has a storage size of hundreds of terabytes, which you should hopefully find useful for collecting as much as you can. It is discouraged by every UNSC branch to use this as a music storage device."
Slide Actuators,50 AP,,Halo - UNSC,OPA Upgrade,"Imagine that all that could stand between you and absolute death is that obstacle that was in front of you, a barrier that could block that fuel rod shot heading towards you. You’d want to get there as quickly as you could, right? All that armor is heavy, however... you’d need some way to boost yourself. Specially installed into the legs and the torso of the armor, these actuators detect when the wearer is going to make a dive or attempt to slide into a bunker and aids the movement of the suit in order to close the gap at an accelerated speed to ensure survival. It might not seem like much, but closing a gap like that could make all the difference."
Data Crystal Port,100 AP,,Halo - UNSC,OPA Upgrade,"When the Mark V for the MJOLNIR Powered Armor was introduced, the inclusion of a data port was one of the biggest advances of the time. Not only for the sake of connecting to and downloading data, but also to host an A.I. and allow them to optimize the armor’s performance. It was a true achievement by Dr. Halsey, and influenced power armors to follow. This option is much the same, allowing you to slot in an A.I. of your choice to help review, control, and optimize the functions of your suit while helping augment the data flow between your mind and the suit itself."
Vacuum Pressure Seal,100 AP,,Halo - UNSC,"OPA Upgrade
(Required before ME2)","Being spaced can suck no matter where you are or what the situation is. The temperature is horrible, there’s the issue of cosmic radiation, and unless you’ve got some kind of movement system going on you’re more or less at the mercy of momentum and any stupid mistakes you happen to make. It’s because of these reasons that living long enough to turn the situation around or contemplate just how badly you fucked up is something of an important requirement for the higher-end armors. This upgrade not only ensures your armor is completely sealed up and keeps the internal pressure at a proper level, but it also comes with an advanced air tank that can hold ninety minutes of air. More than enough time to make peace with whatever god you worship if you’re tumbling into deep space as a result of your failures."
Heads-Up Display,100 AP,,Halo - UNSC,OPA Upgrade,"When data is being presented it’s to make sure that you can see it without it obstructing your view from anything that’s too important. You know, things like that wave of suicide Unggoy running at you with plasma grenades lit up screaming about their holy ways. That’s why the data needs to be presented in adequate terms while keeping your vision clear for you to eye up what’s in front of you, and that’s where this software comes in. Automatically organizing relevant data like general health, energy levels, and ammunition stores while linking into other databases you may have access to, it also ensures that the data won’t block your view so you can turn that suicide charge into a fireworks show. On them, of course."
Energy Shielding,200 AP,,Halo - UNSC,OPA Upgrade,"Arguably the largest advantage that the Covenant has over Humanity is the utilization of energy shields to grant truly empowering defenses upon their ships and their Sangheili ground troopers. With it, a single ship could destroy three UNSC warships and a Sangheili could erase squads of humans. It is why this option is considered extremely useful, reverse-engineered from Kig-Yar Point Defense Gauntlets. Essentially a field of energized particles that’s wrapped around the user, it deflects objects that attempt to impact the surface while being close enough to the wearer that they can still manipulate objects like weapons. This variant is relatively durable against plasma weaponry, sustained fire can bring it down quickly and require the wearer to hide somewhere to let it recharge."
Technician Upgrade,200 AP,,Halo - UNSC,OPA Upgrade,"Where Humanity and the UNSC goes, they bring their technology with them. It’s lead to the proliferation of machinery and ease of life. But what happens if you’re in a spot where you can’t easily access a battlenet? Then all your fancy toys might as well be worth the materials they were built out of for all it matters. The higher-ups recognized this risk and so have created this integration of data servers that allows your armor to act like a mobile diagnostic center. In essence, you’re a battlenet node that allows allies to access and distribute intel as needed while boosting a powerful broadband signal to let you coordinate an entire battlefield by yourself. While a warship in orbit is preferable, you would be a close second with this option."
Re-Entry Shielding,200 AP,,Halo - UNSC,"OPA Upgrade
(Required before ME2)","It sure would be nice if you could land on a planet without splattering into a bloody red smear on the ground. At least, if you were coming in from high orbit. There’s just a few problems like friction from entering an atmosphere, and slowing down once you got inside. Such petty things shouldn’t keep you down, and so this integration of technology was implemented to incorporate a drag chute and specialized machinery to handle the intense heat generated from the journey down. One might question the wisdom of simply throwing oneself down, but then one must realize the benefit of moving with as small a window for detection as possible. Plus there’s stories on making wishes upon a shooting star... maybe you’ll grant someone’s wish when you land."
